county,county_fips,n_schools,pct_schools_below_95,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
El Dorado,,45,0.3333,0.9534,0.9304,0.9704,0.9189,0.9523,0.961,0.9641,0.9638,0.9605,0.8859,0.9273,0.9403,0.945,0.9444,0.9395,0.9435,0.9707,0.9762,0.9781,0.9779,0.9759,1,1,1,1,1,1,0.3342,H
Fresno,,227,0.0793,0.9932,0.9921,0.9941,0.9772,0.9955,0.9965,0.9968,0.9968,0.9965,0.9755,0.9942,0.9955,0.9959,0.9959,0.9955,0.9785,0.9965,0.9973,0.9976,0.9976,0.9973,1,1,1,1,1,1,0,H
Glenn,,11,0.5455,0.9806,0.9596,0.9916,0.9584,0.9817,0.9853,0.9865,0.9863,0.9851,0.9278,0.959,0.9666,0.9693,0.969,0.9661,0.9748,0.9937,0.9951,0.9955,0.9955,0.9951,1,1,1,1,1,1,0.006,H
Humboldt,,47,0.5745,0.9343,0.9018,0.9573,0.8917,0.9316,0.9437,0.9482,0.9477,0.9431,0.846,0.8964,0.9142,0.9208,0.92,0.9132,0.9245,0.9565,0.9644,0.9673,0.967,0.964,1,1,1,1,1,1,0.8868,M
Imperial,,46,0.1087,0.9909,0.987,0.9936,0.9738,0.993,0.9945,0.995,0.9949,0.9944,0.9679,0.9887,0.991,0.9918,0.9917,0.991,0.9778,0.9959,0.9969,0.9972,0.9972,0.9969,1,1,1,1,1,1,0,H
Inyo,,5,0.2,0.9872,0.9688,0.9951,0.9683,0.9889,0.9912,0.9919,0.9918,0.9911,0.9409,0.9689,0.9747,0.9768,0.9766,0.9745,0.98,0.9975,0.9982,0.9983,0.9983,0.9982,1,1,1,1,1,1,0.0025,H
Kern,,184,0.1196,0.9889,0.9866,0.9907,0.9707,0.9907,0.9927,0.9933,0.9932,0.9926,0.9673,0.9883,0.9906,0.9914,0.9913,0.9905,0.9735,0.9928,0.9943,0.9948,0.9948,0.9943,1,1,1,1,1,1,0,H
Kings,,37,0.1351,0.9948,0.9929,0.9961,0.9796,0.9972,0.998,0.9981,0.9981,0.9979,0.9767,0.9951,0.9963,0.9966,0.9965,0.9962,0.9814,0.9986,0.9991,0.9991,0.9991,0.999,1,1,1,1,1,1,0,H
Lake,,14,0.6429,0.9655,0.9345,0.9838,0.9364,0.9654,0.9718,0.9741,0.9738,0.9715,0.8916,0.9317,0.944,0.9485,0.948,0.9433,0.9631,0.9852,0.9882,0.9891,0.989,0.988,1,1,1,1,1,1,0.1055,H
Lassen,,12,0.3333,0.9481,0.8938,0.9773,0.9115,0.9465,0.9561,0.9596,0.9592,0.9556,0.8352,0.8877,0.9067,0.9139,0.9131,0.9057,0.9535,0.9781,0.9823,0.9838,0.9836,0.9821,1,1,1,1,1,1,0.4615,M
Alameda,,337,0.184,0.987,0.9849,0.9888,0.9679,0.9887,0.991,0.9917,0.9916,0.9909,0.965,0.9865,0.9892,0.9901,0.99,0.989,0.9706,0.9907,0.9926,0.9932,0.9931,0.9925,1,1,1,1,1,1,0,H
Los Angeles,,1840,0.2125,0.9812,0.9799,0.9825,0.9593,0.9824,0.9858,0.987,0.9869,0.9857,0.9573,0.981,0.9847,0.9859,0.9858,0.9845,0.9612,0.9838,0.987,0.9881,0.9879,0.9868,1,1,1,1,1,1,0,H
Madera,,40,0.375,0.9874,0.9811,0.9917,0.9685,0.9892,0.9914,0.9921,0.992,0.9913,0.9593,0.9824,0.9858,0.987,0.9868,0.9856,0.9749,0.9938,0.9952,0.9956,0.9955,0.9951,1,1,1,1,1,1,0,H
Marin,,69,0.2464,0.9689,0.956,0.9786,0.9413,0.9691,0.9749,0.977,0.9767,0.9746,0.9225,0.9551,0.9633,0.9663,0.966,0.9629,0.9556,0.9796,0.9836,0.985,0.9848,0.9834,1,1,1,1,1,1,0.0048,H
Mariposa,,6,0,0.9562,0.8942,0.9852,0.9232,0.9553,0.9634,0.9663,0.966,0.963,0.8359,0.8883,0.9071,0.914,0.9132,0.9057,0.9652,0.9868,0.9894,0.9903,0.9902,0.9893,1,1,1,1,1,1,0.3093,H
Mendocino,,25,0.24,0.9606,0.9321,0.9785,0.9293,0.9601,0.9674,0.9701,0.9698,0.967,0.8887,0.9292,0.9417,0.9463,0.9458,0.9411,0.9553,0.9795,0.9834,0.9848,0.9847,0.9833,1,1,1,1,1,1,0.1622,H
Merced,,68,0.1324,0.9929,0.9905,0.9946,0.9768,0.9952,0.9963,0.9966,0.9966,0.9962,0.9732,0.9926,0.9942,0.9947,0.9946,0.9941,0.9793,0.997,0.9978,0.998,0.998,0.9978,1,1,1,1,1,1,0,H
Modoc,,3,0,0.9693,0.9167,0.991,0.9421,0.9695,0.9752,0.9772,0.9769,0.9749,0.866,0.9122,0.9278,0.9333,0.9327,0.9269,0.9739,0.993,0.9946,0.995,0.995,0.9945,1,1,1,1,1,1,0.1315,H
Mono,,2,0,0.9769,0.9303,0.9939,0.9532,0.9778,0.982,0.9835,0.9833,0.9818,0.886,0.9273,0.9401,0.945,0.9444,0.9395,0.9782,0.9962,0.9972,0.9974,0.9974,0.9971,1,1,1,1,1,1,0.0665,H
Monterey,,93,0.2473,0.9876,0.9838,0.9904,0.9688,0.9893,0.9915,0.9922,0.9922,0.9914,0.9632,0.9852,0.9881,0.9891,0.989,0.988,0.9729,0.9924,0.994,0.9945,0.9945,0.9939,1,1,1,1,1,1,0,H
Napa,,37,0.1622,0.9853,0.9774,0.9906,0.9654,0.9868,0.9895,0.9903,0.9902,0.9893,0.9538,0.9783,0.9825,0.9839,0.9838,0.9823,0.9734,0.9927,0.9942,0.9947,0.9947,0.9942,1,1,1,1,1,1,0,H
Alpine,,1,1,0.9661,0.8828,0.9935,0.9378,0.9661,0.9722,0.9745,0.9742,0.9719,0.8196,0.8757,0.8967,0.9048,0.9039,0.8957,0.9776,0.9958,0.9968,0.9971,0.9971,0.9968,1,1,1,1,1,1,0.184,H
Nevada,,20,0.25,0.9106,0.8476,0.9546,0.8589,0.906,0.9221,0.9281,0.9274,0.9212,0.7738,0.8379,0.8642,0.8741,0.8731,0.863,0.9204,0.9537,0.9621,0.9652,0.9648,0.9617,1,1,1,1,1,1,0.9538,M
Orange,,634,0.1924,0.984,0.9821,0.9857,0.9635,0.9855,0.9883,0.9893,0.9892,0.9882,0.9607,0.9834,0.9867,0.9877,0.9876,0.9865,0.966,0.9873,0.9899,0.9907,0.9906,0.9898,1,1,1,1,1,1,0,H
Placer,,101,0.198,0.9637,0.9519,0.9733,0.9337,0.9634,0.9702,0.9726,0.9723,0.9698,0.9164,0.9505,0.9596,0.9629,0.9625,0.9591,0.9476,0.9738,0.9788,0.9805,0.9803,0.9785,1,1,1,1,1,1,0.015,H
Plumas,,7,0.1429,0.9558,0.8944,0.9842,0.9225,0.9548,0.963,0.966,0.9656,0.9626,0.8364,0.8885,0.9072,0.9144,0.9134,0.906,0.9637,0.9856,0.9885,0.9894,0.9893,0.9884,1,1,1,1,1,1,0.3055,H
Riverside,,393,0.1323,0.991,0.9898,0.9921,0.9739,0.9931,0.9946,0.9951,0.995,0.9945,0.9721,0.9917,0.9935,0.9941,0.994,0.9934,0.9755,0.9943,0.9955,0.9959,0.9959,0.9955,1,1,1,1,1,1,0,H
Sacramento,,305,0.1869,0.9759,0.9717,0.9797,0.9515,0.9767,0.9811,0.9827,0.9825,0.9809,0.9454,0.9721,0.9773,0.9792,0.979,0.977,0.9571,0.9808,0.9845,0.9858,0.9857,0.9844,1,1,1,1,1,1,0,H
San Benito,,15,0,0.9901,0.9821,0.9945,0.9726,0.9921,0.9938,0.9943,0.9943,0.9937,0.9608,0.9834,0.9867,0.9878,0.9877,0.9865,0.9791,0.9969,0.9977,0.9979,0.9979,0.9977,1,1,1,1,1,1,0,H
San Bernardino,,437,0.1259,0.9899,0.9885,0.9911,0.9722,0.9919,0.9936,0.9941,0.9941,0.9935,0.9702,0.9904,0.9924,0.993,0.9929,0.9923,0.974,0.9931,0.9946,0.9951,0.995,0.9946,1,1,1,1,1,1,0,H
San Diego,,656,0.1997,0.9852,0.9835,0.9867,0.9652,0.9867,0.9894,0.9903,0.9902,0.9893,0.9627,0.9849,0.9878,0.9889,0.9887,0.9877,0.9675,0.9884,0.9907,0.9915,0.9914,0.9906,1,1,1,1,1,1,0,H
San Francisco,,155,0.071,0.9782,0.9727,0.9827,0.9549,0.9792,0.9832,0.9846,0.9844,0.983,0.9467,0.9731,0.9782,0.98,0.9798,0.978,0.9616,0.9841,0.9872,0.9883,0.9882,0.9871,1,1,1,1,1,1,0,H
Amador,,9,0.3333,0.9622,0.9203,0.9846,0.9317,0.9618,0.9688,0.9713,0.9711,0.9684,0.8721,0.9165,0.931,0.9364,0.9358,0.9302,0.9645,0.9861,0.9889,0.9898,0.9897,0.9887,1,1,1,1,1,1,0.19,H
San Joaquin,,189,0.127,0.9924,0.991,0.9937,0.976,0.9946,0.9958,0.9962,0.9962,0.9958,0.9738,0.993,0.9945,0.995,0.9949,0.9944,0.9779,0.996,0.997,0.9972,0.9972,0.9969,1,1,1,1,1,1,0,H
San Luis Obispo,,58,0.0517,0.9662,0.9526,0.9768,0.9374,0.9662,0.9725,0.9747,0.9745,0.9721,0.9177,0.9514,0.9603,0.9635,0.9631,0.9598,0.9528,0.9776,0.9818,0.9834,0.9832,0.9817,1,1,1,1,1,1,0.0107,H
