school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
251,Bridges Academy at Melrose,,0.9926,0.9824,0.9967,0.9763,0.9948,0.996,0.9963,0.9963,0.996,0.961,0.9838,0.9869,0.988,0.9879,0.9868,0.9824,0.9992,0.9996,0.9996,0.9996,0.9996,0,H
252,Brier Elementary School,137,0.9238,0.8797,0.9164,0.9927,0.8931,0.9112,0.9181,0.9173,0.9103,0.8165,0.8726,0.8939,0.9019,0.901,0.8927,0.8664,0.9124,0.9275,0.9332,0.9325,0.9266,1,M
260,Brookfield Elementary School,22,0.923,0.9913,0.997,0.5455,0.998,0.9986,0.9987,0.9987,0.9986,0.9743,0.9934,0.9949,0.9953,0.9953,0.9948,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,M
263,Brookvale Elementary School,93,0.9385,0.8977,0.9401,0.9785,0.9171,0.9315,0.9369,0.9363,0.9307,0.8407,0.8923,0.9105,0.9173,0.9165,0.9094,0.9,0.938,0.949,0.953,0.9525,0.9483,0.9975,M
268,Burbank Elementary School,142,0.9952,0.9865,0.9962,0.993,0.9945,0.9957,0.9961,0.9961,0.9957,0.9672,0.9882,0.9906,0.9914,0.9913,0.9904,0.9817,0.9987,0.9992,0.9993,0.9993,0.9992,0,H
274,Burckhalter Elementary School,29,0.913,0.993,0.997,0.4828,0.9986,0.9991,0.9992,0.9991,0.9991,0.9769,0.9953,0.9964,0.9967,0.9967,0.9963,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,M
283,Cabrillo Elementary School,79,0.9574,0.9212,0.9661,0.9747,0.9447,0.9547,0.9583,0.9579,0.9542,0.8731,0.9174,0.9318,0.9372,0.9366,0.9311,0.9373,0.9661,0.9723,0.9746,0.9744,0.972,0.6208,H
286,California Crosspoint Academy,30,0.9817,0.9773,0.995,0.9333,0.9894,0.9916,0.9923,0.9922,0.9915,0.9535,0.9782,0.9823,0.9839,0.9837,0.9821,0.9798,0.9974,0.9981,0.9983,0.9982,0.9981,0,H
289,California School For The Deaf-Fremont,23,0.9328,0.8973,0.9963,0.6957,0.9761,0.9806,0.9822,0.982,0.9804,0.8402,0.8919,0.9099,0.917,0.9163,0.9092,0.9818,0.9988,0.9993,0.9994,0.9993,0.9993,0.2087,M
291,Calvary Lutheran Elementary School,13,0.941,0.8339,0.9736,1,0.9155,0.9303,0.9357,0.9351,0.9295,0.7563,0.8236,0.8513,0.8618,0.8605,0.8495,0.9482,0.9742,0.979,0.9808,0.9806,0.9788,0.8332,M
304,Carl B. Munck Elementary School,38,0.9602,0.8858,0.9898,0.9474,0.9552,0.9633,0.9663,0.966,0.9629,0.8244,0.8794,0.8993,0.9072,0.9065,0.8987,0.9719,0.9917,0.9935,0.994,0.994,0.9934,0.4108,H
314,Castro Valley Elementary School,108,0.9722,0.944,0.9766,0.9907,0.962,0.969,0.9715,0.9713,0.9687,0.9051,0.942,0.9524,0.9563,0.9559,0.9519,0.9525,0.9774,0.9817,0.9832,0.9831,0.9815,0.08,H
339,Chabot Elementary School,80,0.9805,0.9672,0.9844,0.975,0.9777,0.9819,0.9834,0.9833,0.9817,0.9388,0.9672,0.9733,0.9755,0.9753,0.973,0.9641,0.9859,0.9887,0.9896,0.9895,0.9886,0,H
346,Challenger School - Ardenwood,97,0.9829,0.9695,0.9867,0.9794,0.9801,0.9839,0.9853,0.9851,0.9837,0.9421,0.9697,0.9754,0.9774,0.9772,0.9751,0.9675,0.9884,0.9908,0.9916,0.9915,0.9907,0,H
347,Challenger - Newark,50,0.9874,0.9768,0.9909,0.98,0.9864,0.9891,0.99,0.9899,0.989,0.9528,0.9776,0.9819,0.9834,0.9833,0.9817,0.9737,0.993,0.9945,0.995,0.9949,0.9944,0,H
351,Cherryland Elementary School,148,0.9881,0.9696,0.9927,0.9932,0.9843,0.9874,0.9884,0.9883,0.9872,0.9419,0.9697,0.9755,0.9775,0.9773,0.9753,0.9764,0.9949,0.9961,0.9964,0.9964,0.996,0,H
358,The Child Unique Montessori School,,0.9951,0.9908,0.9969,0.98,0.9975,0.9982,0.9984,0.9983,0.9982,0.9736,0.9928,0.9943,0.9948,0.9948,0.9943,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0,H
369,chinese christian schools–san leandro,30,0.979,0.9572,0.9967,0.9,0.9935,0.995,0.9954,0.9953,0.9949,0.9243,0.9564,0.9643,0.9672,0.9668,0.9638,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0.0138,H
387,Cleveland Elementary School,63,0.9811,0.9722,0.9951,0.9365,0.9877,0.9902,0.991,0.9909,0.9901,0.946,0.9726,0.9778,0.9797,0.9795,0.9776,0.98,0.9975,0.9982,0.9983,0.9983,0.9981,0,H
392,Coastline Christian Schools,36,0.9885,0.987,0.9968,0.9444,0.9966,0.9974,0.9976,0.9976,0.9974,0.968,0.9888,0.9911,0.9918,0.9918,0.991,0.9826,0.9994,0.9997,0.9998,0.9998,0.9998,0,H
399,Colonial Acres Elementary School,89,0.974,0.9289,0.9925,0.9775,0.9678,0.9738,0.9759,0.9757,0.9735,0.8839,0.9257,0.9388,0.9438,0.9432,0.9381,0.9762,0.9946,0.9958,0.9962,0.9961,0.9958,0.1713,H
405,Community School For Creative Education,20,0.9908,0.9931,0.997,0.95,0.9985,0.9991,0.9991,0.9991,0.999,0.977,0.9953,0.9964,0.9967,0.9967,0.9964,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
407,Community United Elementary School,63,0.9805,0.9728,0.9891,0.9524,0.983,0.9863,0.9875,0.9873,0.9862,0.947,0.9733,0.9783,0.9801,0.9799,0.9781,0.971,0.991,0.9929,0.9935,0.9935,0.9928,0,H
410,Connecting Waters Charter - East Bay,37,0.6661,0.5787,0.734,0.5946,0.6374,0.683,0.7017,0.6995,0.6803,0.4628,0.555,0.6046,0.625,0.6224,0.6011,0.633,0.7171,0.7568,0.7726,0.7707,0.7544,1,L
412,conservatory of vocal/instrumental arts,21,0.9806,0.9345,0.9912,1,0.9718,0.9771,0.979,0.9788,0.9768,0.8924,0.9319,0.9439,0.9483,0.9478,0.9431,0.9743,0.9932,0.9947,0.9952,0.9951,0.9947,0.1075,H
415,Cornell Elementary School,95,0.9758,0.9583,0.9792,0.9789,0.9699,0.9756,0.9776,0.9774,0.9753,0.9257,0.9575,0.9654,0.9682,0.9678,0.9649,0.9564,0.9802,0.984,0.9853,0.9852,0.9838,0.001,H
420,Corpus Christi Elementary School,24,0.9898,0.9785,0.9968,0.9583,0.995,0.9962,0.9965,0.9964,0.9961,0.9554,0.9794,0.9834,0.9848,0.9846,0.9832,0.9826,0.9994,0.9997,0.9997,0.9997,0.9997,0,H
421,Corvallis Elementary School,71,0.9936,0.9836,0.9964,0.9859,0.994,0.9953,0.9957,0.9957,0.9952,0.9629,0.985,0.9879,0.989,0.9888,0.9878,0.982,0.9989,0.9994,0.9994,0.9994,0.9994,0,H
424,Cottonwood Creek TK-8,,0.9952,0.9878,0.9969,0.9802,0.9976,0.9983,0.9984,0.9984,0.9983,0.9691,0.9896,0.9917,0.9924,0.9923,0.9916,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,H
425,Cox Academy,77,0.9506,0.9272,0.9522,0.961,0.9382,0.9493,0.9533,0.9528,0.9486,0.8811,0.9239,0.9373,0.9422,0.9416,0.9364,0.9171,0.951,0.9599,0.9631,0.9627,0.9594,0.9445,H
426,coyote hills elementary,94,0.9919,0.96,0.9967,0.9787,0.9931,0.9946,0.9951,0.995,0.9946,0.9287,0.9595,0.9669,0.9695,0.9692,0.9663,0.9825,0.9993,0.9996,0.9997,0.9997,0.9997,0.0105,H
427,Cragmont Elementary School,43,0.9705,0.9536,0.9797,0.9535,0.9684,0.9743,0.9764,0.9762,0.974,0.9192,0.9525,0.9612,0.9643,0.964,0.9607,0.9571,0.9808,0.9845,0.9858,0.9857,0.9843,0.0082,H
435,Crocker Highlands Elementary School,74,0.9911,0.9793,0.9948,0.9865,0.9901,0.9922,0.9928,0.9928,0.9921,0.9566,0.9803,0.9842,0.9855,0.9854,0.984,0.9796,0.9972,0.998,0.9981,0.9981,0.9979,0,H
448,Dayton Elementary School,61,0.9917,0.9816,0.9956,0.9836,0.9917,0.9934,0.994,0.9939,0.9934,0.9599,0.9829,0.9863,0.9874,0.9873,0.9861,0.9808,0.9981,0.9987,0.9988,0.9988,0.9987,0,H
456,Del Rey Elementary School,73,0.9845,0.9808,0.9947,0.9452,0.9906,0.9926,0.9932,0.9931,0.9925,0.9588,0.982,0.9855,0.9867,0.9866,0.9854,0.9793,0.9971,0.9978,0.998,0.998,0.9978,0,H
459,Delaine Eastin Elementary School,148,0.9937,0.9875,0.9966,0.9797,0.9955,0.9966,0.9968,0.9968,0.9965,0.9688,0.9893,0.9915,0.9922,0.9921,0.9914,0.9822,0.9991,0.9995,0.9995,0.9995,0.9995,0,H
465,donald d. lum elementary,94,0.9913,0.9808,0.996,0.9787,0.9923,0.994,0.9945,0.9944,0.9939,0.9588,0.9819,0.9855,0.9867,0.9865,0.9853,0.9814,0.9985,0.999,0.9991,0.9991,0.999,0,H
466,Donlon Elementary School,143,0.9977,0.9921,0.9969,0.993,0.9981,0.9987,0.9988,0.9988,0.9987,0.9756,0.9943,0.9956,0.996,0.9959,0.9956,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,H
472,Dr. Herbert Guice Christian Academy,18,0.9976,0.9757,0.9969,1,0.9963,0.9972,0.9974,0.9974,0.9971,0.951,0.9765,0.981,0.9826,0.9824,0.9808,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0.0013,H
475,Dublin Elementary School,160,0.9852,0.9727,0.9863,0.9875,0.9814,0.985,0.9863,0.9861,0.9848,0.9469,0.9732,0.9782,0.98,0.9798,0.978,0.9669,0.9879,0.9904,0.9912,0.9911,0.9902,0,H
484,e. l. musick elementary,50,0.9956,0.9905,0.997,0.98,0.9983,0.9988,0.9989,0.9989,0.9988,0.9732,0.9925,0.9941,0.9946,0.9946,0.9941,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
485,E. M. Grimmer Elementary School,27,0.9907,0.9841,0.9967,0.963,0.9953,0.9964,0.9967,0.9966,0.9963,0.9635,0.9855,0.9884,0.9894,0.9893,0.9883,0.9825,0.9992,0.9996,0.9997,0.9997,0.9996,0,H
491,East Avenue Elementary School,49,0.9904,0.9858,0.9968,0.9592,0.9958,0.9968,0.9971,0.997,0.9968,0.9661,0.9874,0.9899,0.9908,0.9907,0.9898,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,H
499,East Bay German International School,33,0.9765,0.9202,0.9963,0.9394,0.9804,0.9842,0.9855,0.9854,0.984,0.8722,0.9164,0.931,0.9364,0.9357,0.9301,0.9819,0.9989,0.9993,0.9994,0.9994,0.9993,0.1245,H
513,East Oakland Pride Elementary School,52,0.9133,0.8942,0.9364,0.8462,0.9126,0.9278,0.9334,0.9328,0.927,0.8357,0.8883,0.9072,0.9144,0.9136,0.9062,0.8942,0.9337,0.9455,0.9499,0.9495,0.945,1,M
