school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1870,Achieve Charter School of Chico,24,0.8491,0.7774,0.8406,0.9583,0.7983,0.8293,0.8414,0.84,0.8275,0.6845,0.7629,0.798,0.8117,0.8102,0.7959,0.7649,0.8307,0.8577,0.8681,0.867,0.8564,0,1,1,1,1,1,1,L
1871,Achieve Charter School Of Paradise Inc.,22,0.9801,0.925,0.9965,0.9545,0.982,0.9855,0.9866,0.9865,0.9853,0.8788,0.9217,0.9354,0.9406,0.94,0.9347,0.9821,0.9991,0.9995,0.9995,0.9995,0.9995,0,1,1,1,1,1,0.07,H
1883,Bangor Elementary School,11,0.9782,0.9518,0.9818,1,0.9684,0.9743,0.9764,0.9762,0.974,0.9165,0.9506,0.9596,0.9628,0.9624,0.9591,0.9601,0.983,0.9864,0.9875,0.9874,0.9862,0,1,1,1,1,1,0.016,H
1891,Biggs Elementary School,47,0.9658,0.947,0.9733,0.9574,0.9608,0.968,0.9706,0.9703,0.9676,0.9095,0.9452,0.9552,0.9588,0.9584,0.9546,0.9476,0.9738,0.9788,0.9805,0.9803,0.9785,0,1,1,1,1,1,0.0573,H
1897,bird street elementary,23,0.9274,0.8745,0.9421,0.9565,0.9067,0.9227,0.9287,0.9281,0.9218,0.8089,0.8669,0.8889,0.8973,0.8964,0.8879,0.9028,0.9401,0.9509,0.9548,0.9544,0.9503,0,1,1,1,1,1,0.9948,M
1898,Blue Oak Charter School,33,0.9732,0.9625,0.9856,0.9394,0.9757,0.9803,0.9819,0.9818,0.9801,0.9321,0.9621,0.9692,0.9717,0.9714,0.9687,0.9657,0.9872,0.9898,0.9906,0.9905,0.9896,0,1,1,1,1,1,3e-04,H
1911,Butte County Special Education School,10,0.9907,0.9438,0.9966,1,0.9864,0.989,0.9899,0.9898,0.9889,0.9049,0.9419,0.9523,0.9561,0.9556,0.9515,0.9822,0.9991,0.9995,0.9995,0.9995,0.9995,0,1,1,1,1,1,0.035,H
1916,Cedarwood Elementary School,37,0.9364,0.8967,0.9495,0.9459,0.9217,0.9354,0.9405,0.9399,0.9346,0.8389,0.8909,0.9094,0.9164,0.9156,0.9083,0.9133,0.9481,0.9574,0.9608,0.9603,0.9567,0,1,1,1,1,1,0.978,M
1923,Chapman Elementary School,72,0.9871,0.9728,0.9916,0.9861,0.9845,0.9876,0.9886,0.9885,0.9874,0.9469,0.9733,0.9784,0.9802,0.98,0.9781,0.9747,0.9937,0.9951,0.9955,0.9955,0.995,0,1,1,1,1,1,0,H
1929,Chico Christian,30,0.6842,0.5838,0.6649,0.8667,0.6027,0.6504,0.67,0.6677,0.6475,0.4666,0.5595,0.6096,0.6303,0.6278,0.6066,0.554,0.6441,0.6898,0.7082,0.7061,0.687,0,1,1,1,1,1,1,L
1933,Chico Country Day School,84,0.9736,0.9555,0.9778,0.9762,0.9674,0.9735,0.9757,0.9754,0.9732,0.9216,0.9546,0.9629,0.9659,0.9656,0.9625,0.9542,0.9787,0.9828,0.9842,0.9841,0.9826,0,1,1,1,1,1,0.0045,H
1938,Chico Oaks Adventist School,13,0.9962,0.9864,0.9963,1,0.9943,0.9956,0.996,0.9959,0.9956,0.9671,0.988,0.9904,0.9912,0.9911,0.9903,0.9818,0.9988,0.9993,0.9994,0.9994,0.9993,0,1,1,1,1,1,0,H
1939,Children's Community Charter School,39,0.8989,0.8038,0.9324,0.9487,0.8688,0.8904,0.8985,0.8976,0.8891,0.7175,0.7912,0.8229,0.8352,0.8339,0.8211,0.8889,0.9295,0.942,0.9467,0.9461,0.9413,0,1,1,1,1,1,0.9965,L
