school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
2165,Albert A. Michelson Elementary School,46,0.6271,0.4964,0.6243,0.8478,0.5354,0.5857,0.6068,0.6043,0.5827,0.3814,0.4706,0.5221,0.5439,0.5414,0.519,0.5097,0.6021,0.6497,0.6691,0.6669,0.6465,0,1,1,1,1,1,1,L
2191,Copperopolis Elementary School,48,0.8999,0.7721,0.9605,0.875,0.8871,0.9062,0.9134,0.9126,0.9052,0.6784,0.7573,0.793,0.8071,0.8053,0.7908,0.929,0.96,0.9672,0.9699,0.9696,0.9669,0,1,1,1,1,1,0.94,L
2200,Hazel Fischer Elementary School,23,0.9446,0.9129,0.9513,0.9565,0.9309,0.9431,0.9476,0.9471,0.9424,0.8614,0.9085,0.9243,0.9301,0.9295,0.9233,0.9157,0.95,0.9591,0.9624,0.962,0.9586,0,1,1,1,1,1,0.9658,M
2201,Jenny Lind Elementary School,99,0.9718,0.951,0.9755,0.9798,0.9641,0.9707,0.9731,0.9728,0.9704,0.9154,0.9497,0.9588,0.9622,0.9618,0.9583,0.9509,0.9762,0.9808,0.9824,0.9822,0.9806,0,1,1,1,1,1,0.0192,H
2213,Mark Twain Elementary School,69,0.9345,0.8746,0.9663,0.913,0.9267,0.9397,0.9445,0.944,0.939,0.8093,0.8671,0.8891,0.8973,0.8965,0.8879,0.9374,0.9662,0.9725,0.9748,0.9745,0.9722,0,1,1,1,1,1,0.835,M
2215,Mokelumne Hill Elementary School,26,0.9931,0.9939,0.9971,0.9615,0.999,0.9995,0.9995,0.9995,0.9995,0.9782,0.9962,0.9971,0.9974,0.9974,0.9971,0.983,0.9996,1,1,1,1,0,1,1,1,1,1,0,H
2216,Mountain Oaks School,28,0.9128,0.9433,0.997,0.5,0.9942,0.9955,0.9959,0.9958,0.9954,0.9037,0.9412,0.9519,0.9559,0.9555,0.9514,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0.035,M
2225,Rail Road Flat Elementary School,10,0.9829,0.9944,0.9971,0.9,0.9991,0.9995,0.9995,0.9995,0.9995,0.9789,0.9967,0.9976,0.9978,0.9977,0.9975,0.983,0.9996,0.9999,1,1,1,0,1,1,1,1,1,0,H
2227,San Andreas Elementary School,62,0.9877,0.9636,0.9966,0.9839,0.986,0.9888,0.9897,0.9896,0.9886,0.9333,0.9633,0.9702,0.9727,0.9724,0.9699,0.9821,0.9991,0.9995,0.9995,0.9995,0.9995,0,1,1,1,1,1,5e-04,H
2240,Valley Springs Elementary School,95,0.9931,0.9479,0.997,0.9789,0.9949,0.9961,0.9964,0.9964,0.9961,0.9109,0.9463,0.956,0.9596,0.9592,0.9555,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0.0288,H
2242,West Point Elementary School,23,0.9922,0.9937,0.9971,0.9565,0.9989,0.9994,0.9994,0.9994,0.9994,0.9779,0.996,0.997,0.9972,0.9972,0.997,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
