school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
2327,Alamo Elementary School,63,0.9926,0.983,0.9963,0.9841,0.9929,0.9944,0.9949,0.9948,0.9943,0.962,0.9844,0.9875,0.9885,0.9884,0.9874,0.9818,0.9988,0.9993,0.9993,0.9993,0.9993,0,1,1,1,1,1,0,H
2337,All God's Children Christian School,22,0.9764,0.9787,0.992,0.9091,0.9875,0.99,0.9909,0.9908,0.9899,0.9556,0.9797,0.9836,0.9849,0.9848,0.9834,0.9753,0.9941,0.9955,0.9958,0.9958,0.9954,0,1,1,1,1,1,0,H
2341,Almond Grove Elementary,71,0.9773,0.9198,0.9962,0.9859,0.9706,0.976,0.978,0.9777,0.9757,0.8713,0.9159,0.9306,0.9361,0.9355,0.9299,0.9817,0.9987,0.9992,0.9993,0.9993,0.9992,0,1,1,1,1,1,0.1722,H
2356,Antioch Charter Academy,30,0.9875,0.9912,0.997,0.9333,0.9978,0.9984,0.9986,0.9986,0.9984,0.9742,0.9933,0.9948,0.9952,0.9951,0.9947,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
2357,Antioch Charter Academy II,31,0.9851,0.9844,0.9966,0.9355,0.9938,0.9952,0.9956,0.9956,0.9951,0.964,0.9859,0.9887,0.9897,0.9896,0.9886,0.9823,0.9991,0.9995,0.9996,0.9996,0.9995,0,1,1,1,1,1,0,H
2371,Aspire Richmond Technology Academy,99,0.9909,0.9781,0.9966,0.9798,0.9915,0.9933,0.9939,0.9938,0.9932,0.9546,0.9791,0.9831,0.9845,0.9843,0.9828,0.9823,0.9991,0.9995,0.9996,0.9996,0.9995,0,1,1,1,1,1,0,H
2376,Ayers Elementary School,81,0.9645,0.9413,0.968,0.9753,0.9547,0.963,0.966,0.9656,0.9625,0.9013,0.939,0.95,0.954,0.9535,0.9494,0.9401,0.9681,0.974,0.9761,0.9758,0.9737,0,1,1,1,1,1,0.1918,H
2379,Bancroft Elementary School,138,0.9916,0.9618,0.9968,0.9928,0.9894,0.9915,0.9922,0.9922,0.9914,0.9306,0.9613,0.9685,0.971,0.9707,0.968,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.0063,H
2381,Bay Christian School,27,0.9877,0.9807,0.9954,0.963,0.9909,0.9928,0.9934,0.9933,0.9927,0.9585,0.9818,0.9854,0.9866,0.9865,0.9852,0.9804,0.9978,0.9985,0.9986,0.9986,0.9984,0,1,1,1,1,1,0,H
2384,Bayview Elementary School,65,0.991,0.9817,0.9947,0.9846,0.9905,0.9925,0.9931,0.9931,0.9924,0.9602,0.983,0.9863,0.9875,0.9873,0.9861,0.9794,0.9971,0.9979,0.9981,0.998,0.9979,0,1,1,1,1,1,0,H
2386,Bel Air Elementary School,65,0.9837,0.9232,0.9968,0.9692,0.9838,0.9869,0.988,0.9878,0.9867,0.8759,0.9196,0.9337,0.9389,0.9383,0.9328,0.9826,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.065,H
2388,Bella Vista Elementary,61,0.9887,0.9764,0.9935,0.9836,0.9874,0.99,0.9908,0.9907,0.9898,0.9523,0.9773,0.9816,0.983,0.9829,0.9813,0.9776,0.9958,0.9968,0.997,0.997,0.9967,0,1,1,1,1,1,0,H
2389,Belshaw Elementary School,77,0.9878,0.9919,0.997,0.9351,0.9978,0.9985,0.9986,0.9986,0.9985,0.9751,0.994,0.9953,0.9957,0.9957,0.9953,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
2394,Bethel Christian Academy,16,0.9768,0.9539,0.9777,1,0.9664,0.9727,0.9749,0.9747,0.9723,0.9195,0.9528,0.9614,0.9645,0.9642,0.961,0.9541,0.9786,0.9828,0.9842,0.984,0.9826,0,1,1,1,1,1,0.0068,H
2409,Bollinger Canyon Elementary School,79,0.9873,0.9658,0.9964,0.9747,0.9875,0.99,0.9908,0.9907,0.9899,0.9369,0.9658,0.9721,0.9743,0.9741,0.9717,0.982,0.9989,0.9994,0.9994,0.9994,0.9994,0,1,1,1,1,1,8e-04,H
2415,Brentwood Elementary School,165,0.9972,0.994,0.997,0.9879,0.9986,0.9991,0.9992,0.9992,0.9991,0.9783,0.9963,0.9972,0.9974,0.9974,0.9972,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
2424,Briones (Alternative) School,28,0.9868,0.977,0.9955,0.9643,0.9893,0.9915,0.9922,0.9921,0.9914,0.953,0.9778,0.9821,0.9836,0.9834,0.9819,0.9806,0.998,0.9986,0.9987,0.9987,0.9986,0,1,1,1,1,1,0,H
2426,Buena Vista Elementary School,85,0.9901,0.9589,0.9969,0.9765,0.9912,0.993,0.9936,0.9936,0.993,0.9267,0.9582,0.9659,0.9687,0.9683,0.9655,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0.0145,H
2434,Burton Valley Elementary School,88,0.965,0.9429,0.9671,0.9773,0.9549,0.9631,0.9661,0.9658,0.9627,0.9036,0.9409,0.9515,0.9554,0.9549,0.9509,0.9387,0.9671,0.9733,0.9754,0.9752,0.9729,0,1,1,1,1,1,0.1745,H
2441,caliber: beta academy,102,0.9952,0.9905,0.997,0.9804,0.9976,0.9983,0.9984,0.9984,0.9983,0.9731,0.9925,0.9941,0.9946,0.9946,0.9941,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
2445,calvary  chapel christian,,0.9867,0.9714,0.9964,0.9675,0.9883,0.9907,0.9915,0.9914,0.9906,0.9448,0.9718,0.977,0.9789,0.9786,0.9767,0.9819,0.9989,0.9994,0.9994,0.9994,0.9993,1,1,1,1,1,1,0,H
2450,Cambridge Elementary School,73,0.9922,0.9777,0.9965,0.9863,0.9917,0.9935,0.994,0.994,0.9934,0.9542,0.9787,0.9828,0.9842,0.9841,0.9826,0.9821,0.9991,0.9995,0.9995,0.9995,0.9995,0,1,1,1,1,1,0,H
2456,Camino Pablo Elementary School,70,0.992,0.9702,0.9968,0.9857,0.9917,0.9934,0.994,0.9939,0.9933,0.9434,0.9705,0.9759,0.9779,0.9777,0.9756,0.9826,0.9994,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.0022,H
2458,Canterbury Elementary School,11,0.993,0.9664,0.9967,1,0.9896,0.9917,0.9924,0.9923,0.9916,0.9374,0.9664,0.9726,0.9747,0.9745,0.9721,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.003,H
2461,Carmen Dragon Elementary School,72,0.9761,0.9522,0.9963,0.9306,0.9821,0.9855,0.9867,0.9866,0.9854,0.9174,0.951,0.9599,0.9632,0.9628,0.9594,0.9817,0.9988,0.9992,0.9993,0.9993,0.9992,0,1,1,1,1,1,0.0187,H
2474,Cesar E. Chavez Elementary School,70,0.9936,0.9803,0.9968,0.9857,0.9939,0.9953,0.9957,0.9956,0.9952,0.9581,0.9815,0.9851,0.9863,0.9861,0.9848,0.9826,0.9994,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
2488,Christ The King Elementary School,36,0.9889,0.9891,0.997,0.9444,0.9971,0.9978,0.998,0.998,0.9978,0.971,0.991,0.9929,0.9935,0.9934,0.9928,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
2503,Collins Elementary School,65,0.9951,0.9884,0.9969,0.9846,0.9964,0.9973,0.9976,0.9975,0.9973,0.9699,0.9901,0.9922,0.9929,0.9928,0.9921,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
2508,concord elementary,,0.9924,0.9872,0.9963,0.976,0.9946,0.9958,0.9962,0.9961,0.9958,0.9681,0.9889,0.9912,0.9919,0.9919,0.9911,0.9818,0.9988,0.9993,0.9994,0.9993,0.9993,1,1,1,1,1,1,0,H
