school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
3472,Bess Maxwell Elementary School,35,0.9764,0.958,0.9936,0.9429,0.9794,0.9834,0.9847,0.9846,0.9832,0.9255,0.9572,0.9651,0.968,0.9678,0.9648,0.9778,0.9959,0.9969,0.9971,0.9971,0.9968,0,1,1,1,1,1,0.005,H
3475,Castle Rock School,11,0.7607,0.7549,0.8496,0.4545,0.7923,0.824,0.8363,0.8348,0.8221,0.6576,0.7388,0.7767,0.7915,0.7896,0.7743,0.7762,0.8406,0.866,0.8757,0.8745,0.8644,0,1,1,1,1,1,1,L
3491,Foursquare Christian,12,0.9359,0.892,0.9618,0.9167,0.928,0.9407,0.9454,0.9448,0.94,0.8327,0.8858,0.9052,0.9124,0.9116,0.9041,0.9312,0.9614,0.9685,0.971,0.9707,0.9681,0,1,1,1,1,1,0.87,M
3495,Joe Hamilton Elementary School,50,0.7558,0.6371,0.7474,0.96,0.6745,0.7176,0.7349,0.7329,0.715,0.5235,0.6151,0.6626,0.6823,0.6799,0.6601,0.6484,0.7311,0.7694,0.7845,0.7828,0.7669,0,1,1,1,1,1,1,L
3504,Margaret Keating Elementary School,24,0.9645,0.9474,0.97,0.9583,0.9587,0.9663,0.969,0.9687,0.9659,0.91,0.9457,0.9555,0.9591,0.9587,0.9551,0.943,0.9703,0.9759,0.9779,0.9777,0.9756,0,1,1,1,1,1,0.0615,H
3505,mary peacock elementary,47,0.9596,0.9546,0.9779,0.8936,0.9672,0.9733,0.9755,0.9752,0.973,0.9204,0.9535,0.962,0.9651,0.9648,0.9616,0.9544,0.9788,0.9829,0.9844,0.9842,0.9828,0,1,1,1,1,1,0.0043,H
3511,Pine Grove Elementary School,57,0.9772,0.9666,0.9883,0.9474,0.9795,0.9835,0.9848,0.9847,0.9833,0.938,0.9666,0.9728,0.9751,0.9748,0.9725,0.9699,0.9902,0.9922,0.9928,0.9928,0.9921,0,1,1,1,1,1,0,H
3513,Redwood Elementary School,45,0.9716,0.9261,0.9945,0.9556,0.9696,0.9753,0.9773,0.977,0.975,0.8804,0.9227,0.9363,0.9415,0.941,0.9358,0.979,0.9968,0.9977,0.9979,0.9978,0.9976,0,1,1,1,1,1,0.1415,H
3515,Smith River Elementary School,25,0.9509,0.9413,0.9737,0.88,0.958,0.9657,0.9685,0.9682,0.9653,0.9015,0.9392,0.9501,0.9541,0.9537,0.9495,0.9484,0.9744,0.9792,0.9809,0.9807,0.9789,0,1,1,1,1,1,0.145,H
3521,Uncharted Shores Academy,34,0.8782,0.9204,0.9572,0.5294,0.9376,0.9488,0.9529,0.9524,0.9481,0.8719,0.9165,0.9312,0.9366,0.9359,0.9304,0.9246,0.9565,0.9644,0.9673,0.967,0.964,0,1,1,1,1,1,0.867,L
