school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
3527,American River Charter School,21,0.6295,0.5664,0.7207,0.4286,0.6256,0.6724,0.6914,0.6892,0.6697,0.4497,0.5421,0.5923,0.6128,0.6103,0.5889,0.6178,0.7031,0.7442,0.7606,0.7588,0.7422,0,1,1,1,1,1,1,L
3531,Bijou Community School,109,0.8664,0.7002,0.9244,0.9541,0.8224,0.8507,0.8616,0.8604,0.8492,0.5937,0.6814,0.7241,0.7412,0.7391,0.7213,0.8777,0.921,0.9346,0.9398,0.9391,0.9338,0,1,1,1,1,1,0.9962,L
3537,Blue Oak Elementary School,83,0.9667,0.9431,0.9706,0.9759,0.9577,0.9655,0.9683,0.968,0.965,0.9039,0.9412,0.9517,0.9557,0.9552,0.9512,0.9438,0.971,0.9764,0.9784,0.9781,0.9761,0,1,1,1,1,1,0.1282,H
3540,Buckeye Elementary School,51,0.3717,0.2094,0.2635,0.9804,0.215,0.2515,0.2683,0.2663,0.249,0.1412,0.1906,0.2243,0.2402,0.2382,0.2223,0.1824,0.242,0.2815,0.2996,0.2974,0.2788,0,1,1,1,1,1,1,L
3541,Buckeye Union Mandarin Immersion Charter,24,0.4293,0.2825,0.3281,0.9583,0.2821,0.3254,0.3449,0.3425,0.3225,0.1968,0.26,0.3014,0.3201,0.3178,0.2987,0.2339,0.3043,0.3488,0.3689,0.3665,0.346,0,1,1,1,1,1,1,L
3543,California Montessori Project-Shingle Springs Campus School,76,0.969,0.8526,0.9951,0.9474,0.9677,0.9738,0.9759,0.9757,0.9735,0.7806,0.8436,0.8687,0.8786,0.8774,0.8675,0.9801,0.9975,0.9982,0.9983,0.9983,0.9982,0,1,1,1,1,1,0.3192,H
3548,Camino Elementary School,45,0.9386,0.9036,0.9537,0.9333,0.9278,0.9405,0.9452,0.9447,0.9398,0.8486,0.8984,0.9157,0.9224,0.9217,0.9149,0.9192,0.9526,0.9612,0.9643,0.9639,0.9606,0,1,1,1,1,1,0.9475,M
3552,Cedar Springs Waldorf School,40,0.9213,0.9437,0.9952,0.6,0.9825,0.9859,0.9871,0.9869,0.9857,0.9052,0.9418,0.9522,0.9561,0.9556,0.9515,0.9802,0.9977,0.9983,0.9985,0.9985,0.9983,0,1,1,1,1,1,0.043,M
3556,Charter Alternative Program (Cap) School,11,0.9073,0.9379,0.9681,0.6364,0.9537,0.9621,0.9652,0.9648,0.9617,0.8967,0.9355,0.947,0.9512,0.9508,0.9464,0.9402,0.9682,0.9741,0.9763,0.9761,0.9739,0,1,1,1,1,1,0.2755,M
3557,Charter Community School Home Study Academy,20,0.8904,0.7245,0.9613,0.9,0.8682,0.89,0.8983,0.8973,0.8887,0.6219,0.7075,0.7475,0.7637,0.762,0.7453,0.9301,0.9608,0.9681,0.9706,0.9704,0.9677,0,1,1,1,1,1,0.9492,L
