school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
3797,A. L. Conner Elementary School,65,0.9968,0.9935,0.9971,0.9846,0.9989,0.9993,0.9994,0.9994,0.9993,0.9776,0.9957,0.9968,0.997,0.997,0.9967,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
3806,Addams Elementary School,131,0.9948,0.991,0.997,0.9771,0.9978,0.9984,0.9986,0.9986,0.9984,0.9738,0.993,0.9945,0.995,0.9949,0.9944,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
3810,Akira Yokomi Elementary School,104,0.9978,0.9935,0.997,0.9904,0.9989,0.9993,0.9994,0.9994,0.9993,0.9776,0.9958,0.9968,0.9971,0.997,0.9968,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
3814,Alta Elementary School,75,0.9851,0.9565,0.9955,0.9867,0.9815,0.9851,0.9863,0.9862,0.9849,0.9233,0.9557,0.9638,0.9667,0.9664,0.9634,0.9807,0.998,0.9986,0.9987,0.9987,0.9986,0.0068,H
3817,Alvina Elementary Charter School,22,0.9901,0.9789,0.997,0.9545,0.9964,0.9973,0.9975,0.9975,0.9973,0.956,0.9799,0.9838,0.9852,0.985,0.9836,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,H
3822,American Union Elementary School,42,0.9913,0.9926,0.997,0.9524,0.9987,0.9991,0.9992,0.9992,0.9991,0.9762,0.9948,0.996,0.9963,0.9963,0.9959,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
3824,anchor academy charter,23,0.9809,0.9726,0.9888,0.9565,0.9827,0.9861,0.9873,0.9871,0.9859,0.9468,0.9731,0.9782,0.9801,0.9798,0.978,0.9705,0.9906,0.9926,0.9932,0.9931,0.9925,0,H
3825,Andrew Jackson Elementary School,114,0.9954,0.9797,0.9969,0.9912,0.9952,0.9963,0.9966,0.9966,0.9963,0.9572,0.9809,0.9846,0.9859,0.9857,0.9844,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,H
3826,Ann B. Leavenworth School,113,0.9788,0.9615,0.9792,0.9912,0.9714,0.9768,0.9787,0.9785,0.9765,0.9304,0.961,0.9682,0.9708,0.9705,0.9678,0.9565,0.9803,0.9841,0.9854,0.9853,0.9839,3e-04,H
3827,Annie E. Cheney Kindergarten,64,0.9938,0.9864,0.9965,0.9844,0.9946,0.9958,0.9962,0.9961,0.9958,0.9671,0.9881,0.9905,0.9913,0.9912,0.9904,0.9821,0.999,0.9995,0.9995,0.9995,0.9995,0,H
3832,Armenian Community School,13,0.9862,0.9908,0.997,0.9231,0.9983,0.9988,0.9989,0.9989,0.9988,0.9736,0.9928,0.9944,0.9949,0.9948,0.9943,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
3837,Aspen Meadow Public,56,0.9957,0.9844,0.997,0.9821,0.9979,0.9985,0.9986,0.9986,0.9985,0.9641,0.9859,0.9887,0.9896,0.9895,0.9886,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,3e-04,H
3839,Aspen Valley Prep Academy,58,0.9927,0.9845,0.9961,0.9828,0.9933,0.9948,0.9952,0.9952,0.9947,0.9643,0.986,0.9888,0.9897,0.9896,0.9887,0.9815,0.9986,0.9991,0.9992,0.9992,0.9991,0,H
3846,Ayer Elementary School,94,0.7484,0.6398,0.7201,0.9787,0.6607,0.705,0.7228,0.7207,0.7023,0.5264,0.6182,0.665,0.6846,0.6824,0.6626,0.6169,0.7024,0.7432,0.7593,0.7574,0.7406,1,L
3847,Aynesworth Elementary School,88,0.9956,0.9936,0.9971,0.9773,0.9989,0.9994,0.9994,0.9994,0.9994,0.9778,0.9959,0.9969,0.9971,0.9971,0.9968,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
3870,Biola-Pershing Elementary School,38,0.9887,0.9764,0.9969,0.9474,0.9961,0.997,0.9973,0.9973,0.997,0.9523,0.9772,0.9815,0.983,0.9829,0.9813,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,H
3872,Birney Elementary School,123,0.9941,0.9783,0.997,0.9756,0.9971,0.9979,0.9981,0.998,0.9979,0.9556,0.9793,0.9833,0.9847,0.9845,0.9831,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,3e-04,H
3884,brighten academy preschool,,0.9953,0.9906,0.997,0.9803,0.9977,0.9984,0.9985,0.9985,0.9984,0.9732,0.9927,0.9942,0.9947,0.9947,0.9942,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,H
3890,Bud Rank Elementary School,100,0.9944,0.9852,0.9964,0.99,0.9941,0.9954,0.9958,0.9958,0.9954,0.9652,0.9868,0.9894,0.9903,0.9902,0.9893,0.9819,0.9989,0.9993,0.9994,0.9994,0.9993,0,H
3892,Bullard Talent Project School,70,0.9972,0.9946,0.9971,0.9857,0.9991,0.9995,0.9996,0.9996,0.9995,0.9792,0.997,0.9978,0.998,0.998,0.9978,0.983,0.9996,0.9999,1,1,0.9999,0,H
3893,Burrel Elementary School,12,0.9957,0.9793,0.9967,1,0.9935,0.9949,0.9954,0.9953,0.9949,0.9565,0.9803,0.9842,0.9855,0.9853,0.984,0.9824,0.9993,0.9997,0.9997,0.9997,0.9997,0,H
3894,Burroughs Elementary School,130,0.9961,0.9648,0.997,0.9923,0.9959,0.9969,0.9972,0.9972,0.9969,0.9355,0.9646,0.9712,0.9735,0.9732,0.9707,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0.008,H
3900,california virtual academy at fresno,85,0.8475,0.9163,0.9969,0.1294,0.9891,0.9914,0.9921,0.992,0.9912,0.8665,0.9123,0.9274,0.933,0.9324,0.9266,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0.0993,L
3903,Calwa Elementary School,96,0.9554,0.8213,0.9957,0.9792,0.9407,0.9514,0.9553,0.9548,0.9508,0.7398,0.8103,0.8395,0.8511,0.8498,0.8378,0.9809,0.9982,0.9988,0.9989,0.9989,0.9987,0.5645,H
3911,Cantua Elementary School,27,0.9895,0.9835,0.9964,0.963,0.9936,0.995,0.9954,0.9954,0.9949,0.9627,0.9849,0.9879,0.9889,0.9888,0.9877,0.9819,0.999,0.9994,0.9995,0.9995,0.9994,0,H
3916,Carden School Of Fresno,24,0.9923,0.9918,0.997,0.9583,0.9986,0.9991,0.9992,0.9992,0.9991,0.9752,0.994,0.9953,0.9957,0.9957,0.9953,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
3920,Caruthers Elementary School,104,0.986,0.9478,0.9962,0.9904,0.9819,0.9854,0.9866,0.9865,0.9852,0.9106,0.946,0.956,0.9595,0.9592,0.9556,0.9817,0.9987,0.9992,0.9993,0.9993,0.9992,0.0307,H
3929,Cedarwood Elementary School,126,0.9852,0.9519,0.9947,0.9921,0.9804,0.9842,0.9855,0.9853,0.984,0.9169,0.9507,0.9596,0.9629,0.9625,0.9591,0.9795,0.9971,0.9979,0.9981,0.998,0.9979,0.0192,H
