school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
4972,Blue Lake Elementary School,23,0.9313,0.9075,0.9713,0.8261,0.9427,0.953,0.9568,0.9564,0.9525,0.855,0.903,0.9193,0.9257,0.9251,0.9187,0.9449,0.9717,0.977,0.9789,0.9786,0.9767,0,1,1,1,1,1,0.632,M
4989,Coastal Grove Charter School,22,0.9268,0.927,0.9687,0.7727,0.9491,0.9583,0.9617,0.9613,0.9578,0.8812,0.9238,0.9372,0.9422,0.9416,0.9365,0.9411,0.9689,0.9747,0.9768,0.9765,0.9744,0,1,1,1,1,1,0.485,M
4992,Cuddeback Elementary School,22,0.9109,0.8476,0.9389,0.9091,0.8946,0.9125,0.9192,0.9185,0.9115,0.7737,0.8385,0.8641,0.8739,0.8728,0.8627,0.8982,0.9366,0.9479,0.9521,0.9516,0.9473,0,1,1,1,1,1,0.9968,M
4997,Dows Prairie Elementary School,145,0.9803,0.9639,0.9876,0.9724,0.978,0.9822,0.9837,0.9835,0.982,0.9339,0.9636,0.9704,0.9728,0.9725,0.97,0.9689,0.9894,0.9916,0.9923,0.9922,0.9915,0,1,1,1,1,1,5e-04,H
4999,Eagle Prairie Elementary School,61,0.8519,0.724,0.9028,0.918,0.8111,0.8405,0.8519,0.8507,0.8389,0.6207,0.7067,0.7472,0.7631,0.7612,0.7444,0.8469,0.8973,0.915,0.9215,0.9208,0.9142,0,1,1,1,1,1,1,L
5018,Ferndale Elementary School,38,0.9737,0.9358,0.9937,0.9474,0.9745,0.9793,0.981,0.9808,0.9791,0.8931,0.9331,0.9451,0.9496,0.9491,0.9446,0.9779,0.996,0.997,0.9973,0.9972,0.997,0,1,1,1,1,1,0.0895,H
5024,Fieldbrook Elementary School,20,0.9749,0.9371,0.9936,0.95,0.9757,0.9803,0.9819,0.9817,0.98,0.8955,0.9348,0.9462,0.9503,0.9499,0.9455,0.9776,0.9958,0.9968,0.9971,0.9971,0.9968,0,1,1,1,1,1,0.0795,H
5033,Freshwater Elementary School,47,0.676,0.5451,0.6471,0.9574,0.5734,0.6225,0.6428,0.6405,0.6195,0.4284,0.5203,0.571,0.5922,0.5897,0.5681,0.5349,0.6258,0.6723,0.6913,0.6891,0.6695,0,1,1,1,1,1,1,L
5035,Fuente Nueva Charter School,23,0.9305,0.8636,0.9511,0.9565,0.911,0.9264,0.9321,0.9315,0.9255,0.7949,0.8553,0.8788,0.8874,0.8863,0.877,0.9155,0.9498,0.959,0.9622,0.9619,0.9584,0,1,1,1,1,1,0.97,M
5036,Garfield Elementary School,11,0.912,0.8396,0.9941,0.6364,0.9603,0.9677,0.9703,0.97,0.9673,0.7628,0.8296,0.8569,0.8673,0.8658,0.8549,0.9786,0.9964,0.9973,0.9976,0.9976,0.9973,0,1,1,1,1,1,0.3892,M
5040,Glen Paul School,22,0.934,0.9688,0.9883,0.6818,0.981,0.9847,0.986,0.9858,0.9845,0.9411,0.969,0.9748,0.9768,0.9765,0.9744,0.9699,0.9901,0.9922,0.9928,0.9927,0.9921,0,1,1,1,1,1,0,M
