school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
5239,Ballington Academy For The Arts And Sciences,44,0.9904,0.9806,0.9969,0.9545,0.9968,0.9977,0.9979,0.9978,0.9976,0.9585,0.9818,0.9854,0.9866,0.9864,0.9851,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,1,1,1,1,1,3e-04,H
5241,Ben Hulse Elementary School,151,0.9947,0.9859,0.9967,0.9868,0.9953,0.9964,0.9967,0.9967,0.9964,0.9664,0.9875,0.99,0.9909,0.9908,0.9899,0.9824,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
5245,Blanche Charles Elementary School,52,0.9841,0.9714,0.9875,0.9808,0.9814,0.985,0.9862,0.9861,0.9848,0.9449,0.9717,0.977,0.9789,0.9787,0.9768,0.9685,0.9892,0.9914,0.9922,0.9921,0.9913,0,1,1,1,1,1,0,H
5249,Brawley Christian Academy,11,0.9929,0.9784,0.9945,1,0.9895,0.9916,0.9923,0.9923,0.9915,0.9552,0.9793,0.9833,0.9847,0.9845,0.9831,0.979,0.9968,0.9976,0.9978,0.9978,0.9976,0,1,1,1,1,1,0,H
5259,Calexico Mission School,15,0.8881,0.8624,0.9214,0.8,0.888,0.9071,0.9142,0.9134,0.906,0.7931,0.854,0.8778,0.887,0.8859,0.8766,0.8734,0.9175,0.932,0.9373,0.9368,0.9312,0,1,1,1,1,1,1,L
5270,Cesar Chavez Elementary School,114,0.9972,0.9884,0.997,0.9912,0.9979,0.9985,0.9986,0.9986,0.9985,0.9701,0.9902,0.9923,0.9929,0.9928,0.9922,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
5279,De Anza Magnet School,37,0.9182,0.8267,0.9534,0.9459,0.8962,0.9139,0.9205,0.9197,0.9128,0.7464,0.8154,0.8446,0.856,0.8547,0.8432,0.919,0.9523,0.9609,0.9641,0.9637,0.9605,0,1,1,1,1,1,0.963,M
5280,Desert Garden Elementary School,71,0.9806,0.9654,0.9822,0.9859,0.9752,0.9799,0.9815,0.9814,0.9797,0.9363,0.9653,0.9717,0.974,0.9738,0.9714,0.9609,0.9835,0.9868,0.9879,0.9877,0.9866,0,1,1,1,1,1,0,H
5283,Dogwood Elementary,172,0.9969,0.991,0.997,0.9884,0.9981,0.9987,0.9988,0.9988,0.9987,0.9739,0.993,0.9946,0.995,0.995,0.9945,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
5285,Dool Elementary School,91,0.9952,0.9909,0.997,0.978,0.9982,0.9987,0.9989,0.9988,0.9987,0.9737,0.9929,0.9944,0.9949,0.9948,0.9944,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
5291,Emmett S. Finley Elementary School,107,0.9905,0.9763,0.9946,0.9907,0.9882,0.9906,0.9914,0.9913,0.9905,0.952,0.9772,0.9815,0.983,0.9828,0.9813,0.9793,0.997,0.9978,0.998,0.9979,0.9977,0,1,1,1,1,1,0,H
5295,Faith Academy,12,0.9975,0.9733,0.9969,1,0.9961,0.9971,0.9973,0.9973,0.997,0.9478,0.9739,0.9788,0.9805,0.9804,0.9786,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,1,1,1,1,1,0.0018,H
5298,Fremont Primary School,94,0.9953,0.9907,0.997,0.9787,0.9981,0.9987,0.9988,0.9988,0.9987,0.9734,0.9927,0.9942,0.9947,0.9947,0.9942,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
5303,Grace Smith Elementary School,20,0.9955,0.9832,0.9963,1,0.9933,0.9947,0.9952,0.9951,0.9947,0.9623,0.9845,0.9876,0.9886,0.9885,0.9874,0.9817,0.9988,0.9993,0.9993,0.9993,0.9993,0,1,1,1,1,1,0,H
5305,Harding Elementary School,61,0.9957,0.988,0.997,0.9836,0.9975,0.9982,0.9983,0.9983,0.9982,0.9694,0.9898,0.9919,0.9926,0.9925,0.9918,0.9828,0.9995,0.9998,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
5306,Heber Elementary School,159,0.9951,0.9933,0.997,0.9748,0.9987,0.9992,0.9993,0.9993,0.9992,0.9773,0.9956,0.9966,0.9969,0.9968,0.9966,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
5315,imagine schools at imperial valley,110,0.9956,0.9827,0.9968,0.9909,0.9956,0.9966,0.9969,0.9969,0.9966,0.9615,0.984,0.9872,0.9882,0.9881,0.987,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0,H
5320,Imperial County Special Education School,56,0.9569,0.9672,0.9952,0.8036,0.9848,0.9878,0.9888,0.9887,0.9877,0.9388,0.9673,0.9734,0.9757,0.9753,0.973,0.9803,0.9976,0.9983,0.9984,0.9984,0.9983,0,1,1,1,1,1,0,H
5321,Imperial Cross Elementary,169,0.9932,0.9832,0.9961,0.9882,0.9928,0.9944,0.9948,0.9948,0.9943,0.9624,0.9846,0.9876,0.9886,0.9885,0.9875,0.9815,0.9986,0.9991,0.9992,0.9992,0.9991,0,1,1,1,1,1,0,H
5324,Imperial Valley Home School Academy,23,0.9896,0.9479,0.9969,0.9565,0.9952,0.9963,0.9966,0.9966,0.9963,0.911,0.9463,0.956,0.9595,0.959,0.9553,0.9828,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0.0278,H
5330,J. W. Oakley Elementary School,160,0.9891,0.9784,0.9913,0.9875,0.987,0.9896,0.9905,0.9904,0.9895,0.9554,0.9794,0.9834,0.9848,0.9846,0.9832,0.9742,0.9933,0.9948,0.9952,0.9952,0.9947,0,1,1,1,1,1,0,H
5331,Jefferson Elementary School,72,0.9671,0.9322,0.9751,0.9861,0.9558,0.9639,0.9668,0.9665,0.9634,0.8886,0.9293,0.9419,0.9464,0.9459,0.9411,0.9503,0.9758,0.9804,0.9821,0.9819,0.9803,0,1,1,1,1,1,0.2885,H
5334,Kennedy Gardens School,95,0.9961,0.9854,0.9964,1,0.9941,0.9954,0.9958,0.9958,0.9954,0.9654,0.9869,0.9896,0.9904,0.9903,0.9894,0.9819,0.9989,0.9993,0.9994,0.9994,0.9993,0,1,1,1,1,1,0,H
5340,Lincoln Elementary School,80,0.9933,0.9763,0.9969,0.975,0.9962,0.9971,0.9974,0.9973,0.9971,0.9522,0.977,0.9814,0.983,0.9828,0.9812,0.9828,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,5e-04,H
