school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
5514,Agapeland Christian Academy,19,0.337,0.2555,0.2889,0.5789,0.25,0.2903,0.3087,0.3065,0.2877,0.1757,0.2341,0.273,0.2908,0.2886,0.2704,0.2025,0.2664,0.308,0.3269,0.3245,0.3051,0,1,1,1,1,1,1,L
5516,Albany Park Elementary School,49,0.9845,0.9765,0.9929,0.9592,0.9872,0.9897,0.9906,0.9905,0.9896,0.9526,0.9774,0.9817,0.9832,0.983,0.9815,0.9768,0.9952,0.9963,0.9966,0.9966,0.9963,0,1,1,1,1,1,0,H
5519,Alicante Avenue Elementary School,147,0.9954,0.9869,0.9964,0.9932,0.9948,0.996,0.9963,0.9963,0.9959,0.9676,0.9886,0.9909,0.9916,0.9916,0.9908,0.9819,0.9989,0.9993,0.9994,0.9994,0.9993,0,1,1,1,1,1,0,H
5523,Almondale Elementary School,91,0.9072,0.8459,0.9142,0.967,0.8759,0.8966,0.9045,0.9035,0.8954,0.7714,0.8362,0.8625,0.8726,0.8714,0.8611,0.8632,0.9098,0.9256,0.9314,0.9307,0.9246,0,1,1,1,1,1,1,M
5525,American Elementary School,91,0.8122,0.7338,0.7855,0.978,0.7444,0.7814,0.7959,0.7942,0.7791,0.6322,0.7169,0.7566,0.7722,0.7703,0.7541,0.6949,0.7718,0.8058,0.8191,0.8174,0.8036,0,1,1,1,1,1,1,L
5526,Amy B. Seibert Elementary School,108,0.9813,0.9311,0.9958,0.9722,0.9795,0.9834,0.9848,0.9846,0.9832,0.8871,0.9282,0.9409,0.9456,0.945,0.9401,0.981,0.9982,0.9988,0.9989,0.9989,0.9988,0,1,1,1,1,1,0.0993,H
5542,Bakersfield Adventist Academy,12,0.9937,0.98,0.9949,1,0.9907,0.9926,0.9933,0.9932,0.9925,0.9576,0.9812,0.9848,0.9861,0.9859,0.9846,0.9797,0.9973,0.9981,0.9982,0.9982,0.998,0,1,1,1,1,1,0,H
5550,Bear Mountain Elementary School,160,0.9866,0.9744,0.9887,0.9875,0.9834,0.9867,0.9878,0.9877,0.9865,0.9492,0.975,0.9798,0.9815,0.9813,0.9796,0.9705,0.9906,0.9925,0.9932,0.9931,0.9925,0,1,1,1,1,1,0,H
5552,Beardsley Elementary School,250,0.9901,0.974,0.9941,0.992,0.9874,0.99,0.9908,0.9907,0.9899,0.9487,0.9746,0.9795,0.9812,0.981,0.9792,0.9785,0.9964,0.9973,0.9975,0.9975,0.9973,0,1,1,1,1,1,0,H
5555,Berkshire Elementary School,152,0.9943,0.9858,0.9964,0.9868,0.9947,0.9959,0.9962,0.9962,0.9958,0.9661,0.9874,0.9899,0.9908,0.9907,0.9898,0.982,0.999,0.9994,0.9994,0.9994,0.9994,0,1,1,1,1,1,0,H
5557,Bessie E. Owens Primary School,146,0.998,0.9929,0.997,0.9932,0.9986,0.9991,0.9992,0.9992,0.9991,0.9767,0.9951,0.9962,0.9966,0.9965,0.9962,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
5561,Bethel Christian,10,0.9406,0.975,0.9917,0.7,0.9861,0.9889,0.9898,0.9897,0.9888,0.9504,0.9757,0.9803,0.9819,0.9818,0.9801,0.9749,0.9938,0.9952,0.9956,0.9955,0.9951,0,1,1,1,1,1,0,M
5565,Bill L. Williams Elementary School,180,0.9938,0.9851,0.996,0.9889,0.9935,0.9949,0.9953,0.9953,0.9948,0.9651,0.9866,0.9893,0.9902,0.9901,0.9892,0.9814,0.9985,0.999,0.9991,0.9991,0.999,0,1,1,1,1,1,0,H
