school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
6320,Akers Elementary School,67,0.9934,0.9585,0.997,0.9851,0.9938,0.9952,0.9956,0.9955,0.9951,0.9266,0.9579,0.9654,0.9682,0.9679,0.9649,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,0.0105,H
6322,Armona Elementary School,129,0.9967,0.9788,0.997,0.9922,0.9969,0.9977,0.9979,0.9979,0.9977,0.9559,0.9798,0.9837,0.9851,0.9849,0.9835,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
6325,Avenal Elementary School,109,0.9956,0.9858,0.9969,0.9908,0.9957,0.9967,0.997,0.9969,0.9967,0.9661,0.9875,0.99,0.9908,0.9907,0.9899,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,H
6331,Bret Harte Elementary School,296,0.9959,0.9806,0.997,0.9899,0.9963,0.9972,0.9974,0.9974,0.9972,0.9584,0.9818,0.9853,0.9866,0.9864,0.9852,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,H
6342,Central Elementary School,23,0.9784,0.9463,0.9962,0.9565,0.979,0.9831,0.9845,0.9843,0.9829,0.9089,0.9446,0.9545,0.9581,0.9577,0.9539,0.9816,0.9987,0.9992,0.9993,0.9992,0.9992,0.0367,H
6343,Cinnamon Elementary School,57,0.9547,0.9074,0.9672,0.9825,0.9391,0.95,0.9539,0.9535,0.9494,0.8539,0.9025,0.9193,0.9256,0.9248,0.9183,0.9389,0.9673,0.9733,0.9755,0.9753,0.973,0.7192,H
6358,Freedom Elementary,72,0.9971,0.9935,0.9971,0.9861,0.999,0.9994,0.9995,0.9994,0.9994,0.9776,0.9958,0.9968,0.9971,0.997,0.9968,0.983,0.9996,0.9999,1,1,1,0,H
6359,Frontier Elementary School,106,0.9943,0.9788,0.9969,0.9906,0.9938,0.9952,0.9956,0.9955,0.9951,0.9558,0.9798,0.9837,0.985,0.9849,0.9835,0.9827,0.9995,0.9998,0.9999,0.9999,0.9998,0,H
6363,George Washington Elementary School,81,0.9917,0.9769,0.9969,0.9753,0.9938,0.9952,0.9956,0.9955,0.9951,0.9531,0.9778,0.982,0.9835,0.9834,0.9818,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,H
6366,Hamilton Elementary School,95,0.996,0.9932,0.9971,0.9789,0.999,0.9994,0.9995,0.9995,0.9994,0.9772,0.9954,0.9965,0.9968,0.9968,0.9965,0.9831,0.9996,0.9999,1,1,1,0,H
6369,Hanford Christian School,67,0.9971,0.9944,0.9971,0.9851,0.9992,0.9996,0.9996,0.9996,0.9996,0.979,0.9968,0.9976,0.9978,0.9978,0.9976,0.9831,0.9997,1,1,1,1,0,H
6382,Island Elementary School,41,0.9914,0.9939,0.9971,0.9512,0.9991,0.9995,0.9995,0.9995,0.9995,0.9782,0.9962,0.9972,0.9974,0.9974,0.9971,0.9831,0.9997,1,1,1,1,0,H
6386,jefferson elem.,,0.9966,0.9943,0.9971,0.9822,0.9991,0.9995,0.9996,0.9996,0.9995,0.9788,0.9967,0.9975,0.9977,0.9977,0.9975,0.9831,0.9997,1,1,1,1,0,H
6387,jefferson academy,48,0.9921,0.9851,0.9971,0.9583,0.9983,0.9989,0.999,0.999,0.9989,0.9651,0.9867,0.9894,0.9903,0.9901,0.9892,0.983,0.9996,0.9999,1,1,0.9999,0,H
6388,Jefferson Charter Academy,48,0.9907,0.9873,0.9969,0.9583,0.9963,0.9972,0.9975,0.9974,0.9972,0.9684,0.9891,0.9913,0.992,0.9919,0.9912,0.9828,0.9995,0.9998,0.9998,0.9998,0.9998,0,H
6392,Joseph M. Simas School,82,0.9953,0.9926,0.9971,0.9756,0.9989,0.9993,0.9994,0.9994,0.9993,0.9762,0.9948,0.996,0.9963,0.9963,0.9959,0.983,0.9996,0.9999,1,1,1,0,H
6395,Kettleman City Elementary School,34,0.9895,0.9925,0.9971,0.9412,0.9988,0.9993,0.9993,0.9993,0.9993,0.9761,0.9947,0.9959,0.9962,0.9962,0.9958,0.983,0.9996,0.9999,1,1,0.9999,0,H
6398,Kings Christian,30,0.9881,0.992,0.9971,0.9333,0.9986,0.9991,0.9992,0.9992,0.9991,0.9754,0.9942,0.9955,0.9959,0.9958,0.9954,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
6409,kings county special education,52,0.9803,0.9943,0.9971,0.8846,0.9991,0.9995,0.9996,0.9996,0.9995,0.9788,0.9966,0.9975,0.9977,0.9976,0.9974,0.983,0.9997,1,1,1,1,0,H
6415,Kings River-Hardwick Elementary School,124,0.9976,0.9902,0.997,0.9919,0.9982,0.9988,0.9989,0.9989,0.9988,0.9726,0.9922,0.9939,0.9944,0.9943,0.9938,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
6418,Kit Carson Elementary School,47,0.9919,0.9865,0.997,0.9574,0.9984,0.9989,0.999,0.999,0.9989,0.9672,0.9881,0.9905,0.9913,0.9912,0.9904,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
6419,Lakeside Elementary School,29,0.9901,0.9765,0.9969,0.9655,0.9938,0.9951,0.9956,0.9955,0.9951,0.9522,0.9773,0.9817,0.9832,0.983,0.9814,0.9827,0.9995,0.9998,0.9999,0.9999,0.9998,0,H
6423,Lee Richmond Elementary School,70,0.9971,0.9932,0.9971,0.9857,0.999,0.9994,0.9995,0.9995,0.9994,0.9771,0.9954,0.9965,0.9968,0.9967,0.9964,0.983,0.9996,0.9999,1,1,1,0,H
6424,Lemoore Elementary School,115,0.9102,0.6879,0.9716,0.9913,0.8745,0.8954,0.9034,0.9024,0.8942,0.5797,0.6683,0.7126,0.7303,0.7281,0.7095,0.9449,0.9719,0.9774,0.9792,0.9789,0.9769,0.9042,M
6434,Lincoln Elementary School,75,0.9888,0.975,0.9927,0.9867,0.9868,0.9894,0.9903,0.9902,0.9893,0.9502,0.9757,0.9804,0.982,0.9818,0.98,0.9764,0.9949,0.9961,0.9964,0.9964,0.996,0,H
6440,Martin Luther King Jr. Elementary School,107,0.9301,0.8583,0.945,0.9907,0.9025,0.9192,0.9255,0.9248,0.9183,0.7878,0.8496,0.8741,0.8833,0.8823,0.8725,0.9069,0.9432,0.9535,0.9573,0.9568,0.953,0.9892,M
6441,Mary Immaculate Queen,19,0.9694,0.9554,0.9789,0.9474,0.9683,0.9742,0.9763,0.9761,0.9739,0.9216,0.9544,0.9627,0.9658,0.9655,0.9624,0.956,0.9799,0.9838,0.9852,0.985,0.9836,0.0037,H
6444,Meadow Lane Elementary School,89,0.9697,0.9378,0.9797,0.9775,0.9616,0.9687,0.9712,0.9709,0.9683,0.8965,0.9353,0.947,0.9511,0.9506,0.9462,0.9573,0.9808,0.9846,0.9858,0.9857,0.9844,0.1455,H
6447,Monroe Elementary School,113,0.9929,0.9819,0.9952,0.9912,0.9916,0.9934,0.994,0.9939,0.9933,0.9603,0.9832,0.9865,0.9876,0.9875,0.9863,0.9801,0.9976,0.9983,0.9984,0.9984,0.9983,0,H
6454,P. W. Engvall Elementary School,59,0.9548,0.8795,0.977,0.9831,0.939,0.95,0.9539,0.9535,0.9493,0.8152,0.8725,0.8937,0.9017,0.9007,0.8923,0.9533,0.978,0.9821,0.9836,0.9835,0.982,0.6428,H
6458,Pioneer Elementary School,102,0.9862,0.9722,0.9883,0.9902,0.9823,0.9857,0.9869,0.9868,0.9855,0.9461,0.9726,0.9778,0.9796,0.9794,0.9775,0.9699,0.9902,0.9922,0.9929,0.9928,0.9921,0,H
6465,r. j. neutra,126,0.673,0.3796,0.7563,0.9841,0.564,0.6137,0.6341,0.6316,0.6105,0.2767,0.3543,0.4022,0.4239,0.4217,0.4004,0.6584,0.7401,0.7781,0.7934,0.7921,0.7771,1,L
6472,Roosevelt Elementary School,85,0.9797,0.9663,0.9832,0.9765,0.9761,0.9806,0.9822,0.9821,0.9804,0.9376,0.9662,0.9725,0.9747,0.9744,0.9721,0.9622,0.9846,0.9876,0.9886,0.9885,0.9875,0,H
6477,St. Rose / Mccarthy Catholic,20,0.953,0.9218,0.9656,0.95,0.9444,0.9544,0.958,0.9576,0.9538,0.874,0.9181,0.9324,0.9377,0.9372,0.9318,0.9364,0.9655,0.9719,0.9742,0.974,0.9717,0.6408,H
6478,Stratford Elementary School,33,0.9488,0.9085,0.9684,0.9394,0.9408,0.9514,0.9554,0.9549,0.9509,0.8558,0.9038,0.9203,0.9264,0.9257,0.9193,0.9404,0.9685,0.9744,0.9765,0.9763,0.9741,0.687,M
6482,Tamarack Elementary School,94,0.9869,0.9761,0.991,0.9787,0.9859,0.9887,0.9897,0.9896,0.9886,0.9519,0.9769,0.9813,0.9829,0.9827,0.9811,0.9739,0.9931,0.9946,0.9951,0.995,0.9946,0,H
6488,Western Christian,11,0.9093,0.9621,0.9885,0.5455,0.9782,0.9824,0.9839,0.9837,0.9822,0.9314,0.9617,0.9688,0.9714,0.9711,0.9685,0.9701,0.9904,0.9923,0.993,0.9929,0.9923,3e-04,M
