school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
6728,A Bright Beginning,25,0.9432,0.9717,0.9931,0.72,0.9852,0.9881,0.9891,0.989,0.988,0.9452,0.9721,0.9773,0.9792,0.9791,0.9772,0.977,0.9954,0.9964,0.9968,0.9967,0.9964,0,1,1,1,1,1,0,M
6732,A Bright Beginning Cdc,14,0.9603,0.9108,0.9709,1,0.9429,0.9531,0.9568,0.9564,0.9525,0.8586,0.9061,0.9224,0.9285,0.9278,0.9214,0.9442,0.9712,0.9766,0.9785,0.9783,0.9763,0,1,1,1,1,1,0.6062,H
6782,ABC Little School,10,0.9929,0.9822,0.9926,1,0.9895,0.9917,0.9924,0.9923,0.9916,0.9607,0.9835,0.9867,0.9878,0.9877,0.9866,0.9762,0.9948,0.996,0.9963,0.9963,0.9959,0,1,1,1,1,1,0,H
6787,ABC Little School-Sherman Oaks,10,0.7576,0.7147,0.9721,0.1,0.8698,0.8906,0.8985,0.8976,0.8894,0.6099,0.6964,0.738,0.7543,0.7524,0.7352,0.9461,0.9726,0.9778,0.9796,0.9794,0.9775,0,1,1,1,1,1,0.8838,L
6789,"Abc Little School, Studio City",16,0.9742,0.9809,0.9964,0.875,0.9926,0.9942,0.9947,0.9946,0.9941,0.9588,0.9821,0.9856,0.9868,0.9867,0.9854,0.982,0.999,0.9994,0.9994,0.9994,0.9994,0,1,1,1,1,1,0,H
6799,Abraham Joshua Heschel Day School,21,0.9579,0.9331,0.9682,0.9524,0.9508,0.9597,0.963,0.9626,0.9592,0.8897,0.9302,0.9427,0.9472,0.9467,0.942,0.9402,0.9683,0.9742,0.9763,0.9761,0.9739,0,1,1,1,1,1,0.3898,H
6800,Abraham Lincoln Elementary School,99,0.9741,0.9108,0.9954,0.9697,0.9699,0.9754,0.9774,0.9772,0.9751,0.8587,0.906,0.9226,0.9288,0.9283,0.922,0.9805,0.9978,0.9984,0.9986,0.9985,0.9984,0,1,1,1,1,1,0.1655,H
6810,Academia Moderna,77,0.9496,0.8918,0.9691,0.974,0.9338,0.9455,0.9498,0.9493,0.9449,0.8328,0.8856,0.9049,0.9122,0.9114,0.904,0.9416,0.9693,0.9751,0.9771,0.9769,0.9748,0,1,1,1,1,1,0.7365,M
6830,The Academy for Enriched Sciences,,0.9703,0.8779,0.9963,0.944,0.9706,0.976,0.9779,0.9777,0.9757,0.8139,0.8705,0.8921,0.9004,0.8996,0.8912,0.9819,0.9988,0.9993,0.9994,0.9994,0.9993,1,1,1,1,1,1,0.178,H
6833,Primary Academy For Success,104,0.9773,0.9085,0.9963,0.9712,0.9741,0.9789,0.9806,0.9804,0.9787,0.8552,0.9037,0.9204,0.9266,0.9259,0.9195,0.9818,0.9989,0.9993,0.9994,0.9994,0.9993,0,1,1,1,1,1,0.1342,H
