school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
15566,Alpha Elementary School,122,0.99,0.9519,0.9963,0.9918,0.9874,0.9899,0.9907,0.9907,0.9898,0.9166,0.9506,0.9596,0.9629,0.9626,0.9592,0.9818,0.9988,0.9993,0.9993,0.9993,0.9993,0,1,1,1,1,1,0.0198,H
15568,Alview Elementary School,47,0.9029,0.8346,0.9235,0.9362,0.8772,0.8977,0.9055,0.9046,0.8965,0.7571,0.8242,0.8518,0.8626,0.8614,0.8502,0.8758,0.9197,0.9338,0.939,0.9383,0.9329,0,1,1,1,1,1,0.9998,M
15573,Berenda Elementary School,119,0.9951,0.9836,0.9966,0.9916,0.9947,0.9959,0.9963,0.9962,0.9959,0.9629,0.9851,0.988,0.989,0.9889,0.9879,0.9822,0.9991,0.9995,0.9996,0.9996,0.9995,0,1,1,1,1,1,0,H
15581,Cesar Chavez Elementary School,112,0.9486,0.9118,0.9491,0.9911,0.9284,0.9411,0.9457,0.9452,0.9403,0.8599,0.9073,0.9233,0.9292,0.9286,0.9223,0.9126,0.9477,0.9571,0.9606,0.9603,0.9567,0,1,1,1,1,1,0.9795,M
15585,chawanakee academy,10,0.8908,0.8902,0.9427,0.7,0.9153,0.93,0.9355,0.9348,0.9291,0.8305,0.8838,0.9035,0.9109,0.91,0.9024,0.9033,0.9406,0.9513,0.9552,0.9547,0.9507,0,1,1,1,1,1,0.9952,L
15586,Chawanakee Academy Charter,29,0.8846,0.9275,0.9937,0.4138,0.9743,0.9791,0.9809,0.9807,0.9789,0.8819,0.9243,0.9374,0.9423,0.9417,0.9366,0.978,0.996,0.997,0.9972,0.9972,0.997,0,1,1,1,1,1,0.1177,L
15592,Coarsegold Elementary School,41,0.9635,0.9434,0.973,0.9512,0.9589,0.9665,0.9692,0.9689,0.9661,0.9045,0.9414,0.9519,0.9558,0.9553,0.9513,0.9471,0.9734,0.9785,0.9803,0.9801,0.9783,0,1,1,1,1,1,0.1138,H
15596,Crossroads Christian,30,0.9363,0.8993,0.9711,0.8667,0.9404,0.9511,0.955,0.9545,0.9504,0.8431,0.8939,0.912,0.9187,0.9179,0.9108,0.9444,0.9715,0.9769,0.9788,0.9786,0.9766,0,1,1,1,1,1,0.663,M
15600,Dixieland Elementary School,30,0.9674,0.9397,0.9882,0.9333,0.9688,0.9747,0.9767,0.9765,0.9744,0.8991,0.9374,0.9487,0.9528,0.9523,0.948,0.9697,0.9901,0.9921,0.9928,0.9927,0.992,0,1,1,1,1,1,0.0825,H
15603,Eastin-Arcola Elementary School,,0.8758,0.8333,0.9109,0.811,0.8684,0.8903,0.8985,0.8975,0.889,0.7553,0.823,0.851,0.8617,0.8605,0.8494,0.8592,0.9064,0.9225,0.9286,0.9279,0.9216,1,1,1,1,1,1,1,L
15610,Ezequiel Tafoya Alvarado Academy,80,0.7396,0.6234,0.7185,0.975,0.6501,0.6953,0.7134,0.7113,0.6925,0.5089,0.6012,0.6491,0.6682,0.6661,0.6457,0.6151,0.7008,0.7417,0.7581,0.7562,0.7392,0,1,1,1,1,1,1,L
15631,George Washington Elementary School,79,0.9725,0.9404,0.9852,0.9747,0.9663,0.9726,0.9748,0.9746,0.9723,0.9004,0.9382,0.9493,0.9533,0.9529,0.9487,0.9653,0.9868,0.9894,0.9903,0.9902,0.9893,0,1,1,1,1,1,0.0995,H
15636,gould educational center,24,0.9443,0.9671,0.9872,0.75,0.9795,0.9834,0.9848,0.9846,0.9832,0.9385,0.9671,0.9733,0.9755,0.9753,0.973,0.9681,0.9889,0.9912,0.9919,0.9918,0.9911,0,1,1,1,1,1,0,M
15639,Hillside Elementary,38,0.961,0.9129,0.9858,0.9474,0.9563,0.9643,0.9672,0.9669,0.9639,0.8612,0.9084,0.9243,0.9302,0.9295,0.9234,0.9661,0.9874,0.9899,0.9907,0.9906,0.9898,0,1,1,1,1,1,0.3638,H
15641,Howard Elementary School,62,0.9739,0.9352,0.9859,0.9839,0.9661,0.9723,0.9746,0.9744,0.972,0.8931,0.9326,0.9446,0.949,0.9485,0.9439,0.9662,0.9875,0.99,0.9908,0.9907,0.9899,0,1,1,1,1,1,0.139,H
15646,James Madison Elementary School,104,0.9651,0.9417,0.9634,0.9904,0.952,0.9607,0.9639,0.9635,0.9602,0.9022,0.9397,0.9504,0.9544,0.9539,0.9498,0.9335,0.9632,0.97,0.9724,0.9722,0.9696,0,1,1,1,1,1,0.296,H
15647,James Monroe Elementary School,106,0.7725,0.6411,0.7707,0.9906,0.6894,0.7315,0.7483,0.7464,0.729,0.5281,0.6198,0.6663,0.6854,0.683,0.6632,0.6764,0.756,0.792,0.8061,0.8043,0.7895,0,1,1,1,1,1,1,L
15649,John Adams Elementary School,103,0.9387,0.8905,0.941,0.9903,0.9145,0.9294,0.935,0.9343,0.9286,0.8308,0.8842,0.9037,0.9113,0.9104,0.9027,0.9011,0.9389,0.9498,0.9539,0.9535,0.9493,0,1,1,1,1,1,0.998,M
15650,John J. Pershing Elementary School,135,0.9683,0.9382,0.9721,0.9926,0.956,0.9641,0.967,0.9666,0.9636,0.8966,0.9358,0.9473,0.9515,0.951,0.9466,0.9461,0.9726,0.9778,0.9796,0.9794,0.9775,0,1,1,1,1,1,0.2208,H
15660,La Vina Elementary School,20,0.9895,0.9877,0.9967,0.95,0.9967,0.9975,0.9978,0.9977,0.9975,0.969,0.9894,0.9916,0.9923,0.9922,0.9915,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
15666,Lincoln Elementary School,133,0.993,0.9722,0.9963,0.9925,0.9915,0.9933,0.9939,0.9938,0.9932,0.946,0.9727,0.9778,0.9797,0.9794,0.9775,0.9817,0.9988,0.9993,0.9993,0.9993,0.9993,0,1,1,1,1,1,0,H
15689,Merle L. Fuller Elementary School,206,0.9723,0.9509,0.9797,0.9709,0.9668,0.973,0.9753,0.975,0.9727,0.915,0.9495,0.9586,0.9619,0.9615,0.9581,0.9573,0.9808,0.9845,0.9858,0.9856,0.9843,0,1,1,1,1,1,0.0205,H
15691,Millview Elementary School,87,0.987,0.9753,0.9922,0.977,0.9865,0.9892,0.9901,0.99,0.9891,0.9507,0.976,0.9806,0.9822,0.9821,0.9804,0.9755,0.9943,0.9956,0.996,0.9959,0.9956,0,1,1,1,1,1,0,H
15697,Mountain Home Charter (Alternative) School,24,0.8525,0.9755,0.9933,0.1667,0.9874,0.9899,0.9908,0.9907,0.9898,0.9508,0.9763,0.9808,0.9824,0.9822,0.9805,0.9774,0.9956,0.9966,0.9969,0.9969,0.9966,0,1,1,1,1,1,0,L
15703,Nishimoto Elementary School,122,0.982,0.9666,0.9822,0.9918,0.9758,0.9804,0.982,0.9818,0.9802,0.9379,0.9665,0.9727,0.975,0.9747,0.9724,0.9608,0.9835,0.9868,0.9879,0.9877,0.9866,0,1,1,1,1,1,0,H
15705,North Fork Elementary School,27,0.9662,0.9601,0.989,0.8889,0.9777,0.982,0.9835,0.9833,0.9818,0.9288,0.9596,0.9669,0.9696,0.9693,0.9665,0.9711,0.9909,0.9928,0.9934,0.9934,0.9927,0,1,1,1,1,1,0.001,H
15711,Oakhurst Elementary School,65,0.9234,0.8565,0.9409,0.9692,0.8979,0.9155,0.922,0.9212,0.9144,0.7855,0.8478,0.8724,0.8819,0.8808,0.8711,0.9011,0.9388,0.9497,0.9538,0.9533,0.9492,0,1,1,1,1,1,0.9935,M
