school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
15809,Anthony G. Bacich Elementary School,133,0.977,0.9554,0.9787,0.9925,0.9685,0.9744,0.9765,0.9762,0.974,0.9216,0.9544,0.9628,0.9657,0.9654,0.9623,0.9557,0.9797,0.9837,0.985,0.9849,0.9835,0.0043,H
15811,Bahia Vista Elementary School,117,0.9917,0.9682,0.9965,0.9829,0.9919,0.9936,0.9941,0.9941,0.9935,0.9402,0.9683,0.9742,0.9763,0.9761,0.9739,0.9821,0.999,0.9994,0.9995,0.9995,0.9994,0.0015,H
15821,Bolinas-Stinson Elementary School,21,0.9842,0.9783,0.9931,0.9524,0.9884,0.9907,0.9915,0.9914,0.9906,0.955,0.9792,0.9832,0.9846,0.9844,0.983,0.977,0.9953,0.9964,0.9967,0.9967,0.9964,0,H
15827,Brookside Elementary School,44,0.9661,0.9506,0.9719,0.9545,0.9619,0.9689,0.9715,0.9712,0.9686,0.9148,0.9493,0.9585,0.9619,0.9615,0.958,0.9457,0.9724,0.9776,0.9794,0.9792,0.9773,0.0195,H
15840,Coleman Elementary School,70,0.9704,0.9465,0.9732,0.9857,0.9606,0.9679,0.9705,0.9702,0.9675,0.909,0.9448,0.9547,0.9582,0.9578,0.9541,0.9474,0.9738,0.9787,0.9805,0.9803,0.9785,0.07,H
15846,The Cove School,,0.9661,0.9462,0.9812,0.9371,0.966,0.9723,0.9746,0.9743,0.972,0.9086,0.9445,0.9544,0.9581,0.9577,0.9539,0.9594,0.9824,0.9858,0.987,0.9869,0.9856,0.048,H
15853,Edna Maguire Elementary School,109,0.9785,0.8612,0.9953,0.9908,0.971,0.9765,0.9784,0.9782,0.9761,0.7927,0.8526,0.877,0.8862,0.8852,0.8757,0.9803,0.9978,0.9984,0.9986,0.9986,0.9984,0.2835,H
15876,Glenwood Elementary School,68,0.9855,0.9689,0.9901,0.9853,0.9824,0.9858,0.987,0.9868,0.9856,0.9414,0.9691,0.9748,0.9769,0.9767,0.9746,0.9725,0.9921,0.9938,0.9943,0.9942,0.9937,0,H
15881,Good Shepherd Lutheran,25,0.9391,0.8363,0.9732,0.96,0.9223,0.9359,0.9409,0.9403,0.935,0.7598,0.8261,0.8536,0.8644,0.8632,0.8524,0.9476,0.9737,0.9787,0.9805,0.9803,0.9786,0.7895,M
15887,Greenwood School,22,0.9208,0.9337,0.9823,0.6818,0.9621,0.9691,0.9717,0.9714,0.9688,0.8909,0.931,0.9433,0.9478,0.9472,0.9426,0.9609,0.9836,0.9868,0.9879,0.9878,0.9867,0.1695,M
15891,Hamilton Meadow Park School,74,0.8558,0.6768,0.9084,0.9865,0.8007,0.8316,0.8436,0.8422,0.83,0.5665,0.6566,0.7014,0.7193,0.7172,0.6985,0.8555,0.9036,0.9202,0.9264,0.9258,0.9194,0.999,L
15897,Hidden Valley Elementary,58,0.9727,0.9174,0.9936,0.9655,0.9687,0.9746,0.9766,0.9764,0.9742,0.8678,0.9133,0.9283,0.9338,0.9331,0.9273,0.9779,0.9959,0.9969,0.9972,0.9971,0.9969,0.209,H
15920,Lagunitas Elementary School,12,0.9764,0.9075,0.9962,0.9167,0.9857,0.9885,0.9895,0.9894,0.9884,0.8538,0.9025,0.9194,0.9255,0.9248,0.9183,0.9817,0.9988,0.9992,0.9993,0.9993,0.9992,0.11,H
15923,Laurel Dell Elementary School,66,0.9596,0.8994,0.9789,0.9848,0.9454,0.9553,0.9589,0.9585,0.9548,0.8434,0.894,0.9119,0.9187,0.9179,0.911,0.9559,0.9799,0.9837,0.9851,0.9849,0.9835,0.562,H
15934,Loma Verde Elementary School,95,0.9633,0.9345,0.9692,0.9789,0.9522,0.9608,0.964,0.9636,0.9603,0.8917,0.9317,0.9439,0.9484,0.9479,0.9433,0.9417,0.9694,0.9752,0.9772,0.9769,0.9748,0.3562,H
15935,Lu Sutton Elementary School,69,0.8941,0.8012,0.9097,0.9855,0.8534,0.8774,0.8865,0.8855,0.8761,0.7146,0.7886,0.8208,0.8333,0.8317,0.8185,0.8572,0.9051,0.9214,0.9277,0.9269,0.9205,1,L
15936,Lucas Valley Elementary,49,0.9351,0.8925,0.9444,0.9592,0.9167,0.9313,0.9368,0.9362,0.9306,0.8336,0.8864,0.9057,0.9129,0.9121,0.9046,0.9059,0.9426,0.9529,0.9566,0.9561,0.9522,0.994,M
15938,Lycee Francais De San Francisco,21,0.9584,0.8931,0.9856,0.9524,0.9514,0.9603,0.9635,0.9631,0.9598,0.835,0.8873,0.9063,0.9135,0.9127,0.9053,0.9659,0.9872,0.9898,0.9906,0.9905,0.9897,0.4548,H
15939,Lynwood Elementary School,65,0.9634,0.9287,0.9711,0.9846,0.9509,0.9598,0.963,0.9627,0.9593,0.8837,0.9255,0.9386,0.9434,0.9427,0.9377,0.9446,0.9715,0.9769,0.9788,0.9785,0.9766,0.4172,H
15942,Manor Elementary School,48,0.9666,0.9345,0.9815,0.9583,0.9617,0.9688,0.9713,0.971,0.9684,0.8919,0.9319,0.9439,0.9484,0.948,0.9434,0.9599,0.9827,0.9861,0.9872,0.9871,0.9859,0.1648,H
15948,Marin Primary And Middle School,20,0.9518,0.9328,0.9551,0.95,0.9426,0.953,0.9567,0.9563,0.9524,0.8894,0.9299,0.9423,0.9469,0.9464,0.9417,0.9215,0.9542,0.9625,0.9656,0.9653,0.9621,0.8378,H
15950,Marin Christian Academy,29,0.9902,0.9857,0.996,0.9655,0.994,0.9953,0.9957,0.9957,0.9953,0.9662,0.9873,0.9898,0.9907,0.9906,0.9897,0.9813,0.9984,0.999,0.9991,0.999,0.999,0,H
15954,Marin Country Day School,52,0.9779,0.8623,0.9956,0.9808,0.9726,0.9778,0.9796,0.9794,0.9775,0.7925,0.8538,0.8778,0.8869,0.8859,0.8764,0.9808,0.9981,0.9987,0.9988,0.9988,0.9987,0.2788,H
15959,Marin County Special Education School,20,0.9322,0.7711,0.9821,0.95,0.9149,0.9297,0.9352,0.9347,0.929,0.6778,0.7569,0.7922,0.8068,0.8054,0.791,0.9608,0.9834,0.9867,0.9878,0.9877,0.9865,0.7475,M
15982,Marin Horizon School,20,0.9863,0.9821,0.9954,0.95,0.992,0.9937,0.9942,0.9942,0.9936,0.9608,0.9834,0.9866,0.9878,0.9876,0.9865,0.9804,0.9978,0.9984,0.9986,0.9986,0.9984,0,H
15984,Marin Montessori School,25,0.9893,0.9845,0.9962,0.96,0.9939,0.9953,0.9957,0.9956,0.9952,0.9642,0.986,0.9888,0.9898,0.9897,0.9887,0.9817,0.9987,0.9992,0.9993,0.9993,0.9992,0,H
15989,Marin Waldorf School,33,0.9124,0.815,0.9485,0.9394,0.8895,0.9083,0.9153,0.9144,0.9072,0.7318,0.8035,0.8338,0.8459,0.8447,0.8326,0.9119,0.9469,0.9566,0.9601,0.9598,0.9562,0.978,M
