school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
16265,Anderson Valley Elementary School,36,0.9691,0.9867,0.9967,0.8333,0.9953,0.9964,0.9967,0.9967,0.9964,0.9674,0.9884,0.9907,0.9915,0.9914,0.9906,0.9824,0.9993,0.9996,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
16273,Arena Elementary School,34,0.9858,0.9842,0.9964,0.9412,0.9933,0.9948,0.9952,0.9952,0.9948,0.9638,0.9857,0.9885,0.9895,0.9894,0.9884,0.9819,0.9989,0.9994,0.9994,0.9994,0.9994,0,1,1,1,1,1,0,H
16279,Brookside Elementary School,138,0.994,0.9906,0.997,0.971,0.9981,0.9987,0.9988,0.9988,0.9987,0.9732,0.9927,0.9942,0.9947,0.9947,0.9942,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
16283,Calpella Elementary School,108,0.976,0.9566,0.9762,0.9907,0.9674,0.9735,0.9757,0.9754,0.9732,0.9234,0.9557,0.9638,0.9667,0.9664,0.9633,0.952,0.977,0.9814,0.9829,0.9828,0.9812,0,1,1,1,1,1,0.0022,H
16303,Deep Valley Christian,23,0.9872,0.9475,0.9968,0.9565,0.9917,0.9934,0.994,0.9939,0.9934,0.9099,0.9459,0.9556,0.9593,0.9589,0.9552,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0.0315,H
16309,Eel River Charter School,13,0.8211,0.7835,0.8443,0.7692,0.803,0.8335,0.8453,0.8439,0.8318,0.6921,0.7695,0.8038,0.8173,0.8157,0.8018,0.7695,0.8345,0.8611,0.8713,0.8701,0.8596,0,1,1,1,1,1,1,L
16320,Frank Zeek Elementary School,91,0.7558,0.5106,0.8373,0.978,0.6704,0.7139,0.7315,0.7295,0.7115,0.3953,0.4849,0.5364,0.5577,0.5554,0.5334,0.7603,0.8272,0.8546,0.8652,0.8638,0.8529,0,1,1,1,1,1,1,L
16326,Grace Hudson Elementary School,96,0.9952,0.9891,0.997,0.9792,0.9979,0.9985,0.9986,0.9986,0.9985,0.971,0.991,0.9929,0.9935,0.9934,0.9928,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
16333,Instilling Goodness Elementary School,11,0.9486,0.9472,0.9852,0.8182,0.9694,0.9751,0.9771,0.9769,0.9748,0.91,0.9456,0.9554,0.959,0.9586,0.9549,0.9652,0.9868,0.9895,0.9903,0.9902,0.9893,0,1,1,1,1,1,0.0412,M
16341,Laytonville Elementary School,32,0.9865,0.9846,0.9968,0.9375,0.9953,0.9964,0.9967,0.9967,0.9963,0.9644,0.9861,0.9889,0.9898,0.9897,0.9887,0.9825,0.9994,0.9997,0.9998,0.9997,0.9997,0,1,1,1,1,1,0,H
