school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
16490,Ada Givens Elementary School,110,0.9961,0.9605,0.997,0.9909,0.9964,0.9973,0.9975,0.9975,0.9973,0.9291,0.96,0.9674,0.9701,0.9698,0.9671,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0.0105,H
16491,Aileen Colburn Elementary School,74,0.985,0.9141,0.9968,0.9865,0.9814,0.985,0.9863,0.9861,0.9848,0.863,0.9097,0.9254,0.9312,0.9306,0.9245,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.156,H
16494,Alicia Reyes Elementary School,94,0.9111,0.8251,0.9333,0.9787,0.8786,0.899,0.9067,0.9058,0.898,0.7439,0.8139,0.8431,0.8544,0.8531,0.8414,0.8898,0.9305,0.9428,0.9472,0.9465,0.9418,0,1,1,1,1,1,0.998,M
16499,Allan Peterson Elementary School,101,0.9945,0.9872,0.9969,0.9802,0.9966,0.9975,0.9977,0.9977,0.9975,0.9682,0.9889,0.9912,0.9919,0.9919,0.9911,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
16511,Bellevue Elementary School,119,0.9953,0.985,0.9968,0.9916,0.995,0.9961,0.9965,0.9964,0.9961,0.9649,0.9865,0.9892,0.9901,0.99,0.989,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
16521,Campus Park Elementary School,95,0.9941,0.9792,0.9969,0.9789,0.9964,0.9973,0.9975,0.9975,0.9972,0.9566,0.9803,0.9841,0.9855,0.9854,0.984,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,1,1,1,1,1,0,H
16531,Charles Wright Elementary School,84,0.9947,0.9885,0.997,0.9762,0.9978,0.9985,0.9986,0.9986,0.9985,0.9702,0.9903,0.9923,0.993,0.9929,0.9923,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
16532,Charleston Elementary School,48,0.926,0.8636,0.9456,0.9583,0.9042,0.9207,0.9269,0.9261,0.9197,0.7952,0.8551,0.8791,0.8881,0.887,0.8777,0.9078,0.9438,0.9539,0.9576,0.9571,0.9533,0,1,1,1,1,1,0.9872,M
16541,Cressey Elementary School,29,0.9932,0.9918,0.997,0.9655,0.9983,0.9988,0.9989,0.9989,0.9988,0.9751,0.9939,0.9953,0.9957,0.9956,0.9952,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
16549,Don Stowell Elementary School,76,0.9943,0.9897,0.997,0.9737,0.9979,0.9985,0.9986,0.9986,0.9985,0.9719,0.9917,0.9934,0.994,0.9939,0.9934,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
16550,Donn B. Chenoweth Elementary School,134,0.9982,0.994,0.9971,0.9925,0.999,0.9994,0.9995,0.9995,0.9994,0.9783,0.9963,0.9973,0.9975,0.9975,0.9972,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
16551,Dos Palos Elementary School,227,0.9666,0.9384,0.9677,0.9912,0.9538,0.9623,0.9653,0.965,0.9618,0.8975,0.936,0.9474,0.9516,0.9512,0.9468,0.9394,0.9678,0.9738,0.976,0.9757,0.9735,0,1,1,1,1,1,0.2768,H
16563,El Capitan Elementary School,37,0.9617,0.8979,0.9895,0.9459,0.9577,0.9654,0.9683,0.9679,0.965,0.8404,0.8921,0.9105,0.9173,0.9165,0.9094,0.9717,0.9915,0.9933,0.9938,0.9938,0.9932,0,1,1,1,1,1,0.3682,H
16566,El Nido Elementary School,20,0.9799,0.9657,0.9927,0.95,0.9828,0.9862,0.9873,0.9872,0.986,0.9368,0.9656,0.9721,0.9744,0.9742,0.9718,0.9764,0.9949,0.996,0.9964,0.9964,0.996,0,1,1,1,1,1,3e-04,H
16568,Elim Elementary School,183,0.9931,0.9689,0.9967,0.9891,0.9925,0.9941,0.9946,0.9945,0.994,0.941,0.969,0.9748,0.9769,0.9766,0.9745,0.9824,0.9992,0.9996,0.9997,0.9997,0.9996,0,1,1,1,1,1,0.001,H
