school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
16876,Alisal Community School,108,0.9867,0.9708,0.9907,0.9907,0.9829,0.9862,0.9874,0.9872,0.986,0.944,0.9711,0.9765,0.9784,0.9782,0.9762,0.9735,0.9928,0.9943,0.9948,0.9948,0.9943,0,1,1,1,1,1,0,H
16879,All Saints' Day School,,0.8569,0.8327,0.8802,0.7859,0.8481,0.8727,0.8821,0.881,0.8713,0.754,0.822,0.8502,0.8611,0.8599,0.8487,0.8171,0.8732,0.8943,0.9023,0.9014,0.8931,1,1,1,1,1,1,1,L
16881,Anthem Christian School,39,0.8772,0.7819,0.9073,0.9487,0.839,0.8647,0.8745,0.8734,0.8632,0.6911,0.7681,0.802,0.8152,0.8137,0.8,0.8532,0.9025,0.9191,0.9254,0.9248,0.9183,0,1,1,1,1,1,1,L
16886,Arroyo Seco Academy,98,0.9157,0.8184,0.9479,0.9796,0.8851,0.9043,0.9115,0.9107,0.9032,0.7366,0.8071,0.837,0.8485,0.847,0.8349,0.9109,0.9463,0.956,0.9595,0.9591,0.9554,0,1,1,1,1,1,0.9815,M
16893,Bardin Elementary School,78,0.9881,0.9744,0.9957,0.9744,0.9888,0.991,0.9918,0.9917,0.9909,0.9496,0.9751,0.9798,0.9814,0.9812,0.9795,0.9809,0.9981,0.9987,0.9988,0.9988,0.9987,0,1,1,1,1,1,0,H
16894,bay view elementary,,0.9842,0.974,0.9922,0.9637,0.9856,0.9885,0.9894,0.9893,0.9883,0.9489,0.9746,0.9794,0.9812,0.981,0.9792,0.9757,0.9944,0.9956,0.996,0.996,0.9956,1,1,1,1,1,1,0,H
16898,Big Sur Charter School,12,0.9269,0.9858,0.9966,0.5833,0.9945,0.9957,0.9961,0.9961,0.9957,0.9661,0.9874,0.9899,0.9907,0.9907,0.9898,0.9823,0.9992,0.9995,0.9996,0.9996,0.9995,0,1,1,1,1,1,0,M
16900,Boronda Elementary,55,0.9892,0.9907,0.9969,0.9455,0.9973,0.998,0.9982,0.9982,0.998,0.9734,0.9927,0.9943,0.9947,0.9947,0.9942,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
16903,Boronda Meadows Elementary School,,0.9138,0.7449,0.9948,0.8658,0.9097,0.9245,0.93,0.9294,0.9236,0.6459,0.7286,0.7671,0.7822,0.7805,0.7646,0.9795,0.9972,0.998,0.9982,0.9982,0.998,1,1,1,1,1,1,0.6308,M
16904,Bradley Elementary School,10,0.9824,0.9934,0.997,0.9,0.9985,0.999,0.9991,0.9991,0.999,0.9774,0.9957,0.9967,0.997,0.9969,0.9966,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
