school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
17294,Alta Heights Elementary School,72,0.9877,0.9763,0.9945,0.9722,0.9886,0.991,0.9917,0.9916,0.9908,0.9522,0.9771,0.9814,0.983,0.9828,0.9812,0.979,0.9968,0.9977,0.9979,0.9978,0.9976,0,1,1,1,1,1,0,H
17300,Bel Aire Park Elementary School,71,0.9388,0.8914,0.9437,0.9859,0.9157,0.9304,0.9359,0.9352,0.9296,0.832,0.8851,0.9047,0.912,0.9111,0.9034,0.9048,0.9418,0.9523,0.9561,0.9556,0.9516,0,1,1,1,1,1,0.996,M
17301,Blue Oak School,17,0.9664,0.9855,0.9959,0.8235,0.9938,0.9952,0.9956,0.9955,0.9951,0.9657,0.9871,0.9897,0.9905,0.9904,0.9896,0.9812,0.9984,0.9989,0.999,0.999,0.9989,0,1,1,1,1,1,0,H
17304,Browns Valley Elementary School,88,0.9914,0.9833,0.996,0.9773,0.9928,0.9944,0.9948,0.9948,0.9943,0.9625,0.9847,0.9878,0.9888,0.9887,0.9876,0.9813,0.9984,0.9989,0.999,0.999,0.9989,0,1,1,1,1,1,0,H
17307,Calistoga Elementary School,60,0.9817,0.947,0.9937,0.9833,0.9774,0.9817,0.9832,0.9831,0.9815,0.9094,0.9453,0.9553,0.9589,0.9585,0.9548,0.9779,0.996,0.997,0.9972,0.9972,0.9969,0,1,1,1,1,1,0.0352,H
17315,Canyon Oaks Elementary School,97,0.9205,0.7663,0.975,0.9794,0.8916,0.91,0.917,0.9162,0.909,0.6722,0.7518,0.7873,0.8019,0.8001,0.7855,0.9503,0.9757,0.9803,0.9819,0.9817,0.98,0,1,1,1,1,1,0.883,M
17328,Donaldson Way Elementary School,95,0.9902,0.9817,0.9946,0.9789,0.9907,0.9927,0.9933,0.9932,0.9926,0.96,0.9829,0.9863,0.9874,0.9873,0.9861,0.9792,0.997,0.9978,0.998,0.998,0.9978,0,1,1,1,1,1,0,H
17329,el centro elementary,66,0.9854,0.9827,0.9962,0.9394,0.9933,0.9947,0.9952,0.9951,0.9947,0.9616,0.9841,0.9872,0.9883,0.9881,0.987,0.9815,0.9987,0.9992,0.9992,0.9992,0.9992,0,1,1,1,1,1,0,H
17332,First Christian School Of Napa,18,0.9768,0.9553,0.9758,1,0.9663,0.9726,0.9748,0.9746,0.9723,0.9215,0.9543,0.9627,0.9657,0.9653,0.9622,0.9514,0.9765,0.9811,0.9826,0.9824,0.9808,0,1,1,1,1,1,0.0032,H
17333,Foothills Adventist Elementary School,10,0.9971,0.9837,0.9967,1,0.9956,0.9966,0.9969,0.9969,0.9966,0.9629,0.9851,0.9881,0.989,0.9889,0.9879,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
17352,Howell Mountain Elementary School,22,0.8422,0.5638,0.9377,0.9545,0.7896,0.8217,0.8343,0.8329,0.8201,0.4469,0.5388,0.59,0.6114,0.6095,0.5878,0.8962,0.9354,0.9468,0.9512,0.9507,0.9462,0,1,1,1,1,1,0.9888,L
17360,Kolbe Academy,21,0.9912,0.9928,0.997,0.9524,0.9985,0.9991,0.9991,0.9991,0.999,0.9766,0.995,0.9962,0.9965,0.9964,0.9961,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
17362,Kolbe Academy & Trinity Prep,,0.9869,0.9792,0.9934,0.9678,0.9886,0.991,0.9917,0.9916,0.9908,0.9563,0.9802,0.9841,0.9854,0.9852,0.9839,0.9775,0.9957,0.9967,0.997,0.997,0.9967,1,1,1,1,1,1,0,H
17382,McPherson Elementary School,49,0.9533,0.9222,0.964,0.9592,0.9426,0.9529,0.9567,0.9562,0.9523,0.8745,0.9185,0.9328,0.9381,0.9375,0.932,0.9343,0.9637,0.9704,0.9729,0.9726,0.9701,0,1,1,1,1,1,0.7052,H
17388,mt. george international,37,0.9505,0.8925,0.9784,0.9459,0.9418,0.9522,0.956,0.9556,0.9516,0.8343,0.8865,0.9056,0.9128,0.9121,0.9047,0.9551,0.9793,0.9834,0.9847,0.9845,0.9831,0,1,1,1,1,1,0.6172,H
17399,Napa Junction Elementary School,99,0.9839,0.9691,0.9888,0.9798,0.9814,0.985,0.9863,0.9862,0.9849,0.9415,0.9692,0.975,0.9771,0.9768,0.9747,0.9707,0.9907,0.9926,0.9933,0.9932,0.9926,0,1,1,1,1,1,0,H
17410,Napa Valley Language Academy,96,0.9923,0.9687,0.9967,0.9792,0.9937,0.9951,0.9955,0.9954,0.995,0.9409,0.9689,0.9747,0.9767,0.9764,0.9743,0.9824,0.9992,0.9996,0.9996,0.9996,0.9996,0,1,1,1,1,1,0.0022,H
17425,Northwood Elementary School,62,0.9787,0.8959,0.9962,0.9677,0.9768,0.9812,0.9828,0.9826,0.981,0.8389,0.8904,0.9085,0.9154,0.9145,0.9073,0.9816,0.9987,0.9992,0.9992,0.9992,0.9992,0,1,1,1,1,1,0.2132,H
17428,Pacific Union College Elementary School,11,0.9836,0.9908,0.997,0.9091,0.998,0.9986,0.9988,0.9987,0.9986,0.9736,0.9928,0.9944,0.9948,0.9948,0.9943,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,1,1,1,1,1,0,H
17432,Phillips Elementary School,72,0.9939,0.9865,0.9962,0.9861,0.9943,0.9956,0.996,0.9959,0.9956,0.9672,0.9882,0.9906,0.9914,0.9913,0.9905,0.9815,0.9986,0.9991,0.9992,0.9992,0.9991,0,1,1,1,1,1,0,H
17436,Pueblo Vista Magnet Elementary School,,0.8434,0.7999,0.8806,0.7682,0.8337,0.8601,0.8703,0.8692,0.8586,0.7128,0.7871,0.8195,0.8322,0.8307,0.8176,0.8175,0.8735,0.8948,0.9028,0.9019,0.8934,1,1,1,1,1,1,1,L
17441,Saint Helena Elementary School,,0.852,0.7441,0.9237,0.7795,0.8428,0.8682,0.8779,0.8768,0.8668,0.6451,0.728,0.7664,0.7817,0.78,0.7643,0.8766,0.9201,0.9341,0.9392,0.9386,0.9332,1,1,1,1,1,1,0.999,L
17445,salvador elementary,61,0.9532,0.9109,0.9616,0.9836,0.9366,0.9479,0.9521,0.9516,0.9472,0.8587,0.9063,0.9224,0.9285,0.9278,0.9215,0.9305,0.9611,0.9683,0.9709,0.9706,0.9679,0,1,1,1,1,1,0.8282,H
17446,shearer elementary,67,0.984,0.8671,0.9963,0.9851,0.9803,0.9841,0.9854,0.9852,0.9839,0.7997,0.8591,0.8822,0.891,0.8901,0.8812,0.9819,0.9989,0.9993,0.9994,0.9994,0.9993,0,1,1,1,1,1,0.2092,H
17447,Shearer Charter School,114,0.9963,0.9931,0.997,0.9825,0.9986,0.9991,0.9992,0.9992,0.9991,0.977,0.9953,0.9964,0.9967,0.9967,0.9964,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
17452,Snow Elementary School,68,0.9943,0.9663,0.9968,0.9853,0.995,0.9962,0.9965,0.9965,0.9962,0.9375,0.9662,0.9726,0.9749,0.9746,0.9723,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0.0053,H
17454,St. Apollinaris Elementary School,52,0.9923,0.9737,0.9966,0.9808,0.9934,0.9948,0.9952,0.9952,0.9947,0.9485,0.9744,0.9792,0.9809,0.9807,0.9789,0.9823,0.9992,0.9995,0.9996,0.9996,0.9995,0,1,1,1,1,1,3e-04,H
17455,St. Helena Catholic School,12,0.9782,0.955,0.9964,0.9167,0.9883,0.9907,0.9915,0.9914,0.9906,0.9211,0.954,0.9623,0.9654,0.9651,0.9619,0.9819,0.999,0.9994,0.9994,0.9994,0.9994,0,1,1,1,1,1,0.0147,H
17460,St. Helena Montessori - School and Farm,,0.9774,0.9655,0.9866,0.9538,0.9783,0.9825,0.9839,0.9838,0.9823,0.9365,0.9654,0.9719,0.9742,0.9739,0.9715,0.9675,0.9883,0.9907,0.9915,0.9914,0.9906,1,1,1,1,1,1,0,H
17461,St. John The Baptist Catholic,20,0.9836,0.9773,0.9934,0.95,0.9882,0.9906,0.9913,0.9912,0.9904,0.9537,0.9782,0.9823,0.9838,0.9836,0.9821,0.9774,0.9957,0.9967,0.997,0.997,0.9967,0,1,1,1,1,1,0,H
