school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
17504,Alta Sierra Elementary School,72,0.9882,0.9783,0.9947,0.9722,0.9894,0.9915,0.9923,0.9922,0.9914,0.9551,0.9793,0.9833,0.9847,0.9845,0.9831,0.9794,0.997,0.9978,0.998,0.998,0.9978,0,1,1,1,1,1,0,H
17507,Arete Charter Academy,38,0.9323,0.9885,0.9969,0.6053,0.997,0.9978,0.998,0.998,0.9978,0.9703,0.9903,0.9923,0.993,0.9929,0.9922,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,M
17512,Bell Hill Academy,54,0.9596,0.8984,0.9793,0.9815,0.9461,0.9559,0.9595,0.9591,0.9554,0.8408,0.8926,0.911,0.9179,0.9171,0.9101,0.9566,0.9804,0.9842,0.9855,0.9853,0.9839,0,1,1,1,1,1,0.5532,H
17522,Chicago Park Elementary School,16,0.966,0.9788,0.9968,0.8125,0.9958,0.9968,0.9971,0.997,0.9968,0.9559,0.9798,0.9837,0.9851,0.9849,0.9835,0.9825,0.9994,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
17527,Clear Creek Elementary School,24,0.9612,0.9496,0.9904,0.875,0.9739,0.9789,0.9806,0.9804,0.9786,0.9133,0.9481,0.9575,0.961,0.9606,0.957,0.973,0.9924,0.994,0.9945,0.9945,0.994,0,1,1,1,1,1,0.0278,H
17534,Cottage Hill Elementary School,88,0.9741,0.9507,0.9806,0.9773,0.9678,0.9739,0.976,0.9758,0.9736,0.915,0.9493,0.9586,0.9618,0.9614,0.958,0.9583,0.9818,0.9853,0.9866,0.9865,0.9852,0,1,1,1,1,1,0.021,H
17540,Deer Creek Elementary School,66,0.988,0.9755,0.9916,0.9848,0.9861,0.9889,0.9898,0.9897,0.9887,0.9508,0.9762,0.9807,0.9823,0.9821,0.9805,0.9748,0.9937,0.9951,0.9955,0.9955,0.9951,0,1,1,1,1,1,0,H
17550,Forest Charter,45,0.8819,0.8089,0.9945,0.4889,0.9524,0.9611,0.9643,0.9639,0.9607,0.7239,0.7963,0.8278,0.8402,0.8389,0.8264,0.9792,0.9969,0.9977,0.9979,0.9979,0.9977,0,1,1,1,1,1,0.469,L
17554,Forest Lake Christian,39,0.9695,0.9647,0.9816,0.9231,0.9743,0.9792,0.9809,0.9807,0.9789,0.9352,0.9646,0.9711,0.9734,0.9732,0.9708,0.9599,0.9828,0.9862,0.9873,0.9872,0.986,0,1,1,1,1,1,0,H
17560,Grass Valley Charter School,66,0.9956,0.9887,0.9969,0.9848,0.9971,0.9979,0.9981,0.9981,0.9979,0.9704,0.9905,0.9925,0.9931,0.993,0.9924,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
17563,Grizzly Hill School,12,0.9156,0.9917,0.997,0.5,0.9982,0.9988,0.9989,0.9989,0.9988,0.975,0.9938,0.9952,0.9956,0.9956,0.9951,0.9828,0.9995,0.9998,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,M
17584,Margaret G. Scotten Elementary School,82,0.9853,0.9749,0.9893,0.9756,0.9844,0.9875,0.9885,0.9884,0.9873,0.95,0.9756,0.9802,0.9818,0.9817,0.98,0.9713,0.9912,0.9931,0.9937,0.9936,0.993,0,1,1,1,1,1,0,H
17597,Mount St. Mary's Academy,20,0.9767,0.9642,0.9873,0.95,0.9782,0.9824,0.9838,0.9837,0.9822,0.9344,0.964,0.9707,0.9731,0.9729,0.9704,0.9683,0.989,0.9913,0.992,0.9919,0.9911,0,1,1,1,1,1,3e-04,H
17607,nevada city school of the arts (char),,0.9943,0.9876,0.9968,0.9787,0.9966,0.9975,0.9977,0.9977,0.9974,0.9689,0.9894,0.9916,0.9923,0.9922,0.9915,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,1,1,1,1,1,1,0,H
17644,Ready Springs Elementary,49,0.9836,0.9838,0.9967,0.9184,0.9958,0.9968,0.997,0.997,0.9967,0.9631,0.9852,0.9882,0.9891,0.989,0.988,0.9824,0.9993,0.9996,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
17662,sierra montessori academy,12,0.9564,0.9878,0.9969,0.75,0.997,0.9978,0.998,0.998,0.9978,0.9691,0.9896,0.9917,0.9924,0.9923,0.9916,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
17683,Twin Ridges Home Study Charter,36,0.85,0.9854,0.9969,0.1111,0.9971,0.9979,0.9981,0.998,0.9979,0.9657,0.987,0.9896,0.9905,0.9904,0.9895,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,L
17687,Union Hill Elementary School,91,0.9574,0.9326,0.957,0.978,0.9439,0.954,0.9577,0.9573,0.9534,0.8888,0.9297,0.9422,0.9468,0.9462,0.9415,0.924,0.9562,0.9642,0.9671,0.9668,0.9638,0,1,1,1,1,1,0.7582,H
17698,Williams Ranch Elementary School,38,0.6401,0.5201,0.589,0.9474,0.531,0.5814,0.6025,0.5999,0.5781,0.4035,0.4946,0.546,0.5678,0.5651,0.5427,0.4733,0.5655,0.615,0.6355,0.6331,0.6119,0,1,1,1,1,1,1,L
17703,Yuba River Charter School,54,0.9596,0.9711,0.9968,0.7778,0.9949,0.9961,0.9964,0.9964,0.996,0.9448,0.9715,0.9768,0.9787,0.9785,0.9765,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.0013,H
