school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
17710,A. E. Arnold Elementary School,96,0.9808,0.9347,0.9959,0.9792,0.9771,0.9815,0.983,0.9828,0.9812,0.8923,0.9321,0.9441,0.9485,0.9479,0.9433,0.9812,0.9984,0.9989,0.999,0.999,0.9989,0,1,1,1,1,1,0.0782,H
17712,A. J. Cook Elementary School,57,0.9589,0.9108,0.9736,0.9825,0.9451,0.955,0.9586,0.9582,0.9544,0.8587,0.9063,0.9223,0.9283,0.9277,0.9214,0.9481,0.9742,0.9791,0.9809,0.9807,0.9789,0,1,1,1,1,1,0.5505,H
17722,Abiding Savior Lutheran School,57,0.9839,0.9478,0.9959,0.9825,0.9808,0.9845,0.9858,0.9856,0.9843,0.9108,0.9462,0.956,0.9595,0.9591,0.9554,0.9811,0.9984,0.9989,0.999,0.999,0.9989,0,1,1,1,1,1,0.0325,H
17724,Abraham Lincoln Elementary School,99,0.7798,0.5794,0.8335,0.9798,0.7021,0.7422,0.7583,0.7564,0.7398,0.4633,0.5557,0.6053,0.626,0.6236,0.602,0.7558,0.8232,0.8509,0.8618,0.8606,0.8494,0,1,1,1,1,1,1,L
17727,Acacia Elementary School,122,0.9804,0.9582,0.9852,0.9918,0.9736,0.9786,0.9803,0.9801,0.9783,0.9256,0.9575,0.9653,0.9681,0.9678,0.9648,0.9652,0.9867,0.9894,0.9903,0.9902,0.9892,0,1,1,1,1,1,0.0018,H
17730,Academy On The Hills,23,0.9851,0.9783,0.994,0.9565,0.9887,0.991,0.9918,0.9917,0.9909,0.9551,0.9793,0.9833,0.9847,0.9845,0.9831,0.9784,0.9964,0.9973,0.9975,0.9975,0.9972,0,1,1,1,1,1,0,H
17732,Access County Community School,27,0.9539,0.9678,0.9848,0.8148,0.9778,0.9821,0.9835,0.9834,0.9818,0.9397,0.9679,0.9739,0.9761,0.9758,0.9736,0.9646,0.9863,0.989,0.99,0.9898,0.9889,0,1,1,1,1,1,0,H
17737,Ada Clegg Elementary School,100,0.9875,0.9742,0.9901,0.99,0.9841,0.9872,0.9883,0.9882,0.9871,0.949,0.9749,0.9795,0.9813,0.981,0.9793,0.9726,0.9921,0.9938,0.9943,0.9943,0.9937,0,1,1,1,1,1,0,H
17738,Adams Elementary School,71,0.987,0.9773,0.9931,0.9718,0.9877,0.9902,0.991,0.9909,0.9901,0.9536,0.9781,0.9823,0.9838,0.9836,0.9821,0.9771,0.9954,0.9964,0.9967,0.9967,0.9964,0,1,1,1,1,1,0,H
17753,Agnes L. Smith Elementary School,83,0.9035,0.8431,0.9145,0.9518,0.8744,0.8953,0.9032,0.9023,0.8941,0.7676,0.8331,0.8598,0.8701,0.869,0.8585,0.8638,0.9101,0.9258,0.9316,0.9309,0.9249,0,1,1,1,1,1,1,M
