school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
20261,Adventure Christian,115,0.9374,0.9106,0.9461,0.9304,0.9268,0.9397,0.9445,0.9439,0.9389,0.8585,0.9058,0.9222,0.9283,0.9276,0.9213,0.9084,0.9444,0.9544,0.9581,0.9577,0.9539,0,1,1,1,1,1,0.9938,M
20271,Alta-Dutch Flat Elementary School,13,0.9311,0.9821,0.996,0.6154,0.9928,0.9944,0.9948,0.9948,0.9943,0.9607,0.9834,0.9866,0.9877,0.9876,0.9864,0.9813,0.9985,0.999,0.9991,0.9991,0.999,0,1,1,1,1,1,0,M
20273,Alta Vista Community Charter,24,0.9556,0.976,0.9911,0.7917,0.9858,0.9886,0.9896,0.9895,0.9885,0.9515,0.9767,0.9812,0.9827,0.9826,0.981,0.974,0.9932,0.9947,0.9951,0.9951,0.9946,0,1,1,1,1,1,0,H
20278,Antelope Creek Elementary School,79,0.9719,0.9537,0.98,0.962,0.9684,0.9743,0.9764,0.9762,0.974,0.9193,0.9527,0.9613,0.9644,0.9641,0.9608,0.9576,0.9811,0.9848,0.9861,0.9859,0.9846,0,1,1,1,1,1,0.0065,H
20285,Auburn Elementary School,38,0.9774,0.9651,0.9892,0.9474,0.9799,0.9838,0.9851,0.985,0.9836,0.9359,0.965,0.9715,0.9738,0.9735,0.9711,0.9711,0.991,0.9929,0.9935,0.9935,0.9929,0,1,1,1,1,1,0,H
20291,Blue Oaks Elementary School,75,0.9769,0.9568,0.9798,0.9867,0.9697,0.9754,0.9774,0.9772,0.9751,0.9236,0.9559,0.964,0.9669,0.9666,0.9636,0.9574,0.9809,0.9846,0.9859,0.9858,0.9845,0,1,1,1,1,1,0.0025,H
20292,Bowman Charter School,83,0.9759,0.9568,0.9814,0.9759,0.9709,0.9763,0.9783,0.9781,0.976,0.9239,0.9559,0.964,0.9669,0.9666,0.9636,0.9595,0.9826,0.986,0.9872,0.987,0.9858,0,1,1,1,1,1,0.0027,H
20295,Bradford Woodbridge Fundamental Elementary School,63,0.9446,0.9121,0.941,0.9841,0.9243,0.9376,0.9426,0.942,0.9369,0.8604,0.9075,0.9235,0.9296,0.929,0.9228,0.901,0.9389,0.9497,0.9538,0.9533,0.9492,0,1,1,1,1,1,0.9995,M
20296,Breen Elementary School,45,0.9489,0.9235,0.9531,0.9556,0.9372,0.9484,0.9525,0.9521,0.9478,0.8763,0.9199,0.934,0.9392,0.9386,0.9332,0.9185,0.952,0.9607,0.9638,0.9635,0.9602,0,1,1,1,1,1,0.9292,M
20302,Carlin C. Coppin Elementary School,86,0.979,0.8844,0.9953,0.9767,0.975,0.9798,0.9814,0.9813,0.9796,0.823,0.8778,0.8981,0.9057,0.9047,0.8967,0.9802,0.9977,0.9983,0.9985,0.9985,0.9983,0,1,1,1,1,1,0.2195,H
