school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
20737,21st Century Learning Institute,25,0.9455,0.8669,0.9743,0.96,0.9313,0.9434,0.9479,0.9474,0.9428,0.799,0.8589,0.8823,0.8909,0.8899,0.8807,0.9493,0.9749,0.9796,0.9813,0.9811,0.9794,0,1,1,1,1,1,0.7378,M
20743,Abby Reinke Elementary School,90,0.9434,0.901,0.9489,0.9778,0.9241,0.9375,0.9424,0.9419,0.9367,0.8453,0.8956,0.9134,0.9202,0.9195,0.9125,0.9125,0.9475,0.957,0.9604,0.96,0.9564,0,1,1,1,1,1,0.9805,M
20750,Abraham Lincoln Elementary School,112,0.9469,0.8027,0.9857,0.9911,0.9259,0.939,0.9439,0.9433,0.9383,0.7168,0.7901,0.822,0.8344,0.8331,0.8203,0.9661,0.9873,0.9898,0.9907,0.9906,0.9898,0,1,1,1,1,1,0.699,M
20756,Academy of Innovation K-8,90,0.981,0.9725,0.9969,0.9,0.9965,0.9973,0.9976,0.9976,0.9973,0.9465,0.973,0.9781,0.9799,0.9796,0.9778,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0.002,H
20757,The Academy Of Palm Desert Community Presbyterian Church,12,0.9584,0.9689,0.9868,0.8333,0.9799,0.9838,0.9851,0.985,0.9836,0.9413,0.969,0.9748,0.9769,0.9766,0.9745,0.9677,0.9886,0.9909,0.9916,0.9915,0.9908,0,1,1,1,1,1,0,H
20762,Adams Elementary School,85,0.9519,0.856,0.99,0.9765,0.9364,0.9478,0.9519,0.9514,0.9471,0.784,0.8468,0.8718,0.8813,0.8799,0.87,0.9725,0.9919,0.9936,0.9942,0.9941,0.9936,0,1,1,1,1,1,0.6302,H
20778,Agua Caliente Elementary School,106,0.9819,0.9713,0.9862,0.9717,0.9804,0.9842,0.9855,0.9854,0.984,0.9449,0.9717,0.977,0.9789,0.9787,0.9768,0.9667,0.9878,0.9903,0.9911,0.991,0.9902,0,1,1,1,1,1,0,H
20781,Alamos Elementary School,136,0.9865,0.9725,0.9877,0.9926,0.982,0.9855,0.9867,0.9866,0.9853,0.9463,0.9729,0.9781,0.9799,0.9797,0.9778,0.969,0.9894,0.9916,0.9923,0.9922,0.9915,0,1,1,1,1,1,0,H
20783,Alberhill Elementary,98,0.9898,0.9167,0.9968,0.9796,0.9899,0.992,0.9926,0.9926,0.9919,0.8676,0.9127,0.9278,0.9334,0.9327,0.9268,0.9825,0.9994,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.0887,H
20784,Alcott Elementary School,114,0.9923,0.9816,0.9944,0.9912,0.9907,0.9926,0.9933,0.9932,0.9926,0.9598,0.9828,0.9862,0.9873,0.9872,0.986,0.979,0.9967,0.9976,0.9978,0.9978,0.9976,0,1,1,1,1,1,0,H
20791,Allan Orrenmaa Elementary School,87,0.9944,0.9892,0.9969,0.977,0.9972,0.998,0.9982,0.9981,0.998,0.9713,0.9911,0.993,0.9936,0.9935,0.9929,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
20795,Alta Murrieta Elementary School,167,0.988,0.9748,0.9914,0.988,0.9854,0.9883,0.9893,0.9892,0.9882,0.9499,0.9755,0.9801,0.9818,0.9816,0.9799,0.9745,0.9935,0.9949,0.9953,0.9953,0.9949,0,1,1,1,1,1,0,H
20808,Amelia Earhart Elementary School Of International Studies,147,0.9936,0.9843,0.9949,0.9932,0.9922,0.9938,0.9944,0.9943,0.9938,0.964,0.9858,0.9886,0.9895,0.9894,0.9884,0.9797,0.9973,0.998,0.9982,0.9982,0.998,0,1,1,1,1,1,0,H
20812,Andrew Jackson Elementary School,177,0.9961,0.9901,0.9968,0.9887,0.9969,0.9977,0.9979,0.9979,0.9977,0.9725,0.992,0.9938,0.9943,0.9942,0.9937,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0,H
20816,Anna Hause Elementary School,120,0.9924,0.9936,0.997,0.9583,0.9989,0.9993,0.9994,0.9994,0.9993,0.9778,0.9959,0.9969,0.9972,0.9971,0.9969,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
20818,Anne Sullivan Preschool and Kindergarten,,0.9957,0.9897,0.997,0.9809,0.9981,0.9987,0.9988,0.9988,0.9987,0.972,0.9917,0.9934,0.994,0.9939,0.9933,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,1,1,1,1,1,1,0,H
20819,Antelope Hills Elementary School,128,0.9959,0.9859,0.9968,0.9922,0.9957,0.9967,0.997,0.997,0.9967,0.9662,0.9875,0.99,0.9909,0.9908,0.9899,0.9825,0.9994,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
20825,Applied Scholastics Online Academy,20,0.833,0.9782,0.9919,0.05,0.9872,0.9898,0.9906,0.9905,0.9897,0.9549,0.9791,0.9832,0.9846,0.9844,0.983,0.9752,0.994,0.9953,0.9957,0.9957,0.9953,0,1,1,1,1,1,0,L
20827,Arlanza Elementary School,96,0.9934,0.9889,0.997,0.9688,0.9977,0.9984,0.9985,0.9985,0.9984,0.9709,0.9908,0.9927,0.9933,0.9932,0.9926,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
20830,Armada Elementary School,158,0.997,0.9924,0.997,0.9873,0.9985,0.999,0.9991,0.9991,0.999,0.976,0.9946,0.9958,0.9962,0.9961,0.9957,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
20838,Avalon Elementary School,89,0.9939,0.9879,0.9968,0.9775,0.9963,0.9972,0.9975,0.9974,0.9972,0.9693,0.9897,0.9918,0.9925,0.9925,0.9918,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0,H
20839,Avaxat Elementary School,132,0.9726,0.9498,0.9735,0.9924,0.9622,0.9692,0.9717,0.9714,0.9688,0.9138,0.9483,0.9577,0.9611,0.9607,0.9572,0.948,0.9741,0.9789,0.9807,0.9805,0.9787,0,1,1,1,1,1,0.0267,H
20850,Baptist Christian School,23,0.9261,0.9328,0.9598,0.7826,0.9458,0.9556,0.9591,0.9587,0.955,0.8892,0.9299,0.9423,0.9469,0.9464,0.9416,0.928,0.9591,0.9666,0.9694,0.9691,0.9663,0,1,1,1,1,1,0.6492,M
20854,Bautista Creek Elementary School,180,0.9894,0.9658,0.9964,0.9889,0.9872,0.9898,0.9906,0.9905,0.9897,0.9368,0.9658,0.9721,0.9744,0.9741,0.9717,0.9819,0.9989,0.9993,0.9994,0.9994,0.9993,0,1,1,1,1,1,0.001,H
20855,baypoint preparatory academy,37,0.9762,0.9691,0.9847,0.9459,0.9785,0.9826,0.9841,0.9839,0.9824,0.9416,0.9693,0.975,0.977,0.9768,0.9747,0.9645,0.9862,0.989,0.9899,0.9898,0.9888,0,1,1,1,1,1,0,H
20858,Bear Valley Elementary School,113,0.9966,0.9894,0.9969,0.9912,0.997,0.9978,0.998,0.998,0.9978,0.9715,0.9913,0.9931,0.9937,0.9936,0.993,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
20869,Bella Vista Elementary School,139,0.9926,0.9849,0.9966,0.9784,0.9943,0.9956,0.9959,0.9959,0.9955,0.9647,0.9864,0.9891,0.99,0.9899,0.989,0.9822,0.9991,0.9995,0.9996,0.9996,0.9995,0,1,1,1,1,1,0,H
20873,Benjamin Franklin Elementary School,103,0.9877,0.9777,0.9912,0.9806,0.9867,0.9893,0.9902,0.9901,0.9892,0.9541,0.9787,0.9828,0.9842,0.984,0.9825,0.9741,0.9932,0.9947,0.9951,0.9951,0.9947,0,1,1,1,1,1,0,H
20879,Bethel Christian Schools,48,0.9859,0.9808,0.9934,0.9583,0.9894,0.9916,0.9923,0.9922,0.9915,0.9587,0.982,0.9855,0.9867,0.9866,0.9853,0.9775,0.9956,0.9967,0.997,0.9969,0.9966,0,1,1,1,1,1,0,H
20894,Boulder Ridge Elementary,165,0.9974,0.9939,0.997,0.9879,0.9989,0.9993,0.9994,0.9994,0.9993,0.9783,0.9962,0.9972,0.9974,0.9974,0.9971,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
