school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
22465,A. M. Winn Waldorf-Inspired K-8,,0.9713,0.9592,0.9812,0.9447,0.9716,0.977,0.9789,0.9787,0.9767,0.9269,0.9584,0.9661,0.9689,0.9686,0.9658,0.9592,0.9824,0.9858,0.987,0.9869,0.9856,8e-04,H
22469,Abraham Lincoln Elementary School,78,0.9859,0.9772,0.99,0.9744,0.9856,0.9884,0.9894,0.9893,0.9883,0.9535,0.9781,0.9823,0.9838,0.9836,0.9821,0.9723,0.992,0.9936,0.9942,0.9941,0.9936,0,H
22482,al-arqam islamic school & college preparatory,47,0.986,0.9871,0.9963,0.9362,0.9949,0.9961,0.9964,0.9963,0.996,0.968,0.9888,0.9911,0.9918,0.9917,0.991,0.9817,0.9988,0.9992,0.9993,0.9993,0.9992,0,H
22484,Albert Schweitzer Elementary School,47,0.9904,0.9878,0.9966,0.9574,0.9961,0.9971,0.9973,0.9973,0.997,0.9692,0.9896,0.9918,0.9924,0.9923,0.9916,0.9823,0.9992,0.9996,0.9996,0.9996,0.9996,0,H
22490,Alice Birney Waldorf-Inspired,72,0.7984,0.5735,0.8628,0.9861,0.7243,0.7632,0.7787,0.7769,0.7609,0.4574,0.5496,0.5995,0.6203,0.6179,0.5965,0.7929,0.8544,0.8784,0.8875,0.8863,0.8769,1,L
22503,american lakes elementary,80,0.9724,0.9513,0.9777,0.975,0.9661,0.9724,0.9746,0.9744,0.972,0.9158,0.95,0.9591,0.9624,0.962,0.9585,0.9541,0.9786,0.9827,0.9841,0.984,0.9825,0.0163,H
22508,American River Collegiate Academy,29,0.9914,0.9859,0.9966,0.9655,0.9956,0.9966,0.9969,0.9969,0.9966,0.9664,0.9875,0.9901,0.9909,0.9908,0.99,0.9823,0.9992,0.9996,0.9996,0.9996,0.9996,0,H
22512,Anna Kirchgater Elementary School,132,0.8389,0.7636,0.8168,0.9848,0.7785,0.8119,0.8249,0.8234,0.8099,0.6683,0.7484,0.7849,0.7995,0.7978,0.783,0.7341,0.8052,0.8354,0.847,0.8457,0.8336,1,L
22516,Antelope Christian Academy,19,0.9813,0.9727,0.9925,0.9474,0.9855,0.9884,0.9893,0.9892,0.9882,0.9468,0.9732,0.9783,0.9801,0.9799,0.978,0.9762,0.9947,0.9959,0.9963,0.9962,0.9959,0,H
22525,applied behavior consultants inc. (abc school) sacramento,,0.9871,0.9786,0.9936,0.968,0.9888,0.9911,0.9918,0.9917,0.991,0.9555,0.9796,0.9835,0.9849,0.9847,0.9833,0.9777,0.9959,0.9969,0.9971,0.9971,0.9968,0,H
22527,Arcohe Elementary School,74,0.9891,0.9762,0.9927,0.9865,0.9872,0.9898,0.9907,0.9906,0.9897,0.9521,0.977,0.9814,0.9829,0.9827,0.9811,0.9763,0.9949,0.9961,0.9964,0.9963,0.996,0,H
22533,Arlene Hein Elementary School,119,0.9887,0.9747,0.9916,0.9916,0.9855,0.9884,0.9894,0.9893,0.9883,0.9497,0.9754,0.9801,0.9817,0.9816,0.9799,0.9747,0.9937,0.9951,0.9955,0.9955,0.995,0,H
22534,Arlington Heights Elementary School,102,0.993,0.9808,0.996,0.9902,0.992,0.9937,0.9943,0.9942,0.9937,0.9589,0.9819,0.9854,0.9866,0.9865,0.9852,0.9813,0.9985,0.999,0.9991,0.9991,0.999,0,H
22535,Arnold Adreani Elementary School,160,0.8441,0.7428,0.8448,0.9875,0.7849,0.8175,0.8302,0.8288,0.8156,0.6427,0.7258,0.765,0.7805,0.7787,0.7629,0.7702,0.835,0.8615,0.8717,0.8704,0.8598,1,L
22539,Arthur C. Butler Elementary School,133,0.8954,0.8349,0.8877,0.9925,0.8538,0.8776,0.8867,0.8857,0.8762,0.7571,0.8246,0.8522,0.8629,0.8616,0.8505,0.827,0.8812,0.9012,0.9087,0.9078,0.8999,1,L
22540,Arthur S. Dudley Elementary School,96,0.4074,0.1109,0.4836,0.9792,0.2542,0.2946,0.3131,0.311,0.2921,0.072,0.0996,0.1195,0.129,0.1278,0.1181,0.3687,0.4579,0.5091,0.5304,0.5275,0.5051,1,L
22543,Aspire Alexander Twilight College Preparatory Academy,95,0.9572,0.9257,0.9617,0.9789,0.9434,0.9536,0.9573,0.9569,0.9531,0.8792,0.9222,0.9359,0.9409,0.9403,0.9351,0.9307,0.9613,0.9685,0.9711,0.9708,0.9681,0.6952,H
22545,Aspire Capitol Heights Academy,26,0.9581,0.9326,0.9651,0.9615,0.9488,0.9581,0.9615,0.9611,0.9576,0.8892,0.9299,0.9422,0.9468,0.9462,0.9415,0.9357,0.965,0.9715,0.9738,0.9736,0.9712,0.4878,H
22557,bannon creek elementary,92,0.9562,0.9302,0.9568,0.9783,0.9422,0.9526,0.9564,0.956,0.952,0.8856,0.9272,0.94,0.9447,0.9442,0.9393,0.9235,0.9559,0.964,0.9669,0.9665,0.9635,0.8155,H
22558,Barbara Comstock Morse Elementary School,79,0.99,0.9711,0.9964,0.9747,0.9915,0.9933,0.9938,0.9938,0.9932,0.9443,0.9715,0.9769,0.9787,0.9785,0.9765,0.9819,0.9989,0.9994,0.9994,0.9994,0.9994,3e-04,H
22562,Bates Elementary School,21,0.9781,0.8681,0.9963,0.9524,0.9797,0.9836,0.985,0.9848,0.9834,0.8009,0.8603,0.8831,0.8918,0.8907,0.8817,0.9818,0.9988,0.9993,0.9993,0.9993,0.9993,0.2258,H
22571,Bell Avenue Elementary School,83,0.9539,0.9295,0.9528,0.9759,0.9394,0.9503,0.9542,0.9538,0.9497,0.8849,0.9264,0.9393,0.9441,0.9435,0.9385,0.9181,0.9517,0.9605,0.9637,0.9634,0.9601,0.9315,H
22579,Bergamo Montessori School,13,0.9759,0.9689,0.9917,0.9231,0.9835,0.9867,0.9878,0.9877,0.9866,0.9413,0.969,0.9748,0.9769,0.9766,0.9745,0.975,0.9938,0.9952,0.9956,0.9956,0.9951,0,H
22585,Blanche Sprentz Elementary School,133,0.9805,0.9567,0.9848,0.9925,0.9735,0.9785,0.9803,0.9801,0.9783,0.9237,0.9558,0.9639,0.9668,0.9665,0.9635,0.9646,0.9864,0.9891,0.99,0.9899,0.9889,0.004,H
22593,bowling green o.h. center,,0.9206,0.9004,0.9381,0.8724,0.9168,0.9313,0.9367,0.9361,0.9305,0.8444,0.895,0.9128,0.9195,0.9188,0.9119,0.8969,0.9358,0.9472,0.9515,0.951,0.9466,0.9998,M
22594,Bradshaw Christian,117,0.99,0.984,0.9961,0.9658,0.9936,0.995,0.9954,0.9954,0.9949,0.9636,0.9855,0.9883,0.9893,0.9892,0.9882,0.9816,0.9986,0.9991,0.9992,0.9992,0.9991,0,H
22595,Bret Harte Elementary School,23,0.9892,0.9867,0.9963,0.9565,0.9946,0.9958,0.9962,0.9961,0.9958,0.9675,0.9884,0.9908,0.9915,0.9914,0.9906,0.9818,0.9988,0.9993,0.9993,0.9993,0.9992,0,H
22598,bright horizons,,0.6031,0.5651,0.6389,0.4877,0.58,0.6289,0.6491,0.6468,0.626,0.4486,0.5408,0.5911,0.6122,0.6096,0.5879,0.5264,0.6174,0.6643,0.6836,0.6815,0.6619,1,L
22603,Brookfield School,35,0.98,0.9734,0.9913,0.9429,0.9847,0.9877,0.9888,0.9886,0.9876,0.9479,0.9739,0.9789,0.9806,0.9805,0.9787,0.9743,0.9934,0.9948,0.9953,0.9952,0.9948,0,H
22609,C. W. Dillard Elementary School,42,0.9834,0.9777,0.9917,0.9524,0.9872,0.9898,0.9906,0.9906,0.9897,0.9543,0.9786,0.9828,0.9842,0.984,0.9825,0.9749,0.9938,0.9951,0.9956,0.9955,0.9951,0,H
22612,cadence academy,24,0.9727,0.9523,0.9841,0.9583,0.9705,0.976,0.978,0.9778,0.9758,0.9172,0.951,0.96,0.9631,0.9628,0.9595,0.9636,0.9856,0.9884,0.9894,0.9893,0.9883,0.015,H
22615,Caleb Greenwood Elementary School,52,0.9534,0.9184,0.9577,0.9808,0.9376,0.9487,0.9528,0.9523,0.9481,0.8691,0.9143,0.9292,0.9348,0.9342,0.9285,0.925,0.9569,0.9648,0.9677,0.9674,0.9644,0.8532,H
22621,California Montessori Project - Capitol Campus School,72,0.9815,0.9634,0.99,0.9722,0.9798,0.9837,0.985,0.9849,0.9835,0.9334,0.9632,0.97,0.9724,0.9721,0.9697,0.9724,0.9919,0.9937,0.9942,0.9941,0.9936,3e-04,H
22622,California Montessori Project - Elk Grove Campus School,93,0.9844,0.9509,0.9957,0.9677,0.985,0.988,0.989,0.9889,0.9879,0.9153,0.9495,0.9588,0.9621,0.9617,0.9583,0.981,0.9981,0.9987,0.9988,0.9988,0.9987,0.0225,H
22623,California Montessori Project-San Juan Campus School,220,0.981,0.9709,0.9959,0.9318,0.9887,0.991,0.9918,0.9917,0.9909,0.9442,0.9712,0.9766,0.9785,0.9783,0.9763,0.9811,0.9983,0.9989,0.999,0.999,0.9989,0,H
22630,Cambridge Heights Elementary School,52,0.4227,0.2247,0.3672,0.9808,0.2708,0.313,0.3321,0.3297,0.3101,0.1529,0.2051,0.2405,0.2567,0.2545,0.2379,0.266,0.3424,0.3897,0.4109,0.4084,0.3868,1,L
22631,Camellia Elementary School,82,0.9456,0.9175,0.9428,0.9756,0.9277,0.9405,0.9452,0.9447,0.9398,0.8677,0.9133,0.9285,0.9341,0.9334,0.9276,0.9036,0.9408,0.9514,0.9553,0.9549,0.9508,0.9995,M
22632,Camellia Waldorf School,28,0.955,0.956,0.9798,0.8571,0.9693,0.9751,0.9771,0.9769,0.9747,0.9225,0.9551,0.9633,0.9664,0.9661,0.963,0.9572,0.9808,0.9846,0.9859,0.9857,0.9844,0.002,H
22633,Cameron Ranch Elementary School,70,0.9941,0.9923,0.9969,0.9714,0.9982,0.9987,0.9989,0.9988,0.9987,0.9759,0.9945,0.9958,0.9961,0.9961,0.9957,0.9828,0.9995,0.9998,0.9998,0.9998,0.9998,0,H
22639,Capital Christian School,57,0.9888,0.9836,0.995,0.9649,0.9921,0.9938,0.9943,0.9942,0.9937,0.9629,0.985,0.988,0.989,0.9888,0.9878,0.9798,0.9974,0.9981,0.9983,0.9982,0.9981,0,H
22640,Capital City Independent Study School,20,0.9605,0.9333,0.9741,0.95,0.955,0.9632,0.9662,0.9658,0.9627,0.8901,0.9306,0.9427,0.9473,0.9469,0.9422,0.9492,0.9748,0.9796,0.9813,0.9811,0.9793,0.281,H
22647,Capitol Collegiate Academy,25,0.9643,0.9297,0.9791,0.96,0.958,0.9658,0.9685,0.9682,0.9653,0.8848,0.9265,0.9395,0.9443,0.9438,0.9388,0.9562,0.9802,0.984,0.9853,0.9851,0.9838,0.257,H
22649,Carden School Of Sacramento,11,0.9785,0.979,0.9953,0.9091,0.9906,0.9925,0.9932,0.9931,0.9925,0.9562,0.9801,0.9839,0.9852,0.9851,0.9837,0.9803,0.9978,0.9984,0.9986,0.9986,0.9984,0,H
22651,Carl H. Sundahl Elementary School,52,0.987,0.9713,0.9933,0.9808,0.9856,0.9885,0.9895,0.9893,0.9884,0.945,0.9718,0.9771,0.979,0.9788,0.9768,0.9773,0.9956,0.9966,0.9969,0.9969,0.9966,0,H
22652,Carmichael Elementary School,60,0.9782,0.9581,0.9825,0.9833,0.9723,0.9775,0.9794,0.9792,0.9773,0.9256,0.9574,0.9652,0.9681,0.9678,0.9648,0.9613,0.9838,0.987,0.988,0.9879,0.9868,8e-04,H
22656,Caroline Wenzel Elementary School,22,0.9665,0.9501,0.9737,0.9545,0.9624,0.9694,0.9719,0.9716,0.969,0.914,0.9487,0.958,0.9614,0.961,0.9575,0.9482,0.9743,0.9791,0.9809,0.9807,0.9789,0.0243,H
22660,Carriage Drive Elementary,56,0.9921,0.9564,0.9967,0.9821,0.9927,0.9942,0.9947,0.9947,0.9942,0.9229,0.9555,0.9637,0.9666,0.9663,0.9632,0.9823,0.9992,0.9996,0.9996,0.9996,0.9996,0.0168,H
22662,Carroll Elementary School,77,0.9525,0.9176,0.9582,0.974,0.9379,0.949,0.9531,0.9526,0.9484,0.8681,0.9136,0.9285,0.934,0.9334,0.9276,0.9259,0.9575,0.9653,0.9682,0.9679,0.965,0.8418,H
22685,Charles E. Mack Elementary School,147,0.9521,0.9258,0.9617,0.9456,0.9441,0.9542,0.9579,0.9575,0.9536,0.8796,0.9224,0.9361,0.9411,0.9406,0.9354,0.9309,0.9613,0.9685,0.9711,0.9708,0.9681,0.683,H
22686,Charles Peck Elementary School,58,0.9735,0.9476,0.9801,0.9828,0.9657,0.9721,0.9744,0.9741,0.9717,0.9104,0.9459,0.9557,0.9592,0.9588,0.9551,0.9577,0.9812,0.9849,0.9861,0.986,0.9846,0.0462,H
22714,Community Collaborative Charter School,33,0.9476,0.9896,0.9968,0.697,0.997,0.9978,0.998,0.998,0.9978,0.9718,0.9916,0.9933,0.9939,0.9938,0.9933,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,M
22716,Community Outreach Academy,219,0.9774,0.9568,0.9796,0.9909,0.9695,0.9752,0.9772,0.977,0.9749,0.9235,0.9559,0.964,0.967,0.9667,0.9636,0.9569,0.9807,0.9844,0.9857,0.9856,0.9843,0.0035,H
22724,Cordova Gardens Elementary School,45,0.9879,0.9822,0.996,0.9556,0.993,0.9945,0.995,0.9949,0.9945,0.9609,0.9835,0.9868,0.9879,0.9878,0.9867,0.9813,0.9985,0.999,0.9991,0.9991,0.999,0,H
22727,Cordova Meadows Elementary School,50,0.9843,0.9723,0.9878,0.98,0.9819,0.9854,0.9866,0.9865,0.9852,0.9464,0.9728,0.9779,0.9797,0.9795,0.9777,0.969,0.9896,0.9917,0.9924,0.9923,0.9916,0,H
22728,Cordova Villa Elementary School,88,0.9371,0.8981,0.9372,0.9773,0.9154,0.9301,0.9356,0.9349,0.9292,0.8409,0.8924,0.9107,0.9176,0.9168,0.9097,0.8958,0.9348,0.9464,0.9507,0.9502,0.9457,0.9995,M
22730,Cornerstone Christian,22,0.9371,0.9713,0.9929,0.6818,0.9855,0.9884,0.9893,0.9892,0.9882,0.9447,0.9717,0.977,0.979,0.9788,0.9768,0.9767,0.9951,0.9963,0.9966,0.9965,0.9962,0,M
22733,Cosumnes River Elementary School,77,0.9873,0.9766,0.9931,0.974,0.9877,0.9902,0.991,0.9909,0.9901,0.9526,0.9775,0.9818,0.9833,0.9832,0.9816,0.977,0.9953,0.9964,0.9967,0.9967,0.9964,0,H
22735,Cottage Elementary School,96,0.9924,0.983,0.9964,0.9792,0.9938,0.9952,0.9956,0.9955,0.9951,0.962,0.9843,0.9874,0.9885,0.9883,0.9873,0.9819,0.9989,0.9993,0.9994,0.9994,0.9993,0,H
22743,Courtyard School,17,0.9977,0.9844,0.9968,1,0.9964,0.9973,0.9976,0.9975,0.9973,0.9641,0.9859,0.9887,0.9896,0.9895,0.9885,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,H
22744,Coyle Avenue Elementary School,50,0.9589,0.9265,0.9644,0.98,0.9456,0.9554,0.959,0.9586,0.9549,0.8807,0.9231,0.9367,0.9417,0.9411,0.9359,0.9347,0.9642,0.9708,0.9732,0.9729,0.9705,0.6158,H
22745,Creative Connections Arts Academy,44,0.9886,0.9855,0.9962,0.9545,0.9943,0.9955,0.9959,0.9959,0.9955,0.9657,0.987,0.9896,0.9905,0.9904,0.9895,0.9816,0.9987,0.9991,0.9992,0.9992,0.9991,0,H
22753,Crocker/Riverside Elementary School,93,0.9699,0.9472,0.9742,0.9785,0.9617,0.9688,0.9713,0.971,0.9684,0.9101,0.9455,0.9554,0.9588,0.9585,0.9548,0.949,0.9747,0.9795,0.9813,0.9811,0.9793,0.0542,H
22762,Cyril Spinelli Elementary School,59,0.9854,0.9772,0.9915,0.9661,0.9868,0.9894,0.9903,0.9902,0.9893,0.9533,0.978,0.9822,0.9837,0.9835,0.982,0.9747,0.9936,0.9951,0.9955,0.9954,0.995,0,H
22765,D. W. Babcock Elementary School,53,0.9865,0.9751,0.99,0.9811,0.9849,0.9879,0.9889,0.9888,0.9877,0.9503,0.9758,0.9804,0.9821,0.9819,0.9802,0.9724,0.992,0.9937,0.9943,0.9942,0.9937,0,H
22768,David Lubin Elementary School,55,0.9718,0.9468,0.9775,0.9818,0.9635,0.9703,0.9727,0.9724,0.9699,0.9092,0.9451,0.955,0.9586,0.9582,0.9544,0.9542,0.9784,0.9826,0.984,0.9839,0.9823,0.0575,H
22769,David Reese Elementary School,114,0.9918,0.9717,0.9967,0.9737,0.9943,0.9956,0.9959,0.9959,0.9955,0.9454,0.972,0.9773,0.9791,0.9789,0.977,0.9824,0.9993,0.9996,0.9997,0.9997,0.9996,0.0013,H
22772,Del Dayo Elementary School,99,0.9868,0.9731,0.9922,0.9798,0.9855,0.9884,0.9894,0.9892,0.9882,0.9473,0.9736,0.9786,0.9804,0.9802,0.9784,0.9757,0.9944,0.9957,0.996,0.996,0.9956,0,H
22773,Del Paso Heights Elementary School,87,0.993,0.9859,0.9965,0.977,0.9952,0.9963,0.9966,0.9966,0.9963,0.9664,0.9876,0.9901,0.9909,0.9908,0.9899,0.9821,0.9991,0.9995,0.9995,0.9995,0.9995,0,H
22775,Del Paso Manor Elementary School,53,0.9948,0.9877,0.9968,0.9811,0.9968,0.9976,0.9978,0.9978,0.9976,0.969,0.9895,0.9916,0.9923,0.9923,0.9915,0.9826,0.9994,0.9997,0.9997,0.9997,0.9997,0,H
22796,Dry Creek Elementary School,76,0.9499,0.919,0.9518,0.9737,0.9343,0.946,0.9503,0.9498,0.9453,0.87,0.9151,0.9299,0.9354,0.9348,0.929,0.9163,0.9506,0.9595,0.9629,0.9625,0.9591,0.9565,M
22799,Dyer-Kelly Elementary School,108,0.9722,0.9432,0.977,0.9907,0.962,0.9691,0.9716,0.9713,0.9687,0.9041,0.9412,0.9518,0.9557,0.9553,0.9513,0.9533,0.9779,0.9821,0.9836,0.9835,0.9819,0.098,H
22802,Earl Legette Elementary School,106,0.9803,0.9657,0.9921,0.9528,0.9827,0.9861,0.9872,0.9871,0.9859,0.9366,0.9656,0.972,0.9743,0.974,0.9716,0.9756,0.9943,0.9956,0.9959,0.9959,0.9955,0,H
22803,Earl Warren Elementary School,70,0.9497,0.916,0.9495,0.9857,0.9311,0.9433,0.9479,0.9473,0.9427,0.8657,0.9118,0.9272,0.9329,0.9322,0.9263,0.9132,0.9481,0.9574,0.9609,0.9605,0.9569,0.9808,M
22813,Edna Batey Elementary School,117,0.9921,0.9867,0.9961,0.9744,0.9945,0.9958,0.9961,0.9961,0.9957,0.9675,0.9884,0.9907,0.9915,0.9914,0.9906,0.9814,0.9986,0.9991,0.9991,0.9991,0.9991,0,H
22815,Edward Kemble Elementary School,115,0.9882,0.9739,0.9938,0.9826,0.9869,0.9895,0.9904,0.9903,0.9894,0.9484,0.9744,0.9792,0.981,0.9808,0.979,0.9781,0.9961,0.9971,0.9973,0.9973,0.997,0,H
22821,El Rancho School,16,0.9904,0.9748,0.9913,1,0.9859,0.9887,0.9896,0.9895,0.9885,0.9499,0.9755,0.9802,0.9818,0.9816,0.9799,0.9743,0.9934,0.9948,0.9953,0.9952,0.9948,0,H
22823,Elder Creek Elementary School,78,0.9813,0.9613,0.99,0.9744,0.979,0.9831,0.9845,0.9843,0.9828,0.9303,0.9608,0.9681,0.9707,0.9704,0.9677,0.9724,0.9919,0.9936,0.9942,0.9941,0.9936,0.0013,H
