school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
23937,Calaveras Elementary School,103,0.9965,0.9903,0.9969,0.9903,0.9971,0.9979,0.998,0.998,0.9978,0.9728,0.9922,0.9939,0.9944,0.9944,0.9938,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
23941,Cerra Vista Elementary School,104,0.9929,0.9797,0.9965,0.9904,0.9918,0.9936,0.9941,0.994,0.9935,0.9571,0.9807,0.9845,0.9858,0.9856,0.9843,0.982,0.999,0.9994,0.9995,0.9995,0.9994,0,1,1,1,1,1,0,H
23949,gabilan hills,24,0.9638,0.9916,0.997,0.7917,0.9977,0.9983,0.9985,0.9985,0.9983,0.9748,0.9937,0.9951,0.9956,0.9955,0.9951,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
23956,Hollister Dual Language Academy,139,0.9938,0.9842,0.9956,0.9928,0.9926,0.9942,0.9947,0.9946,0.9941,0.9638,0.9857,0.9886,0.9895,0.9894,0.9884,0.9807,0.9981,0.9986,0.9988,0.9988,0.9986,0,1,1,1,1,1,0,H
23959,Hollister Prep,60,0.9863,0.9739,0.9902,0.9833,0.984,0.9871,0.9882,0.9881,0.987,0.9487,0.9745,0.9794,0.9811,0.9809,0.9792,0.9725,0.9921,0.9938,0.9944,0.9943,0.9938,0,1,1,1,1,1,0,H
23963,Ladd Lane Elementary School,119,0.995,0.9861,0.9966,0.9916,0.9945,0.9958,0.9961,0.9961,0.9957,0.9666,0.9877,0.9902,0.991,0.9909,0.9901,0.9822,0.9991,0.9995,0.9996,0.9996,0.9995,0,1,1,1,1,1,0,H
23979,R. O. Hardin Elementary School,87,0.9669,0.9468,0.9689,0.977,0.9576,0.9654,0.9682,0.9679,0.965,0.9094,0.945,0.955,0.9587,0.9583,0.9546,0.9412,0.969,0.9748,0.9769,0.9766,0.9745,0,1,1,1,1,1,0.0717,H
23981,Rancho Santana School,91,0.9949,0.9911,0.997,0.978,0.9976,0.9983,0.9985,0.9984,0.9983,0.974,0.9931,0.9947,0.9951,0.995,0.9946,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
23982,Sacred Heart Parish School,49,0.9804,0.9713,0.9878,0.9592,0.9814,0.985,0.9862,0.9861,0.9848,0.9447,0.9717,0.977,0.9789,0.9787,0.9767,0.9691,0.9896,0.9917,0.9924,0.9923,0.9916,0,1,1,1,1,1,0,H
23993,San Juan School,31,0.9881,0.9926,0.997,0.9355,0.9982,0.9987,0.9989,0.9988,0.9987,0.9762,0.9948,0.996,0.9963,0.9963,0.9959,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
23997,Southside Elementary School,25,0.9915,0.9902,0.997,0.96,0.9972,0.9979,0.9981,0.9981,0.9979,0.9728,0.9922,0.9939,0.9944,0.9943,0.9938,0.9828,0.9995,0.9998,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
23999,Spring Grove Elementary School,77,0.9921,0.9917,0.997,0.961,0.9977,0.9984,0.9985,0.9985,0.9984,0.9749,0.9938,0.9952,0.9956,0.9955,0.9951,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
24001,Sunnyslope Elementary School,85,0.9873,0.9796,0.9906,0.9765,0.9871,0.9897,0.9906,0.9905,0.9896,0.9571,0.9807,0.9844,0.9857,0.9856,0.9843,0.9734,0.9927,0.9943,0.9948,0.9947,0.9942,0,1,1,1,1,1,0,H
24002,Tres Pinos Elementary School,10,0.9803,0.9842,0.9969,0.9,0.9954,0.9965,0.9968,0.9967,0.9964,0.9637,0.9857,0.9885,0.9895,0.9894,0.9884,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
38423,,,0.9873,0.9784,0.9945,0.9683,0.989,0.9913,0.992,0.9919,0.9911,0.9552,0.9794,0.9833,0.9847,0.9845,0.9831,0.979,0.9968,0.9976,0.9979,0.9978,0.9976,1,1,1,1,1,1,0,H
