school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
24017,Abraham Lincoln Elementary School,89,0.9907,0.9817,0.9952,0.9775,0.9918,0.9935,0.9941,0.994,0.9934,0.9602,0.983,0.9863,0.9874,0.9873,0.9861,0.9802,0.9977,0.9983,0.9985,0.9985,0.9983,0,H
24021,Academy for Academic Excellence,142,0.9841,0.9684,0.9853,0.993,0.9786,0.9827,0.9841,0.984,0.9825,0.9406,0.9685,0.9744,0.9766,0.9764,0.9742,0.9654,0.9869,0.9895,0.9904,0.9903,0.9894,0,H
24027,academy of performing arts and foreign language,77,0.9746,0.9699,0.9892,0.9221,0.9819,0.9854,0.9866,0.9865,0.9852,0.9427,0.9702,0.9758,0.9778,0.9776,0.9756,0.9712,0.9911,0.993,0.9936,0.9935,0.9929,0,H
24032,Adelanto Elementary School,62,0.9893,0.973,0.9969,0.9516,0.9959,0.9969,0.9972,0.9972,0.9969,0.9473,0.9735,0.9785,0.9803,0.9801,0.9783,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,8e-04,H
24036,Adelanto Virtual Academy,54,0.9659,0.959,0.9762,0.9259,0.9684,0.9743,0.9765,0.9762,0.974,0.9267,0.9583,0.9659,0.9687,0.9684,0.9655,0.9519,0.977,0.9815,0.983,0.9828,0.9812,0,H
24050,Ahrens Child Care Center,17,0.9986,0.9891,0.9969,1,0.9977,0.9984,0.9985,0.9985,0.9983,0.971,0.9909,0.9929,0.9934,0.9934,0.9928,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,H
24053,Alice Birney Elementary School,116,0.9965,0.988,0.9968,0.9914,0.9967,0.9976,0.9978,0.9978,0.9976,0.9694,0.9898,0.9919,0.9926,0.9925,0.9918,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,H
24054,Alicia Cortez Elementary School,56,0.9843,0.9721,0.987,0.9821,0.9814,0.9851,0.9863,0.9862,0.9849,0.946,0.9725,0.9777,0.9796,0.9794,0.9775,0.9679,0.9887,0.991,0.9917,0.9917,0.9909,0,H
24056,All Start Academy,10,0.9987,0.9893,0.997,1,0.9978,0.9985,0.9986,0.9986,0.9985,0.9713,0.9912,0.993,0.9936,0.9935,0.9929,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,H
24058,Allegiance STEAM Academy - Thrive,120,0.9945,0.9839,0.9964,0.9917,0.9938,0.9952,0.9956,0.9955,0.9951,0.9633,0.9853,0.9882,0.9892,0.9891,0.9881,0.982,0.999,0.9994,0.9995,0.9995,0.9994,0,H
