school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
25870,academy of arts and sciences: del mar elementary (k-5),14,0.9258,0.9884,0.9965,0.5714,0.9958,0.9968,0.9971,0.997,0.9968,0.97,0.9902,0.9923,0.9929,0.9928,0.9922,0.9821,0.999,0.9995,0.9995,0.9995,0.9995,0,M
25872,academy of arts and sciences: el cajon elementary (k-5),32,0.759,0.7636,0.9151,0.2188,0.8436,0.8688,0.8784,0.8773,0.8673,0.6688,0.7488,0.7851,0.7993,0.7975,0.7824,0.8647,0.9106,0.9263,0.9319,0.9313,0.9252,0.9998,L
25888,Adams Elementary School,68,0.9896,0.9482,0.9965,0.9853,0.9884,0.9907,0.9915,0.9914,0.9906,0.9113,0.9468,0.9563,0.9599,0.9595,0.9558,0.9821,0.999,0.9995,0.9995,0.9995,0.9995,0.0297,H
25889,Adobe Bluffs Elementary School,121,0.8828,0.8278,0.8634,0.9917,0.8366,0.8628,0.8728,0.8716,0.8612,0.7478,0.8168,0.8457,0.8568,0.8555,0.8442,0.7944,0.8551,0.8789,0.888,0.887,0.8777,1,L
25905,Alamosa Park Elementary School,103,0.82,0.7201,0.8147,0.9806,0.7541,0.7902,0.8043,0.8027,0.7881,0.6171,0.7026,0.7432,0.7596,0.7578,0.7411,0.7316,0.803,0.8332,0.8452,0.8438,0.8315,1,L
25907,albert einstein academies,143,0.9799,0.9626,0.9849,0.979,0.9759,0.9805,0.9821,0.9819,0.9802,0.9322,0.9623,0.9693,0.9718,0.9715,0.9689,0.9649,0.9864,0.9891,0.99,0.9899,0.989,3e-04,H
25908,Albert Einstein Academy Charter Middle,,0.9883,0.979,0.995,0.9698,0.9901,0.9921,0.9928,0.9927,0.992,0.956,0.98,0.9839,0.9852,0.985,0.9836,0.9799,0.9974,0.9981,0.9983,0.9983,0.9981,0,H
25909,Alcott Elementary School,50,0.9513,0.9096,0.9586,0.98,0.9348,0.9464,0.9507,0.9502,0.9458,0.8566,0.905,0.9213,0.9274,0.9267,0.9204,0.9263,0.9579,0.9657,0.9684,0.9681,0.9652,0.8588,H
25911,All Hallows Academy,29,0.848,0.7799,0.8326,0.9655,0.7951,0.8265,0.8387,0.8373,0.8247,0.6879,0.7658,0.8006,0.8143,0.8127,0.7987,0.7549,0.8222,0.8501,0.8609,0.8596,0.8484,1,L
25918,All Tribes Elementary Charter School,28,0.9413,0.9042,0.9478,0.9643,0.9242,0.9376,0.9425,0.942,0.9369,0.8491,0.8989,0.9163,0.9228,0.922,0.9153,0.9108,0.9462,0.956,0.9596,0.9592,0.9555,0.9832,M
25920,Allen (Ella B.) Elementary School,77,0.8638,0.7993,0.8502,0.974,0.8146,0.8437,0.8549,0.8536,0.842,0.7118,0.7863,0.819,0.8315,0.8301,0.8171,0.7768,0.841,0.8666,0.8764,0.8753,0.8651,1,L
25944,America's Finest Charter,35,0.9878,0.9877,0.9967,0.9429,0.9959,0.9969,0.9971,0.9971,0.9968,0.9689,0.9895,0.9916,0.9923,0.9922,0.9915,0.9824,0.9992,0.9996,0.9996,0.9996,0.9996,0,H
25951,Angier Elementary School,79,0.9911,0.9793,0.9964,0.9747,0.993,0.9946,0.995,0.995,0.9945,0.9565,0.9804,0.9842,0.9855,0.9854,0.984,0.982,0.999,0.9994,0.9995,0.9995,0.9994,0,H
25952,Anza Elementary School,124,0.9634,0.9414,0.9621,0.9839,0.951,0.9599,0.9632,0.9628,0.9595,0.9018,0.9392,0.9501,0.9542,0.9538,0.9496,0.9314,0.9617,0.9688,0.9713,0.971,0.9683,0.3335,H
25982,Arroyo Vista Charter School,133,0.9816,0.9431,0.9934,0.9925,0.975,0.9798,0.9814,0.9812,0.9795,0.9039,0.9411,0.9516,0.9555,0.955,0.951,0.9774,0.9956,0.9967,0.997,0.9969,0.9966,0.055,H
25989,Ashley Falls Elementary School,41,0.8552,0.7081,0.8974,0.9512,0.8083,0.838,0.8496,0.8481,0.8361,0.6027,0.6898,0.7316,0.7485,0.7465,0.7291,0.8408,0.892,0.9102,0.9172,0.9165,0.9093,1,L
25999,Audeo Charter School,38,0.9872,0.9847,0.9961,0.9474,0.994,0.9953,0.9957,0.9957,0.9953,0.9645,0.9863,0.989,0.99,0.9899,0.9889,0.9815,0.9986,0.9991,0.9992,0.9992,0.9991,0,H
26001,Audubon K-8,69,0.9485,0.9218,0.9421,0.9855,0.9296,0.942,0.9467,0.9461,0.9413,0.8739,0.918,0.9324,0.9378,0.9372,0.9317,0.9027,0.94,0.9508,0.9547,0.9543,0.9501,1,M
