school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
28739,Adda Clevenger School,20,0.9826,0.9685,0.9953,0.95,0.9867,0.9893,0.9902,0.9901,0.9892,0.9408,0.9686,0.9745,0.9766,0.9764,0.9742,0.9802,0.9977,0.9984,0.9985,0.9985,0.9984,0,H
28740,Alamo Elementary School,57,0.9954,0.9892,0.9969,0.9825,0.9974,0.9981,0.9983,0.9983,0.9981,0.9712,0.9911,0.993,0.9936,0.9935,0.9929,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0,H
28748,Alta Vista School,33,0.9859,0.9661,0.9966,0.9394,0.994,0.9954,0.9958,0.9957,0.9953,0.9371,0.966,0.9724,0.9746,0.9744,0.972,0.9823,0.9991,0.9995,0.9996,0.9996,0.9995,0.0048,H
28753,"Altschool, Inc.",18,0.9672,0.9737,0.9965,0.8333,0.9926,0.9942,0.9947,0.9946,0.9941,0.9485,0.9742,0.9791,0.9809,0.9807,0.9789,0.9821,0.999,0.9995,0.9995,0.9995,0.9995,0,H
28758,Alvarado Elementary School,99,0.9925,0.9794,0.9966,0.9798,0.9937,0.9951,0.9955,0.9955,0.9951,0.9567,0.9805,0.9843,0.9856,0.9854,0.9841,0.9823,0.9991,0.9995,0.9996,0.9996,0.9995,0,H
28768,Argonne Elementary School,60,0.9653,0.9038,0.9877,0.9667,0.9578,0.9656,0.9684,0.9681,0.9652,0.849,0.8986,0.9161,0.9226,0.9219,0.9152,0.9691,0.9895,0.9917,0.9924,0.9923,0.9916,0.3552,H
28787,The Brandeis School of San Francisco,37,0.9688,0.9268,0.9907,0.9459,0.9678,0.9738,0.976,0.9757,0.9735,0.8811,0.9236,0.9369,0.9418,0.9412,0.9361,0.9735,0.9928,0.9943,0.9948,0.9948,0.9943,0.1688,H
28799,Bryant Elementary School,40,0.9814,0.9697,0.9963,0.925,0.9909,0.9928,0.9934,0.9933,0.9927,0.9423,0.9699,0.9756,0.9776,0.9774,0.9753,0.9818,0.9988,0.9993,0.9993,0.9993,0.9993,5e-04,H
28804,Buena Vista/ Horace Mann K-8,68,0.9856,0.959,0.9943,0.9853,0.9826,0.986,0.9872,0.987,0.9858,0.9273,0.9583,0.966,0.9688,0.9685,0.9657,0.9789,0.9967,0.9975,0.9978,0.9977,0.9975,0.0053,H
28817,carmichael (bessie)/fec,72,0.9535,0.9086,0.9676,0.9722,0.9396,0.9505,0.9545,0.954,0.9499,0.8558,0.904,0.9204,0.9265,0.9257,0.9194,0.9396,0.9677,0.9737,0.9759,0.9756,0.9734,0.712,H
28818,Carver (George Washington) Elementary School,27,0.9845,0.9664,0.9954,0.963,0.9862,0.989,0.9899,0.9898,0.9889,0.9377,0.9664,0.9726,0.9749,0.9746,0.9723,0.9805,0.9978,0.9985,0.9986,0.9986,0.9985,0.0015,H
28819,Cathedral School For Boys,24,0.9805,0.9612,0.9933,0.9583,0.9817,0.9853,0.9865,0.9864,0.9851,0.9301,0.9608,0.968,0.9706,0.9703,0.9676,0.9773,0.9955,0.9966,0.9969,0.9968,0.9965,0.0025,H
28829,Chavez (Cesar) Elementary School,55,0.9927,0.9754,0.9966,0.9818,0.9936,0.995,0.9954,0.9954,0.9949,0.9507,0.9761,0.9807,0.9823,0.9821,0.9805,0.9823,0.9991,0.9995,0.9996,0.9996,0.9995,0,H
28836,Children's Day School,62,0.995,0.9823,0.9968,0.9839,0.9964,0.9973,0.9975,0.9975,0.9973,0.9608,0.9836,0.9868,0.9879,0.9878,0.9866,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,H
28837,Chin (John Yehall) Elementary School,43,0.9895,0.9863,0.9967,0.9535,0.9958,0.9968,0.9971,0.997,0.9968,0.9668,0.988,0.9904,0.9912,0.9911,0.9902,0.9824,0.9993,0.9996,0.9997,0.9997,0.9996,0,H
