school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
29499,acacia elementary charter,63,0.9962,0.9899,0.997,0.9841,0.9982,0.9987,0.9988,0.9988,0.9987,0.9723,0.9919,0.9936,0.9941,0.9941,0.9935,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
29505,Adams Elementary School,64,0.9827,0.952,0.9938,0.9844,0.9786,0.9827,0.9841,0.984,0.9825,0.9165,0.9506,0.9597,0.9629,0.9626,0.9592,0.9781,0.9961,0.997,0.9973,0.9973,0.997,0.0187,H
29509,Alexander Hamilton Elementary School,95,0.9785,0.9501,0.9898,0.9789,0.9739,0.9788,0.9806,0.9803,0.9785,0.9142,0.9486,0.958,0.9615,0.9611,0.9575,0.972,0.9917,0.9935,0.994,0.994,0.9934,0.0248,H
29514,Altamont Elementary School,93,0.9723,0.9447,0.9812,0.9785,0.965,0.9715,0.9739,0.9736,0.9711,0.9062,0.9428,0.953,0.9568,0.9563,0.9524,0.9595,0.9824,0.9859,0.9871,0.987,0.9858,0.0752,H
29522,Ansel Adams School,63,0.9959,0.9876,0.997,0.9841,0.9976,0.9983,0.9984,0.9984,0.9983,0.9688,0.9893,0.9915,0.9922,0.9921,0.9914,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
29523,Anthony C. Traina Elementary School,58,0.9962,0.9907,0.997,0.9828,0.9984,0.9989,0.999,0.999,0.9989,0.9734,0.9927,0.9943,0.9948,0.9947,0.9942,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
29528,Art Freiler School,66,0.9936,0.9897,0.997,0.9697,0.9979,0.9985,0.9986,0.9986,0.9985,0.972,0.9917,0.9934,0.994,0.9939,0.9933,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
29533,Aspire Apex Academy,67,0.9884,0.9696,0.9953,0.9851,0.9867,0.9893,0.9902,0.9901,0.9892,0.9423,0.9698,0.9755,0.9775,0.9772,0.9751,0.9802,0.9977,0.9984,0.9985,0.9985,0.9983,3e-04,H
29538,Aspire Port City Academy,102,0.9927,0.9792,0.9962,0.9902,0.9916,0.9934,0.9939,0.9939,0.9933,0.9565,0.9802,0.9841,0.9854,0.9853,0.9839,0.9817,0.9987,0.9992,0.9992,0.9992,0.9992,0,H
29539,Aspire River Oaks Charter School,96,0.9831,0.9616,0.9922,0.9792,0.9804,0.9842,0.9855,0.9854,0.984,0.9307,0.9612,0.9683,0.971,0.9707,0.968,0.9757,0.9944,0.9956,0.996,0.996,0.9956,0.0013,H
29540,Aspire Rosa Parks Academy,87,0.9926,0.9833,0.9968,0.977,0.9947,0.9959,0.9962,0.9962,0.9959,0.9625,0.9847,0.9877,0.9888,0.9886,0.9876,0.9825,0.9994,0.9997,0.9997,0.9997,0.9997,0,H
29542,aspire vincent shalvey academy,96,0.9957,0.9917,0.997,0.9792,0.9985,0.999,0.9991,0.9991,0.999,0.9749,0.9938,0.9952,0.9956,0.9956,0.9951,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
29545,August Elementary School,66,0.9873,0.975,0.9905,0.9848,0.9851,0.9881,0.9891,0.989,0.9879,0.9503,0.9757,0.9803,0.982,0.9817,0.98,0.9731,0.9925,0.9941,0.9946,0.9946,0.9941,0,H
29546,August Knodt Elementary School,74,0.9906,0.9733,0.9968,0.973,0.9927,0.9942,0.9947,0.9947,0.9942,0.9475,0.9738,0.9788,0.9805,0.9804,0.9786,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,H
29548,Banta Elementary,20,0.9744,0.9639,0.9831,0.95,0.9749,0.9796,0.9813,0.9811,0.9794,0.9339,0.9636,0.9703,0.9727,0.9724,0.97,0.9623,0.9846,0.9876,0.9886,0.9885,0.9874,0,H
29555,Beckman Elementary School,74,0.9972,0.9938,0.9971,0.9865,0.9989,0.9994,0.9994,0.9994,0.9994,0.978,0.9961,0.997,0.9973,0.9972,0.997,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
29557,Bella Vista Christian Academy,50,0.6737,0.5311,0.6465,0.98,0.5658,0.6151,0.6357,0.6333,0.6122,0.4152,0.5062,0.5571,0.5785,0.5757,0.5535,0.534,0.625,0.6717,0.6907,0.6886,0.6689,1,L
29558,Bethany Elementary School,74,0.99,0.976,0.9954,0.9865,0.9886,0.9909,0.9917,0.9916,0.9908,0.9517,0.9767,0.9812,0.9828,0.9826,0.981,0.9804,0.9978,0.9984,0.9986,0.9986,0.9984,0,H
29563,bohn (louis a.) elementary,70,0.9888,0.9761,0.9962,0.9714,0.9905,0.9924,0.9931,0.993,0.9924,0.9518,0.9769,0.9813,0.9829,0.9827,0.9811,0.9816,0.9987,0.9992,0.9993,0.9993,0.9992,0,H
29565,Brock Elliott Elementary School,84,0.9879,0.9803,0.9967,0.9524,0.9937,0.9951,0.9955,0.9955,0.995,0.9581,0.9814,0.985,0.9863,0.9861,0.9848,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,H
29566,Brookside School,74,0.9905,0.9771,0.9953,0.9865,0.9894,0.9915,0.9923,0.9922,0.9914,0.953,0.9779,0.9822,0.9837,0.9835,0.982,0.9803,0.9977,0.9984,0.9985,0.9985,0.9984,0,H
29573,California Connections Academy at Central,,0.9907,0.9768,0.9967,0.9734,0.9928,0.9943,0.9948,0.9948,0.9943,0.9529,0.9776,0.982,0.9835,0.9833,0.9818,0.9824,0.9992,0.9996,0.9997,0.9997,0.9996,0,H
29574,California Connections Academy at Ripon,50,0.9082,0.9886,0.9969,0.46,0.9972,0.998,0.9981,0.9981,0.9979,0.9702,0.9904,0.9924,0.993,0.993,0.9923,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,M
29577,california virtual academy @ san joaquin,163,0.7568,0.8598,0.9064,0.0552,0.878,0.8985,0.9062,0.9054,0.8974,0.79,0.8514,0.8754,0.8848,0.8837,0.8742,0.8527,0.9014,0.9183,0.9246,0.9239,0.9173,1,L
29582,Cathedral of Annunciation School,,0.986,0.9776,0.9924,0.9664,0.9876,0.9901,0.9909,0.9908,0.99,0.954,0.9785,0.9827,0.9841,0.984,0.9825,0.976,0.9946,0.9958,0.9961,0.9961,0.9957,0,H
29584,Central Elementary School,64,0.994,0.9918,0.997,0.9688,0.9986,0.9991,0.9991,0.9991,0.9991,0.975,0.9939,0.9953,0.9957,0.9956,0.9952,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
29593,Century Christian School,17,0.9991,0.9921,0.997,1,0.9985,0.999,0.9991,0.9991,0.999,0.9755,0.9942,0.9955,0.9959,0.9958,0.9954,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
29597,Primary Charter School,99,0.9961,0.9943,0.9971,0.9798,0.999,0.9994,0.9995,0.9995,0.9994,0.9787,0.9966,0.9974,0.9977,0.9976,0.9974,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
29610,Clairmont Elementary School,39,0.9892,0.9855,0.9969,0.9487,0.9965,0.9974,0.9976,0.9976,0.9974,0.9658,0.9871,0.9897,0.9905,0.9904,0.9895,0.9828,0.9995,0.9998,0.9999,0.9998,0.9998,0,H
