school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
30278,Almond Acres Charter Academy,47,0.9648,0.9573,0.9799,0.9149,0.9695,0.9752,0.9773,0.977,0.9749,0.9245,0.9565,0.9645,0.9674,0.9671,0.9641,0.9573,0.981,0.9847,0.986,0.9858,0.9845,0,1,1,1,1,1,0.0018,H
30293,Bauer/Speck Elementary School,100,0.9649,0.9378,0.97,0.98,0.9541,0.9625,0.9655,0.9652,0.9621,0.8963,0.9353,0.9469,0.951,0.9505,0.9461,0.9429,0.9703,0.9759,0.9778,0.9776,0.9755,0,1,1,1,1,1,0.259,H
30296,Baywood Elementary School,84,0.9825,0.967,0.989,0.9762,0.9802,0.9841,0.9854,0.9852,0.9839,0.9386,0.967,0.9732,0.9754,0.9751,0.9729,0.9709,0.9909,0.9928,0.9934,0.9934,0.9927,0,1,1,1,1,1,0,H
30299,Bellevue-Santa Fe Charter School,24,0.9913,0.9895,0.9969,0.9583,0.9972,0.9979,0.9981,0.9981,0.9979,0.9715,0.9914,0.9932,0.9938,0.9937,0.9932,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,1,1,1,1,1,0,H
30301,Bishop's Peak Elementary School,67,0.9864,0.9671,0.9941,0.9851,0.9837,0.9869,0.988,0.9879,0.9868,0.9387,0.9672,0.9733,0.9755,0.9752,0.973,0.9784,0.9965,0.9973,0.9976,0.9976,0.9973,0,1,1,1,1,1,0,H
30304,Branch Elementary School,31,0.9742,0.9452,0.9959,0.9355,0.9781,0.9823,0.9838,0.9836,0.9821,0.9072,0.9434,0.9536,0.9573,0.9568,0.9529,0.9812,0.9984,0.9989,0.999,0.999,0.9989,0,1,1,1,1,1,0.0452,H
30308,c l smith elementary,77,0.9806,0.928,0.9963,0.974,0.978,0.9822,0.9836,0.9835,0.982,0.8827,0.9249,0.9381,0.9431,0.9426,0.9375,0.9818,0.9988,0.9993,0.9993,0.9993,0.9993,0,1,1,1,1,1,0.0892,H
30320,Cambria Grammar School,49,0.9578,0.9321,0.9663,0.9592,0.9489,0.9582,0.9615,0.9612,0.9577,0.8883,0.9292,0.9417,0.9464,0.9458,0.941,0.9375,0.9663,0.9725,0.9748,0.9745,0.9722,0,1,1,1,1,1,0.4652,H
30323,Cappy Culver Elementary School,32,0.9768,0.9605,0.9952,0.9375,0.9813,0.9849,0.9862,0.986,0.9848,0.929,0.9599,0.9673,0.97,0.9697,0.967,0.9801,0.9976,0.9983,0.9984,0.9984,0.9983,0,1,1,1,1,1,0.0032,H
30325,Cayucos Elementary School,25,0.9452,0.8656,0.9784,0.96,0.9311,0.9431,0.9476,0.9471,0.9425,0.7973,0.8574,0.8809,0.8897,0.8887,0.8795,0.9553,0.9794,0.9834,0.9848,0.9847,0.9833,0,1,1,1,1,1,0.691,M
30331,Central Coast Waldorf School,20,0.9538,0.9852,0.9958,0.75,0.9932,0.9947,0.9951,0.9951,0.9946,0.9652,0.9867,0.9894,0.9903,0.9902,0.9893,0.981,0.9983,0.9988,0.9989,0.9989,0.9988,0,1,1,1,1,1,0,H
30336,Children's House Montessori School,14,0.966,0.9759,0.9902,0.8571,0.9851,0.988,0.989,0.9889,0.9879,0.9515,0.9767,0.9811,0.9827,0.9825,0.9809,0.9727,0.9922,0.9938,0.9944,0.9943,0.9938,0,1,1,1,1,1,0,H
30347,Coastal Christian School,55,0.9409,0.9909,0.997,0.6545,0.9976,0.9983,0.9984,0.9984,0.9983,0.9738,0.993,0.9945,0.995,0.9949,0.9944,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,M
30349,Creston Elementary School,24,0.9699,0.9542,0.9773,0.9583,0.9665,0.9727,0.9749,0.9747,0.9724,0.9198,0.9532,0.9617,0.9648,0.9645,0.9613,0.9537,0.9782,0.9824,0.9838,0.9837,0.9822,0,1,1,1,1,1,0.0055,H
30355,Dana Elementary School,109,0.9744,0.9495,0.9791,0.9908,0.9651,0.9716,0.9739,0.9736,0.9712,0.9132,0.948,0.9574,0.9608,0.9605,0.957,0.9563,0.9801,0.984,0.9853,0.9852,0.9838,0,1,1,1,1,1,0.029,H
30356,Dandy Lion Montessori School,22,0.9676,0.9878,0.9969,0.8182,0.9967,0.9975,0.9977,0.9977,0.9975,0.9691,0.9895,0.9917,0.9924,0.9923,0.9916,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
30359,Del Mar Elementary School,65,0.9955,0.9889,0.9969,0.9846,0.997,0.9978,0.998,0.9979,0.9977,0.9709,0.9908,0.9927,0.9933,0.9933,0.9927,0.9828,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
30366,Fairgrove Elementary School,76,0.9757,0.9564,0.983,0.9737,0.9711,0.9765,0.9785,0.9782,0.9762,0.9232,0.9556,0.9637,0.9666,0.9662,0.9632,0.962,0.9844,0.9875,0.9885,0.9884,0.9873,0,1,1,1,1,1,0.0025,H
30378,Georgia Brown Elementary School,130,0.9845,0.967,0.9881,0.9923,0.9793,0.9832,0.9846,0.9845,0.983,0.9385,0.967,0.9731,0.9754,0.9751,0.9728,0.9694,0.9899,0.992,0.9927,0.9926,0.9919,0,1,1,1,1,1,0,H
30379,georgia brown dual immersion,,0.9953,0.9913,0.997,0.9803,0.9977,0.9984,0.9985,0.9985,0.9984,0.9743,0.9934,0.9948,0.9952,0.9952,0.9947,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,1,1,1,1,1,1,0,H
30386,Grover Beach Elementary School,64,0.9837,0.9704,0.9861,0.9844,0.98,0.9839,0.9852,0.9851,0.9837,0.9434,0.9707,0.9762,0.9782,0.9779,0.9759,0.9666,0.9878,0.9903,0.9911,0.991,0.9902,0,1,1,1,1,1,0,H
30387,Grover Heights Elementary School,56,0.9919,0.9814,0.9964,0.9821,0.9924,0.994,0.9945,0.9945,0.994,0.9597,0.9827,0.9861,0.9873,0.9871,0.9859,0.982,0.999,0.9994,0.9994,0.9994,0.9994,0,1,1,1,1,1,0,H
30389,Harloe Elementary School,72,0.9767,0.9563,0.9802,0.9861,0.9695,0.9752,0.9772,0.977,0.9749,0.923,0.9554,0.9636,0.9666,0.9662,0.9632,0.9578,0.9814,0.985,0.9862,0.9861,0.9848,0,1,1,1,1,1,0.0045,H
30391,Hawthorne Elementary School,82,0.9886,0.957,0.9968,0.9756,0.9892,0.9914,0.9921,0.992,0.9913,0.9239,0.9562,0.9642,0.967,0.9666,0.9636,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.0135,H
30407,Kermit King Elementary School,68,0.9961,0.9911,0.997,0.9853,0.9977,0.9984,0.9985,0.9985,0.9984,0.9741,0.9932,0.9947,0.9952,0.9951,0.9946,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
30412,Lange (Dorothea) Elementary School,91,0.9781,0.9516,0.9891,0.978,0.9735,0.9785,0.9802,0.98,0.9782,0.9161,0.9503,0.9593,0.9627,0.9623,0.9588,0.9709,0.991,0.9929,0.9935,0.9934,0.9928,0,1,1,1,1,1,0.0187,H
30426,Lillian Larsen Elementary School,86,0.9895,0.9839,0.9961,0.9651,0.993,0.9945,0.995,0.9949,0.9945,0.9634,0.9854,0.9882,0.9892,0.9891,0.9881,0.9815,0.9986,0.9991,0.9992,0.9991,0.9991,0,1,1,1,1,1,0,H
30437,Los Ranchos Elementary School,92,0.9769,0.9562,0.9836,0.9783,0.9717,0.977,0.9789,0.9787,0.9767,0.9227,0.9554,0.9635,0.9665,0.9661,0.963,0.9629,0.9851,0.988,0.989,0.9889,0.9879,0,1,1,1,1,1,0.003,H
30452,Monarch Grove Elementary School,59,0.9725,0.9514,0.9821,0.9661,0.9683,0.9742,0.9763,0.9761,0.9739,0.9161,0.9501,0.9591,0.9624,0.9619,0.9585,0.9606,0.9834,0.9867,0.9878,0.9877,0.9865,0,1,1,1,1,1,0.019,H
30453,Monterey Road Elementary School,75,0.9837,0.941,0.996,0.9867,0.9795,0.9834,0.9848,0.9846,0.9832,0.9007,0.9388,0.9499,0.9539,0.9535,0.9493,0.9813,0.9984,0.999,0.9991,0.9991,0.999,0,1,1,1,1,1,0.048,H
30454,Montessori Children's,12,0.9757,0.9682,0.9947,0.9167,0.9847,0.9877,0.9887,0.9886,0.9876,0.9402,0.9683,0.9742,0.9763,0.9761,0.9739,0.9795,0.9971,0.9979,0.9981,0.9981,0.9979,0,1,1,1,1,1,5e-04,H
30465,Nipomo Elementary School,74,0.9882,0.9767,0.9911,0.9865,0.986,0.9888,0.9898,0.9896,0.9887,0.9527,0.9775,0.9819,0.9834,0.9832,0.9816,0.9739,0.9931,0.9946,0.9951,0.995,0.9946,0,1,1,1,1,1,0,H
30470,North County Christian,14,0.9525,0.9681,0.9925,0.7857,0.9828,0.9861,0.9873,0.9872,0.986,0.9402,0.9682,0.9741,0.9763,0.976,0.9739,0.976,0.9946,0.9959,0.9962,0.9962,0.9958,0,1,1,1,1,1,0,H
30473,Ocean View Elementary School,84,0.9875,0.9746,0.9947,0.9762,0.9875,0.99,0.9908,0.9907,0.9899,0.9497,0.9753,0.98,0.9817,0.9815,0.9798,0.9794,0.9971,0.9979,0.9981,0.9981,0.9979,0,1,1,1,1,1,0,H
30474,Oceano Elementary School,59,0.9949,0.9881,0.9969,0.9831,0.9965,0.9974,0.9976,0.9976,0.9974,0.9695,0.9899,0.992,0.9926,0.9926,0.9919,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
30477,Old Mission School,34,0.9789,0.9734,0.9898,0.9412,0.9835,0.9867,0.9878,0.9877,0.9866,0.9479,0.974,0.979,0.9807,0.9805,0.9787,0.9721,0.9917,0.9934,0.994,0.9939,0.9934,0,1,1,1,1,1,0,H
30483,Pacheco Elementary School,93,0.9891,0.9721,0.9965,0.9785,0.9893,0.9915,0.9922,0.9921,0.9914,0.946,0.9725,0.9778,0.9796,0.9793,0.9774,0.9821,0.999,0.9994,0.9995,0.9995,0.9994,0,1,1,1,1,1,0,H
30498,Paso Robles Independent Study Center,21,0.968,0.9723,0.9959,0.8571,0.988,0.9904,0.9912,0.9911,0.9903,0.9461,0.9727,0.9779,0.9797,0.9795,0.9776,0.9811,0.9983,0.9989,0.999,0.999,0.9989,0,1,1,1,1,1,0,H
30500,Pat Butler Elementary School,48,0.9797,0.9739,0.9966,0.9167,0.9905,0.9924,0.9931,0.993,0.9924,0.9485,0.9745,0.9793,0.981,0.9807,0.979,0.9822,0.9991,0.9995,0.9995,0.9995,0.9995,0,1,1,1,1,1,0,H
