school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
30602,Adelante Selby Spanish Immersion School,120,0.9912,0.9785,0.994,0.9917,0.989,0.9913,0.992,0.9919,0.9912,0.9553,0.9795,0.9834,0.9848,0.9846,0.9832,0.9784,0.9964,0.9973,0.9975,0.9975,0.9973,0,H
30603,adelante spanish immersion,83,0.9755,0.9475,0.9861,0.9759,0.9703,0.9759,0.9778,0.9776,0.9755,0.9102,0.9458,0.9556,0.9591,0.9587,0.955,0.9665,0.9877,0.9902,0.991,0.9909,0.9901,0.037,H
30608,All Souls Catholic Elementary School,20,0.9879,0.9755,0.9967,0.95,0.9943,0.9956,0.996,0.9959,0.9956,0.9509,0.9763,0.9807,0.9824,0.9822,0.9805,0.9824,0.9993,0.9996,0.9997,0.9997,0.9996,0,H
30609,Allen (Decima M.) Elementary School,35,0.9895,0.9918,0.997,0.9429,0.9984,0.9989,0.999,0.999,0.9989,0.9752,0.9939,0.9953,0.9957,0.9956,0.9952,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
30612,Alto International School,24,0.9891,0.9789,0.9967,0.9583,0.9941,0.9954,0.9958,0.9958,0.9954,0.9558,0.9799,0.9837,0.9851,0.9849,0.9835,0.9824,0.9993,0.9996,0.9997,0.9997,0.9996,0,H
30613,Alvin S. Hatch Elementary School,96,0.9943,0.9866,0.9968,0.9792,0.9966,0.9974,0.9976,0.9976,0.9974,0.9672,0.9882,0.9906,0.9914,0.9913,0.9905,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,H
30621,Arundel Elementary School,107,0.9976,0.9926,0.997,0.9907,0.9986,0.9991,0.9991,0.9991,0.9991,0.9763,0.9948,0.996,0.9963,0.9963,0.9959,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
30622,Aspire East Palo Alto Charter,62,0.9922,0.9754,0.9966,0.9839,0.9924,0.9941,0.9946,0.9945,0.994,0.9506,0.9761,0.9807,0.9823,0.9821,0.9804,0.9823,0.9991,0.9995,0.9996,0.9996,0.9995,0,H
30627,Audubon Elementary School,97,0.9923,0.9753,0.9968,0.9794,0.9936,0.995,0.9955,0.9954,0.995,0.9506,0.976,0.9805,0.9821,0.982,0.9803,0.9824,0.9993,0.9997,0.9997,0.9997,0.9997,0,H
30637,Bayshore Elementary School,44,0.9905,0.9822,0.9969,0.9545,0.9969,0.9977,0.9979,0.9979,0.9977,0.9608,0.9836,0.9868,0.9878,0.9877,0.9866,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,H
