school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
31390,Adam (William Laird) Elementary School,155,0.9892,0.9768,0.9929,0.9871,0.9872,0.9898,0.9906,0.9905,0.9897,0.9529,0.9777,0.982,0.9834,0.9832,0.9817,0.9767,0.9951,0.9963,0.9966,0.9966,0.9963,0,1,1,1,1,1,0,H
31391,adam (william laird) elementar,153,0.9967,0.9927,0.997,0.9869,0.9982,0.9988,0.9989,0.9989,0.9988,0.9764,0.9949,0.996,0.9964,0.9964,0.996,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
31392,Adams Elementary School,81,0.9508,0.9119,0.959,0.9753,0.9352,0.9467,0.951,0.9505,0.9461,0.8605,0.9075,0.9234,0.9293,0.9287,0.9225,0.927,0.9584,0.966,0.9688,0.9684,0.9656,0,1,1,1,1,1,0.8568,H
31394,Adelante Charter School,47,0.9871,0.961,0.9969,0.9574,0.9914,0.9932,0.9938,0.9937,0.9931,0.9298,0.9604,0.9677,0.9704,0.97,0.9673,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0.0115,H
31398,Alice Shaw Elementary School,63,0.9873,0.9727,0.9928,0.9841,0.9853,0.9882,0.9892,0.9891,0.9881,0.9469,0.9732,0.9783,0.9801,0.9798,0.9779,0.9766,0.995,0.9961,0.9965,0.9964,0.9961,0,1,1,1,1,1,0,H
31399,Aliso Elementary School,41,0.9884,0.9843,0.9968,0.9512,0.9947,0.9959,0.9963,0.9962,0.9959,0.9639,0.9858,0.9886,0.9896,0.9895,0.9885,0.9826,0.9994,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
31408,Alvin Elementary School,134,0.8244,0.69,0.8401,0.9925,0.7577,0.793,0.8069,0.8053,0.791,0.5821,0.6706,0.7143,0.7319,0.7297,0.7115,0.7644,0.83,0.8573,0.8679,0.8667,0.856,0,1,1,1,1,1,1,L
31415,Arellanes (Don Juan Bautista) Elementary School,61,0.8754,0.7674,0.9008,0.9836,0.8285,0.8556,0.866,0.8648,0.854,0.6715,0.7521,0.7886,0.8029,0.8012,0.7866,0.8454,0.8954,0.9132,0.92,0.9192,0.9123,0,1,1,1,1,1,1,L
31419,Arthur Hapgood Elementary School,135,0.9852,0.9751,0.9914,0.9704,0.9855,0.9884,0.9893,0.9892,0.9882,0.9505,0.9759,0.9805,0.9821,0.9819,0.9802,0.9745,0.9935,0.9949,0.9954,0.9953,0.9949,0,1,1,1,1,1,0,H
31420,Ballard Elementary School,21,0.9888,0.9851,0.9968,0.9524,0.9951,0.9962,0.9965,0.9965,0.9962,0.9651,0.9866,0.9893,0.9902,0.9901,0.9892,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0,H
31421,battles (george washington) elementary,128,0.9841,0.9672,0.987,0.9922,0.9787,0.9828,0.9842,0.9841,0.9826,0.9386,0.9671,0.9733,0.9755,0.9752,0.9729,0.9679,0.9887,0.991,0.9917,0.9917,0.9909,0,1,1,1,1,1,0,H
31422,Battles (Washington) Elementary School,129,0.989,0.9702,0.9949,0.9922,0.9858,0.9886,0.9896,0.9895,0.9885,0.9433,0.9705,0.9761,0.978,0.9778,0.9758,0.9797,0.9972,0.998,0.9982,0.9981,0.998,0,1,1,1,1,1,0,H
31423,Benjamin Foxen Elementary School,22,0.9825,0.9464,0.9968,0.9545,0.9855,0.9884,0.9893,0.9892,0.9882,0.9086,0.9448,0.9547,0.9582,0.9577,0.9539,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.0307,H
31425,Bill Libbon Elementary,118,0.9864,0.9766,0.9946,0.9661,0.9882,0.9906,0.9914,0.9913,0.9905,0.9526,0.9775,0.9818,0.9833,0.9831,0.9816,0.9793,0.997,0.9978,0.998,0.998,0.9978,0,1,1,1,1,1,0,H
31429,Bonita Elementary School,83,0.993,0.9864,0.9968,0.9759,0.9955,0.9966,0.9969,0.9968,0.9965,0.967,0.988,0.9905,0.9913,0.9912,0.9904,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0,H
31436,Brandon Elementary School,77,0.9898,0.9736,0.9967,0.974,0.9913,0.9931,0.9937,0.9937,0.9931,0.9482,0.9742,0.9791,0.9808,0.9806,0.9788,0.9824,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,3e-04,H
31441,Bruce (Robert) Elementary School,169,0.9948,0.9869,0.9967,0.9882,0.9951,0.9963,0.9966,0.9966,0.9962,0.9677,0.9886,0.9909,0.9916,0.9915,0.9907,0.9824,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
31444,Buena Vista Elementary School,85,0.9866,0.9758,0.9921,0.9765,0.9861,0.9889,0.9898,0.9897,0.9888,0.9513,0.9765,0.981,0.9825,0.9824,0.9808,0.9756,0.9943,0.9956,0.9959,0.9959,0.9955,0,1,1,1,1,1,0,H
31455,Canalino Elementary School,99,0.9811,0.9662,0.9854,0.9798,0.9773,0.9817,0.9832,0.983,0.9814,0.9374,0.9661,0.9724,0.9747,0.9744,0.9721,0.9656,0.987,0.9896,0.9905,0.9904,0.9895,0,1,1,1,1,1,0,H
31461,Carpinteria Family School,12,0.9356,0.9734,0.9948,0.6667,0.987,0.9896,0.9905,0.9904,0.9895,0.9479,0.9739,0.9789,0.9806,0.9804,0.9785,0.9797,0.9972,0.998,0.9981,0.9981,0.9979,0,1,1,1,1,1,0,M
31497,Clarence Ruth Elementary School,48,0.9916,0.9915,0.997,0.9583,0.9976,0.9983,0.9984,0.9984,0.9983,0.9746,0.9936,0.995,0.9954,0.9954,0.995,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,1,1,1,1,1,0,H
31500,Cleveland Elementary School,40,0.9755,0.9622,0.9867,0.95,0.9764,0.9809,0.9825,0.9823,0.9807,0.9316,0.9619,0.9689,0.9714,0.9711,0.9684,0.9676,0.9884,0.9908,0.9915,0.9914,0.9906,0,1,1,1,1,1,3e-04,H
31503,Coastline Christian Academy,19,0.9449,0.9377,0.9935,0.7895,0.971,0.9764,0.9784,0.9782,0.9762,0.896,0.9354,0.9468,0.951,0.9506,0.9463,0.9775,0.9958,0.9968,0.9971,0.997,0.9967,0,1,1,1,1,1,0.0905,M
31504,Cold Spring Elementary School,33,0.9783,0.9694,0.992,0.9394,0.9831,0.9864,0.9875,0.9874,0.9862,0.9423,0.9697,0.9753,0.9773,0.9771,0.9751,0.9752,0.9941,0.9954,0.9958,0.9958,0.9954,0,1,1,1,1,1,0,H
31505,College Elementary School,32,0.9881,0.991,0.997,0.9375,0.9976,0.9982,0.9984,0.9984,0.9982,0.9738,0.993,0.9945,0.995,0.9949,0.9945,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
