school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
31919,A. J. Dorsa Elementary School,44,0.9901,0.9869,0.9969,0.9545,0.9965,0.9974,0.9976,0.9976,0.9973,0.9678,0.9886,0.9909,0.9917,0.9916,0.9908,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
31927,Abraham Lincoln Elementary School,105,0.9679,0.9302,0.9766,0.9905,0.9559,0.964,0.9669,0.9666,0.9636,0.8856,0.9271,0.94,0.9448,0.9443,0.9393,0.9527,0.9774,0.9817,0.9833,0.9831,0.9815,0,1,1,1,1,1,0.2852,H
31929,Abram Agnew Elementary,113,0.9879,0.9726,0.9912,0.9912,0.9844,0.9875,0.9885,0.9884,0.9873,0.9467,0.9731,0.9782,0.98,0.9797,0.9779,0.9741,0.9932,0.9947,0.9951,0.9951,0.9946,0,1,1,1,1,1,0,H
31945,Achiever Christian School,22,0.9731,0.981,0.9966,0.8636,0.9937,0.9951,0.9955,0.9955,0.995,0.9592,0.9822,0.9857,0.9869,0.9867,0.9855,0.9822,0.9991,0.9995,0.9995,0.9995,0.9995,0,1,1,1,1,1,0,H
31964,Addison Elementary School,48,0.9902,0.9824,0.9968,0.9583,0.9957,0.9967,0.997,0.997,0.9967,0.9611,0.9837,0.9869,0.988,0.9878,0.9867,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0,H
31966,Adelante Dual Language Academy,74,0.9963,0.9898,0.9969,0.9865,0.9977,0.9984,0.9985,0.9985,0.9984,0.9721,0.9917,0.9935,0.994,0.994,0.9934,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,1,1,1,1,1,0,H
31967,Adelante Dual Language Academy Ii,67,0.9932,0.9884,0.9969,0.9701,0.9971,0.9979,0.9981,0.9981,0.9979,0.9698,0.9902,0.9922,0.9929,0.9928,0.9921,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
31986,Alexander Rose Elementary School,96,0.9871,0.9683,0.995,0.9792,0.9861,0.9889,0.9898,0.9897,0.9887,0.9402,0.9684,0.9743,0.9764,0.9762,0.974,0.9798,0.9974,0.9981,0.9983,0.9983,0.9981,0,1,1,1,1,1,3e-04,H
31990,Allen at Steinbeck School,97,0.9857,0.9747,0.989,0.9794,0.984,0.9872,0.9882,0.9881,0.987,0.9497,0.9753,0.98,0.9817,0.9815,0.9798,0.9709,0.9909,0.9928,0.9934,0.9933,0.9927,0,1,1,1,1,1,0,H
31991,Almaden Elementary School,67,0.9949,0.986,0.9968,0.9851,0.996,0.997,0.9973,0.9972,0.997,0.9665,0.9877,0.9901,0.991,0.9909,0.9901,0.9826,0.9994,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
31992,Almaden Country Day School,37,0.9579,0.9331,0.9701,0.9459,0.9523,0.9609,0.9641,0.9637,0.9604,0.8897,0.9303,0.9427,0.9473,0.9467,0.942,0.9432,0.9704,0.9759,0.9779,0.9777,0.9757,0,1,1,1,1,1,0.376,H
32000,Almond Elementary School,40,0.9383,0.8998,0.9489,0.95,0.9235,0.9369,0.9419,0.9413,0.9362,0.8434,0.8942,0.9122,0.919,0.9183,0.9113,0.9127,0.9475,0.9569,0.9604,0.96,0.9564,0,1,1,1,1,1,0.98,M
