school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
33838,Alianza Charter School,79,0.9776,0.9482,0.9907,0.9747,0.9735,0.9785,0.9803,0.9801,0.9783,0.9118,0.9467,0.9562,0.9598,0.9593,0.9557,0.9735,0.9927,0.9943,0.9948,0.9948,0.9943,0,1,1,1,1,1,0.0335,H
33840,Alternative Family Education School,29,0.9694,0.9496,0.9768,0.9655,0.9641,0.9707,0.9731,0.9728,0.9704,0.913,0.9481,0.9575,0.961,0.9606,0.9569,0.9529,0.9777,0.982,0.9835,0.9833,0.9818,0,1,1,1,1,1,0.0278,H
33843,Amesti Elementary School,78,0.935,0.8893,0.9405,0.9744,0.9131,0.9282,0.9338,0.9331,0.9273,0.8292,0.8829,0.9027,0.9102,0.9094,0.9017,0.9007,0.9384,0.9493,0.9533,0.9528,0.9487,0,1,1,1,1,1,0.9985,M
33845,Ann Soldo Elementary School,56,0.9885,0.9768,0.9931,0.9821,0.9874,0.9899,0.9908,0.9907,0.9898,0.9529,0.9777,0.9819,0.9834,0.9833,0.9817,0.977,0.9953,0.9964,0.9967,0.9967,0.9963,0,1,1,1,1,1,0,H
33858,Bay View Elementary School,58,0.9935,0.9774,0.9969,0.9828,0.9945,0.9957,0.9961,0.996,0.9957,0.9537,0.9783,0.9825,0.9839,0.9838,0.9823,0.9828,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,5e-04,H
33859,Baymonte Christian School,34,0.9881,0.9894,0.9969,0.9412,0.9967,0.9976,0.9978,0.9978,0.9976,0.9715,0.9913,0.9931,0.9937,0.9936,0.993,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
33867,Bonny Doon Elementary School,21,0.9842,0.9799,0.9927,0.9524,0.9885,0.9908,0.9916,0.9915,0.9907,0.9574,0.981,0.9847,0.986,0.9859,0.9846,0.9763,0.9949,0.996,0.9964,0.9963,0.996,0,1,1,1,1,1,0,H
33869,Boulder Creek Elementary School,90,0.991,0.9827,0.9957,0.9778,0.9921,0.9938,0.9943,0.9943,0.9937,0.9616,0.984,0.9872,0.9882,0.9881,0.987,0.9809,0.9982,0.9987,0.9988,0.9988,0.9987,0,1,1,1,1,1,0,H
33871,Bradley Elementary School,62,0.9958,0.9905,0.997,0.9839,0.9976,0.9983,0.9985,0.9984,0.9983,0.9731,0.9924,0.9941,0.9946,0.9945,0.994,0.9828,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
33880,Brook Knoll Elementary School,117,0.9541,0.9111,0.9614,0.9915,0.9361,0.9475,0.9517,0.9512,0.9469,0.8594,0.9066,0.9226,0.9286,0.9281,0.9218,0.9302,0.9609,0.9681,0.9707,0.9705,0.9678,0,1,1,1,1,1,0.808,H
