school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
34235,academy of personalized learning,16,0.9073,0.9754,0.9925,0.5,0.9863,0.989,0.9899,0.9898,0.9889,0.9508,0.9761,0.9806,0.9823,0.9821,0.9805,0.9762,0.9947,0.9959,0.9963,0.9962,0.9959,0,1,1,1,1,1,0,M
34240,Alta Mesa Elementary School,78,0.9864,0.9475,0.9968,0.9744,0.9863,0.989,0.9899,0.9898,0.9888,0.9103,0.9459,0.9557,0.9593,0.9589,0.9551,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.031,H
34250,Anderson Heights Elementary School,56,0.9738,0.9462,0.9943,0.9464,0.9749,0.9797,0.9813,0.9811,0.9794,0.9086,0.9445,0.9546,0.9583,0.9578,0.954,0.9788,0.9966,0.9975,0.9977,0.9976,0.9974,0,1,1,1,1,1,0.0415,H
34259,Bella Vista Elementary School,38,0.9864,0.9715,0.9969,0.9474,0.9927,0.9943,0.9948,0.9947,0.9942,0.9452,0.9719,0.9772,0.9791,0.9789,0.9769,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0.0015,H
34263,Bethel Christian School,41,0.9768,0.9559,0.9969,0.9024,0.9897,0.9918,0.9925,0.9924,0.9917,0.9221,0.955,0.9632,0.9661,0.9658,0.9627,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0.0177,H
34268,Black Butte Elementary School,24,0.9605,0.9522,0.9885,0.875,0.9729,0.978,0.9798,0.9796,0.9777,0.917,0.9509,0.9599,0.9631,0.9627,0.9594,0.9701,0.9904,0.9924,0.993,0.993,0.9923,0,1,1,1,1,1,0.0155,H
34270,Bonny View Elementary School,55,0.9674,0.9447,0.9837,0.9455,0.9659,0.9722,0.9745,0.9742,0.9719,0.9063,0.9429,0.9531,0.9568,0.9564,0.9525,0.9629,0.985,0.988,0.9891,0.989,0.9879,0,1,1,1,1,1,0.0665,H
34271,Boulder Creek Elementary School,132,0.9858,0.9619,0.9936,0.9924,0.9811,0.9848,0.986,0.9859,0.9846,0.9312,0.9616,0.9686,0.9712,0.9709,0.9683,0.9776,0.9959,0.9969,0.9971,0.9971,0.9968,0,1,1,1,1,1,0.001,H
34278,Buckeye School of the Arts,60,0.993,0.9768,0.9969,0.9833,0.9937,0.9951,0.9955,0.9954,0.995,0.9527,0.9777,0.9819,0.9834,0.9832,0.9816,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
34280,Burney Elementary School,71,0.9892,0.9585,0.9969,0.9718,0.991,0.9928,0.9934,0.9934,0.9927,0.9262,0.9578,0.9656,0.9684,0.968,0.9651,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0.0135,H
34303,Chrysalis Charter School,24,0.9835,0.9877,0.9968,0.9167,0.9959,0.9969,0.9972,0.9972,0.9969,0.969,0.9895,0.9917,0.9924,0.9923,0.9916,0.9826,0.9994,0.9997,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
34306,Columbia Elementary School,118,0.9879,0.9799,0.9926,0.9746,0.9883,0.9907,0.9915,0.9914,0.9906,0.9573,0.981,0.9847,0.9859,0.9858,0.9845,0.9763,0.9948,0.996,0.9964,0.9963,0.996,0,1,1,1,1,1,0,H
34314,Cottonwood Creek Charter School,27,0.9712,0.969,0.9945,0.8889,0.9849,0.9879,0.9889,0.9888,0.9877,0.9415,0.9692,0.975,0.9771,0.9768,0.9747,0.9792,0.9969,0.9977,0.9979,0.9979,0.9977,0,1,1,1,1,1,3e-04,H
34316,Country Christian School,21,0.9659,0.9026,0.9957,0.9524,0.9622,0.9691,0.9716,0.9713,0.9687,0.8476,0.8975,0.915,0.9215,0.9207,0.9138,0.9808,0.9981,0.9987,0.9988,0.9988,0.9987,0,1,1,1,1,1,0.2658,H
34318,Cypress Elementary School,31,0.9854,0.9845,0.9966,0.9355,0.9942,0.9955,0.9959,0.9959,0.9955,0.9641,0.9861,0.9888,0.9898,0.9897,0.9887,0.9823,0.9992,0.9996,0.9996,0.9996,0.9996,0,1,1,1,1,1,0,H
34335,Fall River Elementary School,51,0.9876,0.9876,0.9969,0.9412,0.996,0.997,0.9972,0.9972,0.9969,0.9688,0.9894,0.9915,0.9922,0.9922,0.9914,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
34378,Grand Oaks Elementary School,75,0.9944,0.9854,0.9968,0.9867,0.9949,0.996,0.9964,0.9963,0.996,0.9656,0.9869,0.9896,0.9904,0.9904,0.9895,0.9826,0.9994,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
34379,Grant Elementary School,101,0.9803,0.9649,0.988,0.9703,0.9785,0.9826,0.9841,0.9839,0.9824,0.9356,0.9648,0.9713,0.9736,0.9734,0.9709,0.9695,0.9898,0.9919,0.9926,0.9925,0.9918,0,1,1,1,1,1,0,H
34382,great partnership special education consortium,22,0.979,0.9642,0.9913,0.9545,0.9803,0.9841,0.9854,0.9853,0.9839,0.9343,0.964,0.9707,0.9731,0.9728,0.9703,0.9743,0.9933,0.9948,0.9952,0.9952,0.9947,0,1,1,1,1,1,0,H
34387,Happy Valley Primary School,75,0.9844,0.9677,0.9893,0.9867,0.9805,0.9843,0.9856,0.9854,0.9841,0.9394,0.9678,0.9738,0.9759,0.9756,0.9734,0.9714,0.9912,0.9931,0.9936,0.9936,0.993,0,1,1,1,1,1,0,H
34408,Junction Elementary School,52,0.9908,0.9738,0.9966,0.9808,0.9911,0.993,0.9936,0.9935,0.9929,0.9484,0.9744,0.9792,0.9809,0.9807,0.9789,0.9823,0.9992,0.9996,0.9996,0.9996,0.9996,0,1,1,1,1,1,0,H
34411,Juniper School,27,0.987,0.9793,0.9951,0.963,0.99,0.992,0.9927,0.9926,0.9919,0.9564,0.9803,0.9841,0.9855,0.9854,0.984,0.9799,0.9975,0.9982,0.9983,0.9983,0.9982,0,1,1,1,1,1,0,H
34417,Lassen View Elementary School,112,0.9919,0.9822,0.9969,0.9732,0.9946,0.9958,0.9962,0.9961,0.9958,0.9609,0.9836,0.9868,0.9879,0.9877,0.9866,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
34420,Liberty Christian Schools,11,0.9749,0.9604,0.9964,0.9091,0.9855,0.9883,0.9893,0.9892,0.9882,0.929,0.9598,0.9673,0.97,0.9697,0.967,0.9819,0.9989,0.9994,0.9994,0.9994,0.9994,0,1,1,1,1,1,0.003,H
34429,Manzanita Elementary School,87,0.9817,0.9272,0.9966,0.977,0.979,0.983,0.9844,0.9842,0.9828,0.8815,0.924,0.9372,0.9422,0.9417,0.9365,0.9823,0.9992,0.9996,0.9996,0.9996,0.9996,0,1,1,1,1,1,0.0905,H
34436,Meadow Lane Elementary School,114,0.9889,0.9739,0.9952,0.9825,0.9879,0.9904,0.9912,0.9911,0.9903,0.9487,0.9746,0.9793,0.9811,0.9809,0.9791,0.9802,0.9977,0.9983,0.9985,0.9985,0.9983,0,1,1,1,1,1,0,H
34438,Millville Elementary School,32,0.8299,0.6769,0.9247,0.8125,0.8059,0.8353,0.8467,0.8453,0.8335,0.5668,0.6566,0.7013,0.7191,0.7172,0.6983,0.8779,0.9212,0.935,0.9402,0.9396,0.9343,0,1,1,1,1,1,0.9965,L
34440,Mistletoe Elementary School,107,0.996,0.9874,0.9968,0.9907,0.9962,0.9971,0.9974,0.9974,0.9971,0.9685,0.9891,0.9913,0.992,0.992,0.9912,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0,H
34441,Monarch Learning Center,11,0.979,0.933,0.9925,1,0.9696,0.9753,0.9773,0.9771,0.975,0.8897,0.93,0.9424,0.9469,0.9464,0.9417,0.9761,0.9947,0.9959,0.9962,0.9962,0.9958,0,1,1,1,1,1,0.118,H
34444,Montessori Children's House of Shady Oaks School,10,0.9135,0.9581,0.9818,0.6,0.9713,0.9767,0.9786,0.9784,0.9764,0.9257,0.9573,0.9651,0.9682,0.9678,0.9649,0.9603,0.9831,0.9864,0.9875,0.9874,0.9862,0,1,1,1,1,1,0.002,M
34445,Montgomery Creek Elementary School,11,0.9785,0.978,0.9959,0.9091,0.9906,0.9925,0.9932,0.9931,0.9925,0.9546,0.9789,0.983,0.9844,0.9842,0.9827,0.9813,0.9984,0.999,0.999,0.999,0.9989,0,1,1,1,1,1,0,H
34459,new day academy,28,0.8639,0.981,0.9961,0.2143,0.9924,0.994,0.9945,0.9945,0.994,0.9591,0.9822,0.9857,0.9869,0.9868,0.9856,0.9815,0.9986,0.9991,0.9992,0.9992,0.9991,0,1,1,1,1,1,0,L
34460,new day academy - shasta,41,0.8762,0.9463,0.9954,0.3415,0.9795,0.9835,0.9848,0.9847,0.9832,0.909,0.9447,0.9546,0.9583,0.9578,0.9541,0.9804,0.9979,0.9985,0.9986,0.9986,0.9985,0,1,1,1,1,1,0.0348,L
34462,North Cottonwood School,125,0.9687,0.858,0.9956,0.984,0.9589,0.9662,0.9689,0.9686,0.9658,0.7878,0.8495,0.8737,0.8828,0.8817,0.8723,0.9808,0.9981,0.9987,0.9988,0.9988,0.9987,0,1,1,1,1,1,0.2788,H
34463,North Cow Creek Elementary School,32,0.9775,0.9701,0.9898,0.9375,0.9824,0.9858,0.987,0.9868,0.9856,0.9431,0.9704,0.976,0.978,0.9778,0.9758,0.9722,0.9918,0.9936,0.9941,0.994,0.9935,0,1,1,1,1,1,0,H
34469,north woods discovery,20,0.9504,0.8803,0.9844,0.95,0.9407,0.9512,0.9551,0.9547,0.9507,0.8167,0.8731,0.8944,0.9021,0.901,0.8927,0.9638,0.9859,0.9887,0.9896,0.9895,0.9885,0,1,1,1,1,1,0.5478,H
34472,Oak Run Elementary School,17,0.9176,0.9845,0.9964,0.5294,0.994,0.9953,0.9957,0.9957,0.9953,0.9642,0.986,0.9888,0.9897,0.9896,0.9886,0.982,0.9989,0.9994,0.9994,0.9994,0.9994,0,1,1,1,1,1,0,M
34485,phoenix charter academy,24,0.9347,0.9887,0.9965,0.625,0.9957,0.9967,0.997,0.997,0.9967,0.9706,0.9906,0.9925,0.9932,0.9931,0.9925,0.9821,0.9991,0.9995,0.9995,0.9995,0.9995,0,1,1,1,1,1,0,M
34492,Prairie Elementary School,116,0.7906,0.6144,0.838,0.9741,0.7173,0.7563,0.7718,0.77,0.754,0.4988,0.5913,0.6399,0.6601,0.6578,0.6372,0.7608,0.8277,0.8553,0.8659,0.8647,0.8538,0,1,1,1,1,1,1,L
34499,Redding Christian School,41,0.3689,0.1729,0.3284,0.9024,0.2263,0.2638,0.2809,0.2789,0.2613,0.1149,0.1566,0.1853,0.199,0.1978,0.1841,0.2336,0.3037,0.3493,0.3697,0.3672,0.3469,0,1,1,1,1,1,1,L
34506,Redding School Of The Arts,72,0.7284,0.6173,0.7136,0.9306,0.6454,0.6907,0.709,0.7069,0.688,0.5022,0.5945,0.6428,0.6628,0.6607,0.6401,0.6093,0.6955,0.7371,0.7536,0.7516,0.7345,0,1,1,1,1,1,1,L
34508,redding school of the arts ii,68,0.957,0.9847,0.9965,0.7647,0.9944,0.9956,0.996,0.996,0.9956,0.9645,0.9862,0.989,0.9899,0.9897,0.9888,0.9822,0.9991,0.9995,0.9995,0.9995,0.9995,0,1,1,1,1,1,0,H
34510,Redding STEM Academy,25,0.9387,0.8873,0.9679,0.92,0.9312,0.9433,0.9478,0.9473,0.9426,0.8261,0.8806,0.9007,0.9083,0.9074,0.8996,0.9397,0.9679,0.9739,0.9761,0.9758,0.9736,0,1,1,1,1,1,0.777,M
34515,Rocky Point Charter School,20,0.9431,0.8987,0.9609,0.95,0.9303,0.9426,0.9471,0.9466,0.9419,0.8423,0.8932,0.9113,0.9181,0.9172,0.9101,0.9299,0.9604,0.9677,0.9703,0.97,0.9673,0,1,1,1,1,1,0.8562,M
34517,Rother Elementary School,57,0.9364,0.763,0.9933,0.9649,0.9181,0.9317,0.9368,0.9362,0.9309,0.6678,0.7481,0.7848,0.7997,0.7984,0.7838,0.9773,0.9956,0.9966,0.9969,0.9969,0.9966,0,1,1,1,1,1,0.5962,M
34527,Shasta Elementary School,26,0.9681,0.9594,0.9822,0.9231,0.9722,0.9775,0.9793,0.9791,0.9772,0.9273,0.9588,0.9663,0.969,0.9687,0.9659,0.9608,0.9835,0.9867,0.9879,0.9877,0.9866,0,1,1,1,1,1,8e-04,H
34550,Shasta Lake,47,0.8664,0.6267,0.9623,0.9574,0.8234,0.85,0.8603,0.8591,0.8484,0.5109,0.603,0.6523,0.6723,0.6702,0.6504,0.9317,0.9619,0.969,0.9715,0.9712,0.9686,0,1,1,1,1,1,0.954,L
