school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
34631,Big Springs Elementary School,21,0.9769,0.9627,0.9884,0.9524,0.9779,0.9821,0.9836,0.9835,0.9819,0.9323,0.9624,0.9693,0.9719,0.9716,0.969,0.97,0.9902,0.9922,0.9929,0.9928,0.9921,0.001,H
34637,butte valley elementary,28,0.9532,0.928,0.9555,0.9643,0.9412,0.9518,0.9556,0.9552,0.9512,0.8825,0.9247,0.938,0.943,0.9424,0.9374,0.9218,0.9545,0.9628,0.9659,0.9655,0.9624,0.8498,H
34642,Butteville Elementary School,23,0.9735,0.9505,0.9865,0.9565,0.9721,0.9773,0.9792,0.979,0.977,0.9147,0.9491,0.9584,0.9618,0.9614,0.9579,0.9673,0.9882,0.9905,0.9913,0.9912,0.9904,0.0225,H
34653,Delphic Elementary School,10,0.8851,0.8114,0.8804,1,0.8378,0.8638,0.8738,0.8726,0.8623,0.7276,0.7995,0.8303,0.8425,0.8413,0.8289,0.8173,0.8733,0.8945,0.9024,0.9015,0.8933,1,L
34657,Dunsmuir Elementary School,17,0.922,0.9379,0.9929,0.6471,0.9721,0.9774,0.9792,0.979,0.9771,0.8964,0.9354,0.9469,0.9512,0.9507,0.9464,0.9766,0.9951,0.9963,0.9966,0.9965,0.9962,0.0895,M
34664,Etna Elementary School,20,0.9773,0.9675,0.9865,0.95,0.9791,0.9831,0.9845,0.9844,0.9829,0.9392,0.9676,0.9736,0.9758,0.9755,0.9733,0.9672,0.9882,0.9906,0.9914,0.9913,0.9905,0,H
34670,Evergreen Elementary School,161,0.918,0.8158,0.9553,0.9503,0.8948,0.9128,0.9195,0.9187,0.9117,0.7327,0.8038,0.8342,0.846,0.8444,0.8323,0.9217,0.9544,0.9627,0.9657,0.9654,0.9623,0.9522,M
34674,Fort Jones Elementary School,28,0.976,0.9544,0.9865,0.9643,0.9738,0.9787,0.9805,0.9803,0.9784,0.9203,0.9534,0.9619,0.965,0.9646,0.9614,0.9672,0.9881,0.9905,0.9913,0.9912,0.9904,0.0095,H
34681,Golden Eagle Charter School,27,0.3286,0.2219,0.3468,0.4815,0.2587,0.2997,0.3184,0.3162,0.2971,0.1502,0.2023,0.2375,0.2536,0.2513,0.2349,0.2494,0.3229,0.3686,0.3891,0.3866,0.3654,1,L
34684,Grenada Elementary School,28,0.9827,0.9718,0.9904,0.9643,0.9834,0.9867,0.9878,0.9877,0.9865,0.9455,0.9723,0.9775,0.9793,0.9791,0.9772,0.9729,0.9924,0.994,0.9945,0.9945,0.9939,0,H
34686,Happy Camp Elementary School,22,0.9805,0.9724,0.9888,0.9545,0.9826,0.986,0.9872,0.987,0.9858,0.9463,0.9728,0.978,0.9798,0.9796,0.9777,0.9705,0.9906,0.9926,0.9932,0.9931,0.9925,0,H
34709,McCloud Elementary School,10,0.9506,0.889,0.9957,0.8,0.9766,0.9811,0.9826,0.9824,0.9808,0.8286,0.8827,0.9024,0.91,0.9092,0.9015,0.9809,0.9981,0.9987,0.9988,0.9988,0.9987,0.219,H
34711,Montague Elementary School,21,0.9892,0.986,0.9966,0.9524,0.9956,0.9966,0.9969,0.9969,0.9966,0.9663,0.9876,0.9901,0.9909,0.9908,0.99,0.9822,0.9991,0.9995,0.9996,0.9996,0.9995,0,H
34714,Mt. Shasta Elementary School,64,0.98,0.9572,0.9866,0.9844,0.9746,0.9795,0.9812,0.981,0.9792,0.9244,0.9564,0.9644,0.9673,0.9669,0.964,0.9674,0.9883,0.9907,0.9915,0.9914,0.9906,0.0043,H
34778,Weed Elementary School,55,0.9888,0.9879,0.9968,0.9455,0.9967,0.9976,0.9978,0.9977,0.9975,0.9694,0.9897,0.9918,0.9925,0.9924,0.9917,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,H
