school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
34808,Alamo Elementary School,79,0.9939,0.99,0.9968,0.9747,0.9971,0.9979,0.998,0.998,0.9978,0.9723,0.9919,0.9937,0.9942,0.9941,0.9936,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0,H
34811,alternative cooperative education charter,23,0.9846,0.9765,0.9939,0.9565,0.988,0.9904,0.9912,0.9911,0.9903,0.9524,0.9774,0.9817,0.9832,0.983,0.9815,0.9782,0.9962,0.9971,0.9974,0.9973,0.9971,0,1,1,1,1,1,0,H
34816,Anderson (Linford L.) Elementary School,91,0.9946,0.9898,0.9968,0.978,0.9973,0.9981,0.9982,0.9982,0.998,0.9721,0.9918,0.9935,0.994,0.994,0.9934,0.9826,0.9994,0.9997,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
34818,Anna Kyle Elementary School,116,0.9897,0.9791,0.9956,0.9741,0.9912,0.993,0.9936,0.9935,0.9929,0.9561,0.9801,0.984,0.9853,0.9852,0.9838,0.9808,0.9981,0.9987,0.9988,0.9988,0.9987,0,1,1,1,1,1,0,H
34819,Annie Pennycook Elementary School,72,0.9683,0.9204,0.9833,0.9861,0.9575,0.9653,0.9681,0.9678,0.9649,0.8722,0.9166,0.931,0.9365,0.9359,0.9303,0.9625,0.9847,0.9877,0.9888,0.9886,0.9876,0,1,1,1,1,1,0.302,H
34822,B. Gale Wilson Elementary School,87,0.9883,0.9632,0.996,0.977,0.9884,0.9907,0.9915,0.9914,0.9906,0.9329,0.9629,0.9698,0.9723,0.972,0.9695,0.9813,0.9985,0.999,0.9991,0.9991,0.999,0,1,1,1,1,1,0.0025,H
34830,Bethany Lutheran,28,0.9563,0.9567,0.9817,0.8571,0.9711,0.9765,0.9785,0.9782,0.9762,0.9236,0.9559,0.964,0.9669,0.9665,0.9635,0.9602,0.983,0.9863,0.9875,0.9873,0.9862,0,1,1,1,1,1,0.002,H
34833,beverly hills elementary,49,0.96,0.9328,0.9705,0.9592,0.9521,0.9608,0.964,0.9637,0.9604,0.8897,0.93,0.9424,0.947,0.9464,0.9417,0.9437,0.9709,0.9763,0.9782,0.978,0.976,0,1,1,1,1,1,0.3713,H
34841,Browns Valley Elementary School,84,0.7654,0.6597,0.7428,0.9762,0.6831,0.7258,0.7429,0.7409,0.7233,0.5478,0.6389,0.6848,0.7034,0.7012,0.6822,0.6431,0.7264,0.7651,0.7805,0.7787,0.7628,0,1,1,1,1,1,1,L
34843,Caliber: Changemakers Academy,130,0.9938,0.9817,0.9959,0.9923,0.9926,0.9942,0.9947,0.9946,0.9941,0.9599,0.9829,0.9863,0.9874,0.9873,0.9861,0.9812,0.9984,0.9989,0.999,0.999,0.9989,0,1,1,1,1,1,0,H
34847,Cambridge Elementary School,140,0.9967,0.9877,0.9968,0.9929,0.9968,0.9976,0.9978,0.9978,0.9976,0.9688,0.9894,0.9916,0.9923,0.9922,0.9915,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0,H
34849,Cave Language Academy,91,0.993,0.9855,0.9964,0.978,0.9949,0.9961,0.9964,0.9964,0.9961,0.9657,0.9871,0.9897,0.9905,0.9904,0.9895,0.9819,0.999,0.9994,0.9994,0.9994,0.9994,0,1,1,1,1,1,0,H
34850,Center Elementary,91,0.9894,0.9632,0.9966,0.967,0.9924,0.9941,0.9946,0.9945,0.994,0.9331,0.9629,0.9697,0.9722,0.9719,0.9694,0.9822,0.9991,0.9995,0.9996,0.9996,0.9995,0,1,1,1,1,1,0.0068,H
34861,Cleo Gordon Elementary School,88,0.9922,0.9847,0.9962,0.9773,0.994,0.9953,0.9957,0.9957,0.9953,0.9646,0.9863,0.989,0.9899,0.9898,0.9889,0.9816,0.9987,0.9991,0.9992,0.9992,0.9991,0,1,1,1,1,1,0,H
34865,Cooper Elementary School,90,0.9751,0.9558,0.9793,0.9778,0.9693,0.975,0.9771,0.9769,0.9747,0.9225,0.9548,0.963,0.966,0.9657,0.9626,0.9566,0.9804,0.9842,0.9855,0.9854,0.984,0,1,1,1,1,1,0.0035,H
34866,Cordelia Hills Elementary School,154,0.9394,0.8955,0.9406,0.987,0.9163,0.9309,0.9364,0.9358,0.9301,0.8379,0.8896,0.9083,0.9154,0.9146,0.9075,0.9004,0.9383,0.9494,0.9534,0.953,0.9489,0,1,1,1,1,1,0.9985,M
34871,Crescent Elementary School,95,0.9876,0.9854,0.994,0.9579,0.992,0.9937,0.9943,0.9942,0.9937,0.9655,0.987,0.9896,0.9904,0.9903,0.9894,0.9783,0.9963,0.9972,0.9974,0.9974,0.9972,0,1,1,1,1,1,0,H
34875,Dan Mini Elementary School,87,0.989,0.9758,0.9955,0.977,0.9894,0.9915,0.9922,0.9922,0.9914,0.9513,0.9765,0.981,0.9826,0.9825,0.9808,0.9806,0.998,0.9986,0.9987,0.9987,0.9985,0,1,1,1,1,1,0,H
34876,Dan O. Root Elementary School,71,0.9491,0.9143,0.9553,0.9718,0.9336,0.9454,0.9498,0.9493,0.9448,0.8635,0.91,0.9255,0.9314,0.9307,0.9247,0.9216,0.9543,0.9627,0.9657,0.9654,0.9623,0,1,1,1,1,1,0.9212,M
34881,Dixon Montessori Charter,54,0.9797,0.9617,0.9846,0.9815,0.975,0.9798,0.9814,0.9812,0.9795,0.9308,0.9612,0.9684,0.9709,0.9706,0.968,0.9644,0.9861,0.9889,0.9898,0.9897,0.9887,0,1,1,1,1,1,3e-04,H
34884,Dover Elementary,84,0.9765,0.9586,0.9819,0.9762,0.9716,0.9769,0.9788,0.9786,0.9766,0.9261,0.9578,0.9656,0.9684,0.9681,0.9652,0.9603,0.9832,0.9864,0.9876,0.9874,0.9862,0,1,1,1,1,1,0.0022,H
34888,E. Ruth Sheldon Academy Of Innovative Learning,47,0.9913,0.9891,0.9969,0.9574,0.9974,0.9981,0.9983,0.9983,0.9981,0.971,0.991,0.9929,0.9934,0.9934,0.9927,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
34892,Edwin Markham Elementary School,166,0.9919,0.9791,0.9956,0.988,0.9909,0.9928,0.9934,0.9934,0.9927,0.9561,0.9801,0.984,0.9853,0.9851,0.9838,0.9808,0.9981,0.9986,0.9988,0.9988,0.9986,0,1,1,1,1,1,0,H
34894,Elite Public School,80,0.8629,0.828,0.9502,0.6125,0.8966,0.9142,0.9208,0.92,0.9131,0.7484,0.8172,0.8459,0.857,0.8557,0.8443,0.9141,0.9487,0.9581,0.9615,0.9611,0.9576,0,1,1,1,1,1,0.9742,L
