school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
35177,Abraham Lincoln Elementary School,46,0.984,0.9888,0.9969,0.913,0.9976,0.9983,0.9984,0.9984,0.9982,0.9707,0.9906,0.9926,0.9932,0.9931,0.9925,0.9828,0.9995,0.9998,0.9999,0.9999,0.9998,0,H
35180,academy of arts and sciences: sonoma,26,0.9357,0.9799,0.9951,0.6538,0.9903,0.9923,0.9929,0.9928,0.9922,0.9572,0.981,0.9847,0.986,0.9858,0.9845,0.98,0.9976,0.9983,0.9984,0.9984,0.9982,0,M
35187,Albert F. Biella Elementary School,27,0.9852,0.9759,0.9934,0.963,0.9873,0.9899,0.9907,0.9906,0.9898,0.9515,0.9767,0.9812,0.9827,0.9825,0.9809,0.9776,0.9957,0.9967,0.997,0.997,0.9967,0,H
35188,Alexander Valley Elementary School,24,0.9697,0.9603,0.9873,0.9167,0.9761,0.9806,0.9822,0.982,0.9804,0.9289,0.9598,0.9671,0.9698,0.9695,0.9667,0.9683,0.989,0.9913,0.992,0.9919,0.9911,0.0015,H
35204,Apple Blossom School,65,0.9925,0.987,0.9968,0.9692,0.9963,0.9973,0.9975,0.9975,0.9972,0.968,0.9888,0.9911,0.9918,0.9917,0.9909,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,H
35207,Austin Creek Elementary School,62,0.9778,0.9579,0.9821,0.9839,0.9716,0.977,0.9789,0.9787,0.9767,0.9251,0.9571,0.965,0.9678,0.9675,0.9645,0.9607,0.9834,0.9867,0.9878,0.9876,0.9865,0.0013,H
35210,Bellevue Elementary School,80,0.9556,0.9155,0.9735,0.95,0.948,0.9574,0.9609,0.9605,0.9569,0.865,0.9114,0.9267,0.9326,0.932,0.9261,0.948,0.9741,0.979,0.9807,0.9805,0.9787,0.5165,H
35216,bernard eldredge elementary,,0.9963,0.9938,0.997,0.9818,0.9988,0.9993,0.9993,0.9993,0.9993,0.978,0.9961,0.997,0.9973,0.9973,0.997,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
35219,bethlehem children's center,10,0.9826,0.9933,0.997,0.9,0.9987,0.9992,0.9993,0.9993,0.9992,0.9773,0.9956,0.9966,0.9969,0.9969,0.9966,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
35222,Binkley Elementary Charter School,78,0.9841,0.9739,0.9883,0.9744,0.983,0.9863,0.9874,0.9873,0.9861,0.9487,0.9745,0.9793,0.981,0.9808,0.9791,0.9699,0.9901,0.9922,0.9928,0.9928,0.9921,0,H
35233,Brook Haven Elementary School,12,0.9821,0.9841,0.9964,0.9167,0.994,0.9953,0.9957,0.9957,0.9953,0.9638,0.9856,0.9884,0.9894,0.9893,0.9883,0.982,0.999,0.9994,0.9994,0.9994,0.9994,0,H
35234,Brook Hill Elementary School,63,0.9963,0.9918,0.997,0.9841,0.9983,0.9988,0.9989,0.9989,0.9988,0.9751,0.9939,0.9953,0.9957,0.9957,0.9953,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,H
35243,Cali Calmecac Language Academy,220,0.9953,0.9918,0.997,0.9773,0.9984,0.9989,0.999,0.999,0.9989,0.9752,0.994,0.9953,0.9957,0.9957,0.9953,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
35245,california steam sonoma,48,0.9283,0.9779,0.9963,0.6042,0.9914,0.9933,0.9938,0.9938,0.9932,0.9543,0.9788,0.9829,0.9844,0.9842,0.9827,0.9818,0.9988,0.9992,0.9993,0.9993,0.9992,0,M
35246,california steam sonoma ii,113,0.8407,0.8888,0.9929,0.2124,0.9595,0.967,0.9697,0.9693,0.9665,0.829,0.8828,0.9022,0.9097,0.909,0.9014,0.9767,0.9951,0.9962,0.9966,0.9965,0.9962,0.3668,L
35247,california virtual academy @ sonoma,51,0.8498,0.985,0.9967,0.1176,0.9952,0.9964,0.9967,0.9966,0.9963,0.965,0.9865,0.9892,0.9901,0.9901,0.9891,0.9824,0.9992,0.9996,0.9997,0.9997,0.9996,0,L
35258,Cesar Chavez Language Academy,95,0.9867,0.9736,0.9921,0.9789,0.9856,0.9884,0.9894,0.9893,0.9883,0.9482,0.9742,0.979,0.9807,0.9805,0.9787,0.9755,0.9943,0.9955,0.9959,0.9959,0.9955,0,H
