school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
35822,Agnes M. Baptist Elementary School,89,0.9945,0.9907,0.9969,0.9775,0.9973,0.998,0.9982,0.9982,0.998,0.9734,0.9927,0.9943,0.9948,0.9947,0.9942,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
35823,Alberta Martone Elementary School,106,0.9969,0.9916,0.9969,0.9906,0.9976,0.9983,0.9984,0.9984,0.9983,0.9748,0.9938,0.9951,0.9955,0.9955,0.9951,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
35825,Alice N. Stroud Elementary School,75,0.9867,0.9742,0.9944,0.9733,0.987,0.9896,0.9905,0.9904,0.9895,0.949,0.9749,0.9796,0.9813,0.9811,0.9794,0.9789,0.9967,0.9976,0.9978,0.9978,0.9975,0,1,1,1,1,1,0,H
35828,Apricot Valley Elementary School,106,0.9734,0.9919,0.9969,0.8491,0.9977,0.9984,0.9985,0.9985,0.9984,0.9753,0.994,0.9954,0.9957,0.9957,0.9953,0.9828,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
35832,Aspire Summit Charter Academy,83,0.9683,0.9462,0.9732,0.9759,0.9599,0.9673,0.97,0.9697,0.9669,0.9086,0.9445,0.9545,0.9581,0.9577,0.9539,0.9475,0.9737,0.9787,0.9805,0.9802,0.9785,0,1,1,1,1,1,0.074,H
35833,Aspire University Charter School,85,0.99,0.9686,0.9966,0.9765,0.9909,0.9928,0.9934,0.9934,0.9927,0.9407,0.9687,0.9746,0.9767,0.9765,0.9743,0.9822,0.9991,0.9995,0.9996,0.9996,0.9995,0,1,1,1,1,1,0.0025,H
35840,Bernard L. Hughes Elementary School,92,0.9944,0.9898,0.9969,0.9783,0.9969,0.9977,0.9979,0.9979,0.9977,0.972,0.9917,0.9934,0.994,0.994,0.9934,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
35843,Big Valley Christian,94,0.6883,0.4282,0.7785,0.9787,0.5859,0.6329,0.6523,0.65,0.63,0.3173,0.4017,0.4524,0.4735,0.4707,0.4486,0.6867,0.7645,0.7991,0.8129,0.8112,0.7973,0,1,1,1,1,1,1,L
35847,Bonita Elementary School,21,0.6836,0.5642,0.6499,0.9524,0.584,0.6326,0.6526,0.6503,0.6296,0.447,0.5396,0.5903,0.6112,0.6089,0.5872,0.5383,0.6289,0.6752,0.6941,0.6918,0.6723,0,1,1,1,1,1,1,L
35848,Bret Harte Elementary School,150,0.9908,0.9685,0.9964,0.9867,0.9896,0.9918,0.9924,0.9924,0.9917,0.9407,0.9686,0.9745,0.9766,0.9763,0.9742,0.9819,0.9989,0.9994,0.9994,0.9994,0.9994,0,1,1,1,1,1,0.001,H
35852,Burbank Elementary School,99,0.9866,0.963,0.9967,0.9596,0.9902,0.9922,0.9929,0.9928,0.9921,0.9325,0.9627,0.9696,0.9721,0.9718,0.9692,0.9824,0.9992,0.9996,0.9996,0.9996,0.9996,0,1,1,1,1,1,0.007,H
35857,California Avenue Elementary School,131,0.9638,0.9307,0.9814,0.9542,0.9588,0.9663,0.969,0.9687,0.9659,0.8867,0.9278,0.9404,0.9451,0.9445,0.9396,0.9599,0.9827,0.9861,0.9873,0.9872,0.986,0,1,1,1,1,1,0.2232,H
35863,Capistrano Elementary School,82,0.3921,0.2248,0.2952,0.9756,0.238,0.277,0.2948,0.2926,0.2744,0.1529,0.2052,0.2406,0.2568,0.2551,0.2385,0.2068,0.2725,0.3148,0.3338,0.3314,0.3118,0,1,1,1,1,1,1,L
35866,Carroll Fowler Elementary School,95,0.9837,0.9668,0.9915,0.9789,0.9813,0.985,0.9862,0.9861,0.9848,0.9382,0.9667,0.9729,0.9752,0.9749,0.9726,0.9746,0.9936,0.995,0.9954,0.9954,0.995,0,1,1,1,1,1,0,H
35870,Caswell Elementary School,114,0.449,0.2913,0.3515,0.9912,0.2981,0.3425,0.3624,0.36,0.3396,0.2039,0.2686,0.3105,0.3292,0.3267,0.3073,0.2529,0.3266,0.3732,0.3941,0.3918,0.3706,0,1,1,1,1,1,1,L
35872,Catherine Everett Elementary School,71,0.9939,0.9843,0.9966,0.9859,0.9943,0.9956,0.996,0.9959,0.9955,0.9639,0.9858,0.9886,0.9895,0.9894,0.9884,0.9822,0.9991,0.9995,0.9996,0.9996,0.9995,0,1,1,1,1,1,0,H
35879,Central Valley Christian Academy,15,0.9755,0.9889,0.9968,0.8667,0.9965,0.9974,0.9976,0.9976,0.9973,0.9708,0.9908,0.9927,0.9933,0.9933,0.9926,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0,H
35889,Chatom Elementary School,89,0.9944,0.9905,0.9969,0.9775,0.9971,0.9979,0.9981,0.9981,0.9979,0.9731,0.9925,0.9941,0.9946,0.9945,0.994,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
35895,Christine Sipherd Elementary School,63,0.9935,0.9867,0.9961,0.9841,0.9941,0.9954,0.9958,0.9958,0.9954,0.9675,0.9884,0.9908,0.9915,0.9914,0.9906,0.9814,0.9985,0.9991,0.9991,0.9991,0.9991,0,1,1,1,1,1,0,H
35897,Cloverland Elementary School,111,0.9743,0.939,0.9849,0.991,0.9649,0.9714,0.9737,0.9735,0.9711,0.898,0.9365,0.948,0.9521,0.9516,0.9473,0.965,0.9865,0.9892,0.9901,0.99,0.989,0,1,1,1,1,1,0.1065,H
35900,Coleman F. Brown Elementary School,100,0.9836,0.9289,0.9965,0.97,0.9833,0.9865,0.9876,0.9875,0.9864,0.8841,0.9257,0.9388,0.9437,0.9432,0.9382,0.9822,0.9991,0.9995,0.9995,0.9995,0.9995,0,1,1,1,1,1,0.0632,H
