school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
36357,Andros Karperos School,103,0.9917,0.9794,0.9952,0.9903,0.9901,0.9921,0.9928,0.9927,0.992,0.9567,0.9805,0.9843,0.9856,0.9854,0.9841,0.9802,0.9976,0.9983,0.9985,0.9984,0.9983,0,1,1,1,1,1,0,H
36359,April Lane Elementary School,103,0.9979,0.9951,0.9971,0.9903,0.9991,0.9995,0.9995,0.9995,0.9995,0.98,0.9975,0.9982,0.9983,0.9983,0.9982,0.9831,0.9997,1,1,1,1,0,1,1,1,1,1,0,H
36361,Barry Elementary School,65,0.9917,0.9942,0.9971,0.9538,0.9988,0.9993,0.9994,0.9994,0.9993,0.9787,0.9965,0.9974,0.9976,0.9976,0.9974,0.9831,0.9997,1,1,1,1,0,1,1,1,1,1,0,H
36365,Bridge Street Elementary School,112,0.9974,0.9917,0.9971,0.9911,0.9982,0.9988,0.9989,0.9989,0.9988,0.9749,0.9938,0.9951,0.9955,0.9955,0.9951,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
36366,Brittan Elementary School,72,0.9876,0.977,0.9969,0.9583,0.992,0.9937,0.9942,0.9941,0.9936,0.9532,0.9778,0.9821,0.9836,0.9834,0.9818,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
36369,Browns Elementary School,21,0.9992,0.9936,0.9971,1,0.9987,0.9992,0.9992,0.9992,0.9992,0.9776,0.9958,0.9968,0.9971,0.9971,0.9968,0.983,0.9996,1,1,1,1,0,1,1,1,1,1,0,H
36371,Butte Vista Elementary School,102,0.9665,0.8547,0.9966,0.9902,0.9544,0.9624,0.9653,0.965,0.962,0.7817,0.8454,0.8707,0.8804,0.8794,0.8694,0.9822,0.9992,0.9996,0.9996,0.9996,0.9996,0,1,1,1,1,1,0.3422,H
36376,california prep sutter k-7,,0.9958,0.992,0.9971,0.9811,0.9983,0.9988,0.9989,0.9989,0.9988,0.9753,0.9941,0.9954,0.9958,0.9958,0.9954,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,1,1,1,1,1,1,0,H
36378,california virtual academy @ sutter,47,0.9858,0.9825,0.9969,0.9362,0.9946,0.9958,0.9961,0.9961,0.9957,0.9614,0.9839,0.987,0.9881,0.988,0.9869,0.9828,0.9995,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
36380,central gaither elementary,21,0.9799,0.9656,0.9933,0.9524,0.9822,0.9857,0.9869,0.9867,0.9855,0.9364,0.9654,0.9718,0.9741,0.9739,0.9715,0.9773,0.9956,0.9966,0.9969,0.9969,0.9966,0,1,1,1,1,1,8e-04,H
36390,Encinal Elementary School,14,0.9988,0.9915,0.997,1,0.998,0.9986,0.9987,0.9987,0.9986,0.9747,0.9936,0.995,0.9954,0.9953,0.9949,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,1,1,1,1,1,0,H
36391,Faith Christian High School,,0.9965,0.995,0.9971,0.9821,0.999,0.9995,0.9995,0.9995,0.9995,0.9798,0.9974,0.9981,0.9983,0.9982,0.9981,0.9831,0.9997,1,1,1,1,1,1,1,1,1,1,0,H
