school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
36485,Antelope Elementary School,82,0.987,0.9761,0.9923,0.9756,0.9868,0.9895,0.9903,0.9902,0.9893,0.9517,0.9768,0.9813,0.9828,0.9826,0.981,0.9758,0.9945,0.9958,0.9961,0.9961,0.9957,0,H
36489,Bend Elementary School,21,0.9826,0.9761,0.9914,0.9524,0.9861,0.9889,0.9898,0.9897,0.9888,0.9519,0.9769,0.9813,0.9828,0.9827,0.9811,0.9744,0.9935,0.9949,0.9953,0.9953,0.9949,0,H
36491,Bidwell Elementary School,76,0.9874,0.9773,0.9936,0.9737,0.9879,0.9904,0.9912,0.9911,0.9903,0.9535,0.9782,0.9824,0.9839,0.9837,0.9822,0.9777,0.9958,0.9969,0.9971,0.9971,0.9968,0,H
36513,Evergreen Elementary School,87,0.9958,0.9947,0.9971,0.977,0.9992,0.9996,0.9996,0.9996,0.9996,0.9794,0.997,0.9978,0.998,0.998,0.9978,0.9831,0.9997,1,1,1,1,0,H
36521,Gerber Elementary School,56,0.9891,0.9718,0.9969,0.9643,0.9927,0.9942,0.9947,0.9947,0.9942,0.9455,0.9723,0.9775,0.9793,0.9791,0.9772,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,H
36527,Jackson Heights Elementary School,90,0.9952,0.9899,0.997,0.9778,0.9982,0.9988,0.9989,0.9989,0.9988,0.9723,0.9919,0.9937,0.9942,0.9941,0.9936,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
36528,Kirkwood Elementary School,16,0.9996,0.9945,0.9971,1,0.9992,0.9995,0.9996,0.9996,0.9996,0.979,0.9969,0.9977,0.9979,0.9978,0.9976,0.983,0.9997,1,1,1,1,0,H
36530,Lassen View Elementary School,40,0.9911,0.9935,0.9971,0.95,0.999,0.9994,0.9995,0.9995,0.9994,0.9776,0.9958,0.9968,0.9971,0.997,0.9968,0.983,0.9996,0.9999,1,1,0.9999,0,H
36536,Lincoln Street Independent School,11,0.9677,0.9877,0.997,0.8182,0.9969,0.9977,0.9979,0.9978,0.9976,0.969,0.9895,0.9916,0.9923,0.9923,0.9916,0.9828,0.9995,0.9999,0.9999,0.9999,0.9999,0,H
36539,Los Molinos Elementary School,33,0.9892,0.9928,0.997,0.9394,0.9988,0.9992,0.9993,0.9993,0.9992,0.9765,0.995,0.9961,0.9964,0.9964,0.9961,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
36551,Olive View Elementary School,89,0.9936,0.991,0.9971,0.9663,0.9987,0.9991,0.9992,0.9992,0.9991,0.974,0.993,0.9945,0.995,0.9949,0.9945,0.983,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
36555,Rancho Tehama Elementary School,23,0.9545,0.9112,0.9722,0.9565,0.9448,0.9548,0.9584,0.958,0.9543,0.859,0.9066,0.9228,0.9288,0.9282,0.922,0.9462,0.9726,0.9779,0.9797,0.9795,0.9777,0.5883,H
36565,Reeds Creek Elementary School,27,0.9268,0.8868,0.9284,0.963,0.9042,0.9207,0.9269,0.9262,0.9198,0.8261,0.8803,0.9003,0.9079,0.9071,0.8993,0.8831,0.9251,0.9383,0.9431,0.9425,0.9375,1,M
36566,Richfield Elementary School,40,0.9468,0.9182,0.9547,0.95,0.9355,0.9471,0.9513,0.9508,0.9464,0.8687,0.9141,0.9291,0.9347,0.934,0.9283,0.9209,0.9538,0.9622,0.9653,0.9649,0.9617,0.9138,M
36570,Sacred Heart Parish School,20,0.9283,0.8694,0.9622,0.9,0.9211,0.935,0.9401,0.9396,0.9342,0.803,0.8617,0.8842,0.8927,0.8918,0.8827,0.9317,0.9619,0.9689,0.9715,0.9712,0.9686,0.8912,M
36587,West Street Elementary School,67,0.848,0.7747,0.8534,0.9254,0.8042,0.8346,0.8463,0.8449,0.8328,0.6812,0.7599,0.7954,0.8094,0.8078,0.7933,0.7809,0.8442,0.8698,0.8795,0.8784,0.8685,1,L
36590,William M. Metteer Elementary School,93,0.9771,0.9553,0.9845,0.9785,0.9719,0.9772,0.9791,0.9789,0.9769,0.9215,0.9543,0.9627,0.9657,0.9653,0.9622,0.9642,0.986,0.9887,0.9897,0.9896,0.9886,0.0048,H
36592,Woodson Elementary School,66,0.8271,0.689,0.8484,0.9848,0.7626,0.7978,0.8116,0.8101,0.7959,0.5822,0.6695,0.7134,0.7309,0.7286,0.7107,0.7748,0.8389,0.8648,0.8747,0.8736,0.8632,1,L
