school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
36650,Alila School,69,0.9821,0.9354,0.9941,0.9855,0.9775,0.9818,0.9833,0.9831,0.9816,0.8931,0.9327,0.9447,0.9492,0.9487,0.9442,0.9785,0.9964,0.9973,0.9975,0.9975,0.9973,0.0792,H
36651,Allensworth Elementary School,20,0.9786,0.966,0.9896,0.95,0.981,0.9847,0.9859,0.9858,0.9845,0.9372,0.9659,0.9723,0.9745,0.9742,0.9719,0.9718,0.9916,0.9933,0.9939,0.9938,0.9933,0,H
36653,Alpaugh Elementary School,32,0.8983,0.8546,0.8987,0.9375,0.8705,0.892,0.9001,0.8992,0.8908,0.7826,0.8455,0.8706,0.88,0.8788,0.869,0.8418,0.893,0.9113,0.9181,0.9172,0.9102,1,L
36657,alpine vista,123,0.9957,0.988,0.9965,0.9919,0.9954,0.9965,0.9968,0.9968,0.9965,0.9694,0.9898,0.9919,0.9926,0.9925,0.9918,0.9821,0.999,0.9994,0.9995,0.9995,0.9994,0,H
36659,Alta Vista Elementary School,74,0.983,0.9596,0.9903,0.9865,0.9785,0.9826,0.9841,0.9839,0.9824,0.9275,0.959,0.9665,0.9692,0.9689,0.9661,0.9728,0.9923,0.994,0.9945,0.9944,0.9939,0.0018,H
36664,Annie R. Mitchell School,126,0.9896,0.9758,0.9922,0.9921,0.9866,0.9893,0.9902,0.9901,0.9891,0.9512,0.9765,0.981,0.9826,0.9824,0.9807,0.9755,0.9943,0.9956,0.996,0.9959,0.9956,0,H
36670,Belleview Elementary School,50,0.9928,0.9945,0.997,0.96,0.9989,0.9994,0.9994,0.9994,0.9994,0.9791,0.9969,0.9977,0.9979,0.9979,0.9977,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
36673,Blue Oak Academy,66,0.9603,0.9161,0.9725,0.9848,0.9464,0.956,0.9596,0.9592,0.9555,0.8658,0.9119,0.9273,0.933,0.9322,0.9263,0.9466,0.973,0.9781,0.9799,0.9797,0.9778,0.5505,H
36676,buena vista elementary,27,0.9623,0.9398,0.9683,0.963,0.9545,0.9628,0.9658,0.9655,0.9624,0.8994,0.9377,0.9487,0.9528,0.9523,0.9481,0.9404,0.9684,0.9743,0.9765,0.9762,0.974,0.2357,H
36681,Burton Elementary School,65,0.9941,0.9763,0.9967,0.9846,0.995,0.9962,0.9965,0.9964,0.9961,0.9519,0.977,0.9815,0.983,0.9829,0.9813,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,H
