school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
37163,Belleview Elementary School,24,0.9688,0.9522,0.976,0.9583,0.9649,0.9714,0.9738,0.9735,0.9711,0.917,0.9509,0.9598,0.963,0.9626,0.9592,0.9518,0.9769,0.9813,0.9828,0.9826,0.981,0.0127,H
37174,Columbia Elementary School,69,0.9789,0.9682,0.9872,0.9565,0.9798,0.9837,0.9851,0.9849,0.9835,0.9403,0.9684,0.9743,0.9764,0.9761,0.9739,0.9681,0.9889,0.9912,0.992,0.9919,0.9911,0,H
37179,Curtis Creek Elementary School,53,0.9927,0.9924,0.997,0.9623,0.9984,0.9989,0.999,0.999,0.9989,0.9759,0.9946,0.9958,0.9962,0.9961,0.9958,0.9829,0.9995,0.9999,0.9999,0.9999,0.9999,0,H
37188,foothill leadership academy,20,0.9783,0.9826,0.9958,0.9,0.9924,0.9941,0.9946,0.9945,0.994,0.9613,0.9839,0.9871,0.9881,0.988,0.9869,0.9811,0.9982,0.9988,0.9989,0.9989,0.9988,0,H
37192,Gold Rush Charter School,33,0.9523,0.9569,0.9759,0.8485,0.9675,0.9736,0.9757,0.9755,0.9733,0.9238,0.956,0.9641,0.967,0.9668,0.9638,0.9516,0.9767,0.9811,0.9827,0.9825,0.9809,3e-04,H
37196,Jamestown Elementary School,47,0.9921,0.9931,0.997,0.9574,0.9986,0.9991,0.9992,0.9992,0.9991,0.9771,0.9954,0.9965,0.9968,0.9967,0.9964,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
37209,Mother Lode Christian School,28,0.9421,0.9735,0.9916,0.7143,0.985,0.9879,0.9889,0.9888,0.9878,0.948,0.974,0.9789,0.9807,0.9805,0.9787,0.9747,0.9936,0.9951,0.9955,0.9954,0.995,0,M
37222,Safari Learning Academy,25,0.9757,0.9631,0.9824,0.96,0.9744,0.9792,0.9809,0.9807,0.979,0.9327,0.9627,0.9696,0.9721,0.9718,0.9692,0.961,0.9837,0.9869,0.988,0.9879,0.9868,0,H
37230,Sierra Waldorf School,34,0.9698,0.9725,0.9964,0.8529,0.9915,0.9933,0.9939,0.9938,0.9932,0.9463,0.9728,0.9781,0.9799,0.9797,0.9779,0.982,0.999,0.9994,0.9994,0.9994,0.9994,0,H
37231,Sonora Elementary School,106,0.9758,0.9724,0.989,0.9245,0.983,0.9863,0.9874,0.9873,0.9861,0.9464,0.9729,0.978,0.9798,0.9796,0.9777,0.971,0.9908,0.9927,0.9934,0.9933,0.9927,0,H
37237,Soulsbyville Elementary School,62,0.9748,0.9645,0.9825,0.9516,0.9751,0.9798,0.9815,0.9813,0.9796,0.935,0.9644,0.9709,0.9733,0.973,0.9706,0.9613,0.9838,0.987,0.9881,0.9879,0.9868,0,H
37248,Summerville Elementary School,56,0.9698,0.966,0.979,0.9286,0.9734,0.9784,0.9802,0.98,0.9782,0.937,0.9659,0.9722,0.9745,0.9743,0.9719,0.9561,0.98,0.9839,0.9852,0.9851,0.9837,0,H
37254,Tenaya Elementary School,22,0.9896,0.9857,0.9968,0.9545,0.9957,0.9967,0.997,0.997,0.9967,0.966,0.9873,0.9899,0.9907,0.9906,0.9898,0.9825,0.9993,0.9997,0.9997,0.9997,0.9997,0,H
37266,Twain Harte School,33,0.6521,0.4461,0.6899,0.9394,0.5475,0.5976,0.6184,0.6158,0.5942,0.3349,0.4204,0.4709,0.4925,0.4898,0.4672,0.5823,0.6706,0.7142,0.7317,0.7298,0.7119,1,L
38438,,,0.9962,0.9935,0.997,0.9816,0.9987,0.9991,0.9992,0.9992,0.9991,0.9776,0.9958,0.9968,0.997,0.997,0.9967,0.9829,0.9996,0.9999,0.9999,0.9999,0.9999,0,H
