school_id,school_name,county,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
251,Bridges Academy at Melrose,Alameda,,0.9919,0.9824,0.9967,0.9752,0.994,0.9953,0.9957,0.9957,0.9953,0.961,0.9838,0.9869,0.988,0.9879,0.9868,0.9824,0.9992,0.9996,0.9996,0.9996,0.9996,1,1,1,1,1,1,0,H
4972,Blue Lake Elementary School,Humboldt,23,0.9303,0.9075,0.9713,0.8261,0.9414,0.9519,0.9558,0.9553,0.9513,0.855,0.903,0.9193,0.9257,0.9251,0.9187,0.9449,0.9717,0.977,0.9789,0.9786,0.9767,0,1,1,1,1,1,0.632,M
4989,Coastal Grove Charter School,Humboldt,22,0.9264,0.927,0.9687,0.7727,0.9485,0.9578,0.9612,0.9608,0.9573,0.8812,0.9238,0.9372,0.9422,0.9416,0.9365,0.9411,0.9689,0.9747,0.9768,0.9765,0.9744,0,1,1,1,1,1,0.485,M
4992,Cuddeback Elementary School,Humboldt,22,0.9096,0.8476,0.9389,0.9091,0.8928,0.9109,0.9177,0.917,0.9099,0.7737,0.8385,0.8641,0.8739,0.8728,0.8627,0.8982,0.9366,0.9479,0.9521,0.9516,0.9473,0,1,1,1,1,1,0.9968,M
4997,Dows Prairie Elementary School,Humboldt,145,0.9801,0.9639,0.9876,0.9724,0.9777,0.9819,0.9834,0.9833,0.9817,0.9339,0.9636,0.9704,0.9728,0.9725,0.97,0.9689,0.9894,0.9916,0.9923,0.9922,0.9915,0,1,1,1,1,1,5e-04,H
4999,Eagle Prairie Elementary School,Humboldt,61,0.8495,0.724,0.9028,0.918,0.8083,0.8378,0.8492,0.8479,0.8361,0.6207,0.7067,0.7472,0.7631,0.7612,0.7444,0.8469,0.8973,0.915,0.9215,0.9208,0.9142,0,1,1,1,1,1,1,L
5018,Ferndale Elementary School,Humboldt,38,0.9721,0.9358,0.9937,0.9474,0.9722,0.9774,0.9792,0.979,0.9771,0.8931,0.9331,0.9451,0.9496,0.9491,0.9446,0.9779,0.996,0.997,0.9973,0.9972,0.997,0,1,1,1,1,1,0.0895,H
5024,Fieldbrook Elementary School,Humboldt,20,0.9731,0.9371,0.9936,0.95,0.9731,0.9781,0.9799,0.9797,0.9779,0.8955,0.9348,0.9462,0.9503,0.9499,0.9455,0.9776,0.9958,0.9968,0.9971,0.9971,0.9968,0,1,1,1,1,1,0.0795,H
5033,Freshwater Elementary School,Humboldt,47,0.6758,0.5451,0.6471,0.9574,0.5732,0.6222,0.6425,0.6401,0.6192,0.4284,0.5203,0.571,0.5922,0.5897,0.5681,0.5349,0.6258,0.6723,0.6913,0.6891,0.6695,0,1,1,1,1,1,1,L
5035,Fuente Nueva Charter School,Humboldt,23,0.9287,0.8636,0.9511,0.9565,0.9086,0.9243,0.9302,0.9295,0.9234,0.7949,0.8553,0.8788,0.8874,0.8863,0.877,0.9155,0.9498,0.959,0.9622,0.9619,0.9584,0,1,1,1,1,1,0.97,M
5036,Garfield Elementary School,Humboldt,11,0.9029,0.8396,0.9941,0.6364,0.9478,0.9569,0.9603,0.9599,0.9564,0.7628,0.8296,0.8569,0.8673,0.8658,0.8549,0.9786,0.9964,0.9973,0.9976,0.9976,0.9973,0,1,1,1,1,1,0.3892,M
