county,county_fips,n_schools,pct_schools_below_95,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
Alamance,,31,0.1613,0.9666,0.9457,0.9691,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
Alexander,,8,0.125,0.9669,0.9419,0.9722,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
Alleghany,,2,0.5,0.9588,0.9394,0.9669,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
Anson,,5,0.2,0.9664,0.9465,0.974,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
Ashe,,2,0,0.98,0.9606,0.9818,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
Avery,,7,0.2857,0.9644,0.9363,0.9685,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
Beaufort,,9,0.3333,0.9586,0.9432,0.968,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
Bertie,,2,0,0.9631,0.9265,0.9634,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
Bladen,,8,0.25,0.9676,0.9434,0.972,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
Brunswick,,16,0.3125,0.9494,0.9329,0.9682,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,M
Buncombe,,48,0.6875,0.92,0.8911,0.944,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,M
Burke,,19,0.3158,0.9581,0.9406,0.9754,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
Cabarrus,,32,0.4375,0.9491,0.9339,0.9649,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,M
Caldwell,,16,0.3125,0.967,0.9504,0.982,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,H
