school,enrollment,coverage_pct,tier,estimated_K_pct,estimated_1st_pct,estimated_2nd_pct,estimated_3rd_pct,estimated_4th_pct,estimated_5th_pct,reported_K_pct,reported_1st_pct,reported_2nd_pct,reported_3rd_pct,reported_4th_pct,reported_5th_pct
Alamance Christian School,180,83.5,Low,88.0,87.0,80.0,80.0,76.0,90.0,,87.0,80.0,80.0,76.0,90.0
Alamance Community School,692,97.9,High,96.0,96.0,99.0,96.0,98.0,100.0,,96.0,99.0,96.0,98.0,100.0
Alexander Wilson Elementary,542,97.4,High,96.0,96.0,96.0,96.0,98.0,100.0,,96.0,96.0,96.0,98.0,100.0
Altamahaw Ossipee Elem,569,96.7,High,93.0,99.0,98.0,92.0,98.0,97.0,,99.0,98.0,92.0,98.0,97.0
B Everett Jordan Elem,303,97.3,High,94.0,100.0,97.0,96.0,94.0,100.0,,100.0,97.0,96.0,94.0,100.0
Bible Wesleyan Chr. Sch.,10,68.9,Low,,100.0,0.0,100.0,,100.0,,100.0,0.0,100.0,,100.0
Blessed Sacrament Catholic Sch.,147,99.0,High,97.0,100.0,97.0,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0
Bradford Academy,179,89.2,Low,92.0,83.0,89.0,75.0,100.0,93.0,,83.0,89.0,75.0,100.0,93.0
Burlington Christian Academy,434,95.1,High,94.0,92.0,96.0,93.0,95.0,100.0,,92.0,96.0,93.0,95.0,100.0
Clover Garden,396,97.8,High,96.0,97.0,98.0,98.0,96.0,100.0,,97.0,98.0,98.0,,100.0
E M Yoder Elementary,327,97.8,High,96.0,98.0,93.0,100.0,100.0,98.0,,98.0,93.0,100.0,100.0,98.0
Eastlawn Elementary,513,99.4,High,98.0,100.0,100.0,100.0,100.0,97.0,,100.0,100.0,100.0,100.0,97.0
Edwin M Holt Elementary,438,97.4,High,95.0,98.0,91.0,100.0,100.0,98.0,,98.0,91.0,100.0,100.0,98.0
Elon Elementary,669,98.3,High,97.0,99.0,98.0,99.0,97.0,98.0,,99.0,98.0,99.0,97.0,98.0
Excel Christian Academy Day School,4,98.0,High,,100.0,,,,,,100.0,,,,
Garrett Elementary,605,97.7,High,96.0,97.0,97.0,97.0,97.0,100.0,,97.0,97.0,97.0,97.0,100.0
Grace Christian Academy,168,87.7,Low,94.0,62.0,84.0,97.0,92.0,100.0,,62.0,84.0,97.0,92.0,100.0
Grove Park Elementary,411,94.4,Medium,94.0,96.0,94.0,95.0,91.0,94.0,,96.0,94.0,95.0,91.0,94.0
Harvey R Newlin Elementary,492,95.9,High,95.0,98.0,94.0,95.0,97.0,94.0,,98.0,94.0,,97.0,94.0
Haw River Elementary,440,95.7,High,95.0,96.0,90.0,96.0,97.0,98.0,,96.0,90.0,96.0,97.0,98.0
Highland Elementary,597,95.9,High,90.0,97.0,96.0,96.0,97.0,98.0,,97.0,96.0,96.0,97.0,98.0
Hillcrest Elementary,483,95.2,High,93.0,91.0,96.0,96.0,97.0,96.0,,91.0,96.0,96.0,97.0,96.0
Marvin B Smith Elementary,543,96.8,High,96.0,98.0,96.0,98.0,94.0,97.0,,98.0,96.0,98.0,94.0,97.0
North Graham Elementary,302,98.2,High,95.0,100.0,100.0,98.0,96.0,100.0,,100.0,100.0,98.0,96.0,100.0
Pleasant Grove Elementary,284,96.6,High,96.0,100.0,94.0,91.0,98.0,100.0,,100.0,94.0,91.0,98.0,100.0
R Homer Andrews Elementary,433,98.3,High,96.0,100.0,97.0,98.0,100.0,97.0,,100.0,97.0,98.0,100.0,97.0
River Mill Academy,407,98.3,High,96.0,98.0,98.0,96.0,100.0,100.0,,98.0,98.0,96.0,100.0,100.0
South Graham Elementary,541,96.3,High,95.0,94.0,95.0,92.0,100.0,100.0,,94.0,95.0,92.0,100.0,100.0
South Mebane Elementary,461,98.2,High,96.0,98.0,96.0,98.0,98.0,100.0,,98.0,96.0,98.0,98.0,100.0
Sylvan Elementary,276,96.8,High,96.0,100.0,92.0,95.0,98.0,100.0,,100.0,92.0,95.0,98.0,100.0
The Burlington School,176,96.8,High,95.0,96.0,100.0,95.0,94.0,100.0,,96.0,100.0,,94.0,100.0
The Hawbridge School,161,95.9,High,95.0,100.0,93.0,93.0,96.0,,,100.0,93.0,93.0,96.0,
