school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
200,Academy of Coastal Carolina,17,0.874,,,0.8957,0.8571,0.6667,0.8667,0.9091,1,0.8286,0.8278,0.8318,0.8398,0.8509,0.8631,0.9463,0.9456,0.9469,0.9497,0.9535,0.9577,,L
201,Belville Elementary,157,0.9648,,,0.959,0.9809,0.9316,0.9672,0.958,0.9907,0.946,0.9454,0.9468,0.9497,0.9534,0.9576,0.9705,0.9703,0.971,0.9726,0.9747,0.977,,H
202,Bolivia Elementary,86,0.9531,,,0.9479,0.9186,0.96,0.971,0.9487,0.9844,0.9275,0.9271,0.9291,0.9329,0.9377,0.9433,0.9654,0.9651,0.9659,0.9679,0.9702,0.9729,,H
203,Classical Charter Schools of Leland,129,0.9608,,,0.9604,0.9459,0.9316,0.9496,0.973,1,0.9459,0.9456,0.9469,0.9497,0.9535,0.9577,0.9727,0.9724,0.9732,0.9746,0.9766,0.9788,,H
204,Classical Charter Schools of Southport,99,0.9792,,,0.977,1,0.9868,0.9583,0.9583,1,0.9629,0.9627,0.9637,0.9656,0.9682,0.9711,0.9877,0.9875,0.9879,0.9885,0.9894,0.9904,,H
205,Jessie Mae Monroe Elementary,61,0.9675,,,0.9619,0.95,0.9796,0.9672,0.9673,0.9821,0.9403,0.9398,0.9413,0.9446,0.9487,0.9533,0.9789,0.9787,0.9793,0.9804,0.982,0.9836,,H
208,Lincoln Elementary,125,0.9732,,,0.9629,0.952,0.9919,0.9636,0.9789,0.9914,0.9482,0.948,0.9494,0.9521,0.9556,0.9596,0.9754,0.9752,0.9758,0.9771,0.9788,0.9808,,H
209,Southeastern Christian Academy,40,0.8787,,,0.8912,0.8649,0.95,0.7879,0.8387,0.95,0.8462,0.8452,0.8487,0.8559,0.8657,0.8768,0.9292,0.9286,0.9304,0.9341,0.9389,0.9443,,L
210,Southport Christian School,24,0.6182,,,0.6293,0.3,0.75,0.647,0.6652,0.5,0.5135,0.5111,0.518,0.5326,0.5532,0.5776,0.7385,0.7371,0.742,0.7527,0.7674,0.7847,,L
211,Southport Elementary,73,0.9453,,,0.9477,0.873,0.9452,0.9688,0.9388,1,0.9253,0.9248,0.9268,0.9307,0.9357,0.9414,0.9656,0.9652,0.9661,0.9681,0.9704,0.9732,,M
212,Supply Elementary,98,0.9781,,,0.9748,0.9694,0.9886,0.9592,1,0.9839,0.9596,0.9593,0.9604,0.9625,0.9653,0.9685,0.9861,0.9859,0.9862,0.987,0.988,0.9891,,H
213,Town Creek Elementary,135,0.9572,,,0.9575,0.9655,0.944,0.9322,0.963,0.9889,0.9419,0.9415,0.9429,0.9459,0.9499,0.9545,0.9703,0.9701,0.971,0.9726,0.9747,0.977,,H
214,Union Elementary,114,0.8915,,,0.9097,0.9825,0.9684,0.9732,0.9219,0.5435,0.8867,0.8859,0.8888,0.8942,0.9018,0.9102,0.9309,0.9303,0.932,0.9355,0.9402,0.9456,,L
215,Virginia Williamson Elem,96,0.9641,,,0.9607,0.956,0.9583,0.9531,0.9615,1,0.9431,0.9426,0.9442,0.9472,0.9512,0.9556,0.9756,0.9754,0.9759,0.9772,0.979,0.981,,H
216,Waccamaw,51,0.9572,,,0.9565,0.9744,0.9804,0.9706,0.8667,1,0.9312,0.9304,0.9324,0.9359,0.9405,0.9458,0.9765,0.9763,0.9769,0.9782,0.9799,0.9817,,H
217,West Christian Academy,5,0.9765,,,0.9258,1,1,1,0.9357,0.9412,0.7932,0.7917,0.7959,0.8048,0.8173,0.8315,0.9878,0.9877,0.9881,0.9887,0.9896,0.9906,,H
