school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
219,Asheville-Pisgah Christian Sch.,19,0.4271,,,0.464,0.4375,0.5263,0.3125,0.25,0.5,0.3739,0.3718,0.3785,0.3929,0.4128,0.4372,0.5542,0.5525,0.5598,0.5747,0.5945,0.6183,,L
220,ArtSpace Charter School,36,0.7847,,,0.76,0.6667,0.8824,0.8889,0.8571,0.6571,0.7034,0.701,0.707,0.7189,0.7351,0.7536,0.8124,0.811,0.8158,0.8246,0.8362,0.8493,,L
222,Asheville Christian Academy,54,0.826,,,0.8315,0.6047,0.8537,0.8889,0.8261,0.9697,0.7874,0.786,0.7907,0.8001,0.8127,0.8272,0.8725,0.8715,0.8745,0.8806,0.8889,0.8984,,L
223,Asheville Montessori School,14,0.8297,,,0.8132,0.8333,0.8182,0.8244,0.8357,0.8486,0.6782,0.6766,0.6827,0.6949,0.7119,0.7316,0.9166,0.916,0.9178,0.9222,0.9279,0.9341,,L
224,Asheville PEAK Academy,38,0.862,,,0.8616,0.8696,0.7895,0.9615,,,0.7843,0.7828,0.7876,0.7972,,,0.9248,0.9242,0.9263,0.9301,,,,L
226,Asheville Waldorf School,18,0.5204,,,0.5589,0.5,0.5,,,,0.4011,0.3985,0.4058,,,,0.7106,0.7089,0.7141,,,,,L
227,Avery's Creek Elementary,124,0.9611,,,0.9599,0.9712,0.9495,0.9604,0.9656,0.9597,0.943,0.9424,0.9437,0.9466,0.9506,0.9551,0.9737,0.9734,0.9741,0.9756,0.9774,0.9795,,H
229,Barnardsville Elementary,29,0.9444,,,0.9255,0.9583,0.9524,0.9412,0.88,1,0.8842,0.8832,0.8857,0.8914,0.8991,0.9078,0.9591,0.9587,0.9598,0.962,0.9649,0.9681,,M
230,Bell Elementary,39,0.9481,,,0.9407,0.9474,0.9744,0.9062,0.9211,1,0.9101,0.9096,0.912,0.9166,0.9227,0.9294,0.9655,0.9653,0.9662,0.9681,0.9705,0.9732,,M
231,Black Mountain Montesorri,9,0.9123,,,0.8773,1,1,0.875,0.8333,0.8889,0.774,0.7712,0.776,0.7862,0.8,0.8154,0.949,0.9487,0.95,0.9527,0.9563,0.9603,,M
