school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
302,A T Allen Elementary,118,0.9563,,,0.9541,0.9369,0.9333,0.9746,0.9789,0.9583,0.9383,0.938,0.9397,0.9428,0.9471,0.9518,0.9678,0.9675,0.9684,0.9702,0.9724,0.975,,H
303,A.C.E. Academy,51,0.9621,,,0.9253,0.9388,1,0.9783,0.9355,1,0.8938,0.8929,0.8956,0.901,0.9081,0.9161,0.951,0.9504,0.9518,0.9544,0.958,0.9617,,H
304,Bethel Elementary,104,0.9481,,,0.952,0.9896,0.957,0.9327,0.871,1,0.9349,0.9345,0.9363,0.9395,0.944,0.949,0.9664,0.9662,0.9671,0.969,0.9714,0.974,,M
306,C3 Concord Christian School,12,0.9596,,,0.9579,1,0.9586,1,0.8,1,0.8939,0.8932,0.8956,0.9004,0.9073,0.9152,0.9905,0.9904,0.9906,0.9912,0.9919,0.9926,,H
309,Cannon School,53,0.9756,,,0.9746,0.9608,0.96,0.9811,0.9792,1,0.9571,0.9567,0.9579,0.9602,0.9632,0.9666,0.9881,0.988,0.9883,0.9889,0.9898,0.9908,,H
310,Carl A Furr Elementary,131,0.9643,,,0.9478,0.9714,0.9839,0.9313,0.9688,0.9835,0.932,0.9315,0.9332,0.9367,0.9413,0.9466,0.962,0.9617,0.9627,0.9647,0.9674,0.9703,,H
312,Concord Academy,69,0.8678,,,0.8564,0.7681,0.806,0.9,0.9074,1,0.8216,0.8207,0.8247,0.8329,0.844,0.8566,0.8889,0.8881,0.8908,0.8962,0.9036,0.9119,,L
313,Charles E Boger Elementary,152,0.9608,,,0.9624,0.9733,0.9671,0.931,0.944,1,0.949,0.9487,0.9501,0.9527,0.9562,0.9602,0.9736,0.9734,0.9742,0.9756,0.9775,0.9795,,H
315,Coltrane-Webb Elementary,60,0.9447,,,0.9541,0.9,0.8542,0.9833,0.9655,1,0.9325,0.932,0.9338,0.9373,0.9417,0.947,0.9714,0.9711,0.9719,0.9735,0.9756,0.9778,,M
316,Concord Lake STEAM Academy,156,0.8396,,,0.8467,0.9167,0.4505,0.9252,0.9316,1,0.8184,0.8175,0.8217,0.83,0.8412,0.8541,0.8728,0.8718,0.8751,0.8815,0.8897,0.8992,,L
317,Cox Mill Elementary,194,0.9751,,,0.9735,0.98,0.9794,0.9667,1,0.93,0.9633,0.963,0.964,0.9659,0.9685,0.9714,0.9821,0.982,0.9825,0.9835,0.9848,0.9862,,H
320,Forest Park Elementary,81,0.922,,,0.9288,0.8816,0.9136,0.8356,0.9855,1,0.9052,0.9045,0.9072,0.9122,0.9184,0.9255,0.9493,0.9489,0.9502,0.9529,0.9564,0.9603,,M
322,Fred L Wilson Elementary,83,0.9799,,,0.9732,1,0.9595,0.9861,0.9639,1,0.9586,0.9583,0.9594,0.9616,0.9645,0.9677,0.9851,0.985,0.9854,0.9862,0.9873,0.9884,,H
323,GW Carver Elementary,97,0.9598,,,0.9621,0.9737,0.9737,0.9054,0.9474,0.9897,0.9447,0.9441,0.9454,0.9483,0.9522,0.9565,0.976,0.9758,0.9766,0.9778,0.9795,0.9814,,H
325,Hope Academy,21,0.7115,,,0.7344,0.55,0.6842,0.7143,0.8889,0.7143,0.6607,0.6588,0.6653,0.6782,0.6955,0.7161,0.8032,0.8014,0.8053,0.8143,0.8262,0.8399,,L
326,Harrisburg Elementary,126,0.9716,,,0.9743,0.957,0.9603,0.9661,0.9906,0.987,0.962,0.9617,0.9626,0.9646,0.9673,0.9702,0.9841,0.9839,0.9844,0.9852,0.9864,0.9876,,H
327,Hickory Ridge Elementary,171,0.9704,,,0.9674,0.9478,0.9532,0.9868,0.9873,0.975,0.953,0.9526,0.9539,0.9564,0.9597,0.9633,0.979,0.9788,0.9794,0.9806,0.982,0.9837,,H
