school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
363,Atlantic Elementary,16,0.9665,,,0.9658,0.9375,1,0.9231,1,1,0.9302,0.9297,0.9315,0.935,0.9398,0.9452,0.9885,0.9884,0.9887,0.9893,0.9902,0.9911,,H
364,Beaufort Elementary,60,0.9883,,,0.9877,1,0.9828,0.9833,1,0.9821,0.9758,0.9757,0.9764,0.9777,0.9795,0.9814,0.9954,0.9954,0.9955,0.9957,0.9961,0.9965,,H
365,Bogue Sound Elementary,70,0.9939,,,0.9886,0.9778,1,1,0.9903,1,0.9767,0.9765,0.9771,0.9784,0.9801,0.9819,0.9961,0.9961,0.9962,0.9964,0.9967,0.997,,H
367,Chosen Generation Christ. Acad,5,0.8732,,,0.921,0.8,1,,,,0.7695,0.7681,0.7737,,,,0.9871,0.9869,0.9872,,,,,L
369,Down East Middle and Smyrna Elementary,15,0.9979,,,0.9861,1,1,1,1,1,0.9627,0.9627,0.9636,0.9656,0.9683,0.9712,0.9968,0.9968,0.9969,0.9971,0.9973,0.9975,,H
372,Gramercy Christian School,29,0.9183,,,0.9227,0.931,0.9545,0.84,0.9259,0.9391,0.8735,0.8726,0.8755,0.8809,0.8893,0.8987,0.9608,0.9603,0.9614,0.9635,0.9662,0.9693,,M
373,Harkers Island Elementary,21,0.9752,,,0.9748,0.9286,1,0.9524,1,1,0.9448,0.9442,0.9457,0.9488,0.9527,0.957,0.9925,0.9924,0.9926,0.993,0.9935,0.9941,,H
374,Heritage Christian Academy,4,0.9906,,,0.9626,1,1,1,1,,0.8836,0.8826,0.8856,0.8913,0.8991,,0.9945,0.9944,0.9946,0.9949,0.9953,,,H
375,Morehead City Primary,133,0.968,,,0.9712,0.9739,0.9565,0.9173,0.9924,1,0.9594,0.959,0.96,0.9622,0.965,0.9682,0.9812,0.9811,0.9816,0.9826,0.984,0.9855,,H
376,Nature School @ Camp Albemarle,21,0.9124,,,0.9187,0.7619,0.9412,1,1,,0.8514,0.8497,0.8534,0.8606,0.87,,0.9653,0.9651,0.966,0.9677,0.9702,,,M
378,Newport Christian Academy,5,0.98,,,0.9669,1,0.9675,0.9692,0.9715,1,0.8981,0.8976,0.9005,0.9057,0.9126,0.92,0.9951,0.9951,0.9953,0.9955,0.9959,0.9963,,H
379,Newport Elementary,119,0.986,,,0.9876,0.981,0.9878,0.9875,0.9806,0.9916,0.9786,0.9784,0.979,0.9802,0.9818,0.9835,0.9937,0.9937,0.9938,0.9942,0.9946,0.9951,,H
380,St. Egbert Catholic School,19,0.9269,,,0.942,1,0.7368,1,0.9412,1,0.8965,0.8961,0.8987,0.904,0.9109,0.9187,0.9736,0.9735,0.9742,0.9757,0.9775,0.9796,,M
381,Tiller School,38,0.9099,,,0.93,0.7895,0.9412,0.9714,0.9118,0.9286,0.8958,0.8951,0.8975,0.9027,0.9095,0.9174,0.958,0.9577,0.9588,0.961,0.964,0.9673,,M
382,White Oak Elementary,122,0.9693,,,0.9584,0.9667,0.9587,0.9836,0.9744,0.9709,0.9436,0.9431,0.9447,0.9476,0.9515,0.9558,0.9712,0.971,0.9718,0.9734,0.9754,0.9776,,H
