school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
387,Balls Creek Elementary,105,0.9574,,,0.9648,0.9619,0.8625,0.9673,0.978,1,0.9475,0.947,0.9485,0.9512,0.9549,0.959,0.9782,0.9781,0.9788,0.9799,0.9815,0.9832,,H
388,Banoak Elementary,47,0.9797,,,0.9827,0.9545,0.9655,0.973,1,1,0.9664,0.9661,0.9669,0.9687,0.9712,0.9738,0.9931,0.993,0.9932,0.9936,0.9941,0.9946,,H
389,Blackburn Elementary,67,0.9834,,,0.9805,1,0.9636,0.9552,1,1,0.9667,0.9664,0.9673,0.969,0.9714,0.974,0.9906,0.9906,0.9909,0.9913,0.992,0.9928,,H
390,Catawba Elementary School,71,0.9499,,,0.949,0.9437,0.9286,1,0.98,0.9123,0.9267,0.9263,0.9281,0.9319,0.9369,0.9426,0.9672,0.9671,0.968,0.9698,0.972,0.9746,,M
392,Charles H Tuttle Elementary,54,0.9463,,,0.9521,0.9149,0.9556,0.9184,0.963,0.9762,0.928,0.9271,0.9291,0.9327,0.9376,0.9432,0.9719,0.9717,0.9725,0.974,0.976,0.9782,,M
393,Christian Family Academy,22,0.7767,,,0.7786,0.6818,0.8571,0.75,0.9091,0.75,0.6877,0.6857,0.6914,0.7031,0.7197,0.7392,0.8631,0.8622,0.8656,0.8722,0.8809,0.8908,,L
394,Claremont Elementary,80,0.969,,,0.9623,0.9571,0.9677,0.9643,0.9565,1,0.9432,0.9429,0.9444,0.9474,0.9513,0.9557,0.9773,0.9771,0.9778,0.979,0.9806,0.9824,,H
395,Clyde Campbell Elementary,66,0.9556,,,0.9621,0.9242,1,0.9242,0.9298,1,0.9419,0.9414,0.9429,0.946,0.9501,0.9546,0.9781,0.9779,0.9784,0.9796,0.9811,0.9829,,H
396,Concordia Christian Day Sch.,25,0.9673,,,0.9664,1,1,0.9583,0.96,0.9167,0.9362,0.9358,0.9374,0.9408,0.9452,0.9502,0.9868,0.9867,0.987,0.9878,0.9887,0.9898,,H
397,Conover Special Education,6,0.9226,,,0.9463,0.6667,1,1,0.9537,1,0.8719,0.8711,0.8744,0.8804,0.8887,0.8982,0.9858,0.9857,0.9861,0.9868,0.9878,0.9889,,M
398,Hickory Christian Academy,44,0.8009,,,0.8235,0.7179,0.6552,0.7727,0.9487,0.8579,0.7714,0.7703,0.7752,0.7853,0.7989,0.8145,0.872,0.8706,0.8738,0.8799,0.8883,0.8976,,L
399,Hickory Day School,17,0.9658,,,0.9603,1,0.8333,1,1,1,0.9149,0.9145,0.9168,0.921,0.9267,0.9333,0.9873,0.9873,0.9877,0.9884,0.9893,0.9903,,H
401,Lyle Creek Elementary,75,0.9835,,,0.9819,0.96,0.9796,1,0.9853,1,0.9674,0.9672,0.9681,0.9698,0.9721,0.9747,0.9919,0.9919,0.9921,0.9925,0.9931,0.9937,,H
402,Maiden Elementary,82,0.9912,,,0.9899,0.9877,0.9756,1,1,1,0.9799,0.9797,0.9803,0.9814,0.9829,0.9844,0.9962,0.9962,0.9963,0.9965,0.9968,0.9971,,H
403,Montessori at Sandy Ford School,13,0.8285,,,0.8516,0.9091,0.8889,0.9,0.7692,0.625,0.7648,0.7637,0.7694,0.7796,0.7932,0.809,0.9213,0.9209,0.9228,0.9267,0.932,0.9379,,L
404,Mountain View Elementary,104,0.967,,,0.9662,0.954,0.9468,0.9722,0.9615,1,0.9503,0.9498,0.9511,0.9537,0.9572,0.961,0.9789,0.9787,0.9793,0.9805,0.982,0.9837,,H
405,North Newton Elementary,68,0.9846,,,0.9738,1,0.9792,0.9508,1,1,0.9578,0.9575,0.9587,0.961,0.964,0.9673,0.9861,0.9861,0.9865,0.9873,0.9883,0.9893,,H
406,Oakwood Elementary,56,0.93,,,0.9429,0.875,1,0.9,0.902,0.9796,0.9179,0.9173,0.9196,0.9237,0.9294,0.9356,0.9639,0.9636,0.9646,0.9664,0.969,0.9718,,M
407,Oxford Elementary,87,0.9618,,,0.9654,0.9118,0.9583,0.9655,0.9718,1,0.9489,0.9485,0.9498,0.9525,0.956,0.9599,0.9788,0.9787,0.9793,0.9804,0.9819,0.9836,,H
408,Saint Stephens Elementary,120,0.9475,,,0.9431,0.9149,0.9469,0.9333,0.9565,0.9899,0.9249,0.9244,0.9263,0.9303,0.9354,0.9411,0.9592,0.959,0.9599,0.9621,0.9649,0.9681,,M
409,Sherrills Ford Elementary,96,0.9124,,,0.9164,0.8438,0.9286,0.9459,0.8816,0.9846,0.8926,0.8919,0.8948,0.9001,0.9073,0.9152,0.9383,0.9377,0.9393,0.9425,0.9468,0.9516,,M
410,Shuford Elementary,65,0.9803,,,0.9804,0.9692,0.9524,1,0.9832,1,0.9659,0.9657,0.9666,0.9685,0.9709,0.9736,0.991,0.991,0.9912,0.9917,0.9923,0.9931,,H
411,Snow Creek Elementary,77,0.9597,,,0.9579,0.9167,0.971,0.987,0.9437,0.9726,0.9394,0.9389,0.9404,0.9436,0.9479,0.9525,0.9727,0.9724,0.9732,0.9747,0.9767,0.9788,,H
412,South Newton Elementary,62,0.9597,,,0.9548,0.9508,0.9808,0.94,1,0.9273,0.9323,0.9318,0.9335,0.9371,0.9418,0.9469,0.9731,0.9729,0.9736,0.9751,0.977,0.9792,,H
413,Southwest Primary,108,0.972,,,0.9696,0.9149,0.967,0.9877,0.9899,1,0.9556,0.9554,0.9565,0.9589,0.962,0.9654,0.9811,0.9809,0.9814,0.9825,0.9838,0.9853,,H
415,St. Stephen's Lutheran School,25,0.9394,,,0.9442,0.9565,0.92,0.9167,0.952,0.9563,0.8921,0.8916,0.8943,0.8992,0.9062,0.9143,0.9796,0.9794,0.98,0.981,0.9825,0.9841,,M
416,Startown Elementary,91,0.9637,,,0.9706,0.9451,0.9855,0.9538,0.9275,1,0.9551,0.9548,0.9559,0.9584,0.9615,0.965,0.9831,0.983,0.9834,0.9844,0.9856,0.9869,,H
417,Tabernacle Christian School,47,0.881,,,0.8891,0.8095,0.9149,0.8571,0.9167,0.9091,0.8476,0.8467,0.8502,0.8575,0.867,0.8779,0.9256,0.925,0.9268,0.9306,0.9357,0.9414,,L
420,Viewmont Elementary,86,0.9632,,,0.9606,0.9221,0.9412,1,0.9767,0.9759,0.9439,0.9436,0.9451,0.9481,0.9519,0.9562,0.9747,0.9745,0.9752,0.9766,0.9784,0.9804,,H
421,W M Jenkins Elementary,47,0.9739,,,0.9739,1,0.9412,0.9444,0.975,1,0.9548,0.9544,0.9555,0.958,0.9612,0.9648,0.9879,0.9878,0.9882,0.9888,0.9896,0.9906,,H
423,Webb A Murray Elementary,58,0.9621,,,0.966,0.9773,0.96,0.96,0.9483,0.9649,0.9462,0.9458,0.9472,0.95,0.9537,0.9579,0.9815,0.9814,0.9819,0.9829,0.9842,0.9857,,H
