school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
424,Bennett School,33,0.9364,,,0.9396,1,0.8636,0.9231,0.9091,1,0.897,0.8964,0.8991,0.9043,0.9112,0.9189,0.9711,0.9708,0.9716,0.9731,0.9752,0.9774,1,0,0,0,0,0,,M
425,Bonlee School,41,0.9651,,,0.9683,0.9565,0.9189,0.9333,1,1,0.9446,0.9443,0.9459,0.9487,0.9527,0.957,0.9852,0.985,0.9853,0.9862,0.9873,0.9884,1,0,0,0,0,0,,H
426,Chatham Charter,41,0.9752,,,0.9785,0.9512,0.95,1,0.9737,1,0.9602,0.96,0.9612,0.9633,0.966,0.9691,0.9911,0.991,0.9913,0.9918,0.9925,0.9932,1,0,0,0,0,0,,H
428,Chatham Grove Elementary,115,0.9756,,,0.9729,1,0.9519,0.9608,0.9826,0.9896,0.9565,0.9561,0.9573,0.9596,0.9626,0.966,0.9852,0.9851,0.9856,0.9864,0.9874,0.9886,1,0,0,0,0,0,,H
429,North Chatham Elementary,99,0.9784,,,0.9744,0.975,0.9773,0.9798,0.9787,0.9857,0.9602,0.9598,0.9608,0.9629,0.9658,0.9689,0.9856,0.9855,0.9858,0.9866,0.9876,0.9888,1,0,0,0,0,0,,H
430,Haw River Christian Academy,20,0.9168,,,0.9065,0.9444,0.9081,0.9,0.919,0.926,0.8251,0.8241,0.8286,0.8366,0.8475,0.8601,0.9622,0.962,0.9629,0.965,0.9676,0.9706,1,0,1,0,1,1,,M
431,Holy Youth Christian Academy,11,0.9939,,,0.9788,1,1,1,1,0.9835,0.9376,0.9369,0.9385,0.9419,0.9463,0.9511,0.9966,0.9966,0.9967,0.9969,0.9971,0.9974,1,0,0,0,0,1,,H
432,J S Waters School,30,0.9718,,,0.9636,0.85,1,1,1,1,0.9331,0.9328,0.9346,0.938,0.9426,0.9476,0.9852,0.985,0.9854,0.9862,0.9872,0.9884,1,0,0,0,0,0,,H
434,Moncure School,20,0.9872,,,0.9795,1,0.9412,1,1,1,0.9554,0.9549,0.9561,0.9586,0.9617,0.9652,0.9937,0.9936,0.9938,0.9941,0.9946,0.9951,1,0,0,0,0,0,,H
435,Perry W Harrison Elementary,42,0.9752,,,0.9646,0.9286,1,1,0.9706,1,0.9465,0.9462,0.9477,0.9504,0.9541,0.9583,0.9795,0.9794,0.98,0.9811,0.9825,0.9842,1,0,0,0,0,0,,H
436,Pittsboro Elementary,100,0.9742,,,0.9749,0.9875,0.94,0.9684,1,0.9783,0.9619,0.9615,0.9626,0.9647,0.9674,0.9704,0.9852,0.9851,0.9855,0.9863,0.9873,0.9885,1,0,0,0,0,0,,H
437,Primrose School of Chapel Hill at Briar Chapel,22,0.9943,,,0.9815,1,0.9819,1,1,1,0.9479,0.9476,0.949,0.9517,0.9552,0.9592,0.9967,0.9967,0.9968,0.997,0.9972,0.9975,1,0,1,0,0,0,,H
438,Siler City Elementary,96,0.9553,,,0.9468,0.967,0.9158,0.9674,0.956,0.9792,0.9286,0.9281,0.9298,0.9334,0.9383,0.9437,0.9618,0.9614,0.9625,0.9646,0.9673,0.9702,1,0,0,0,0,0,,H
439,Silk Hope School,32,0.929,,,0.9448,0.9259,0.9062,0.8966,0.9688,0.931,0.9132,0.9126,0.9143,0.9187,0.9246,0.9313,0.9696,0.9695,0.9703,0.9718,0.974,0.9764,1,0,0,0,0,0,,M
440,Thales Academy Pittsboro,52,0.9204,,,0.922,0.9423,0.9792,0.8913,0.8276,,0.8778,0.8771,0.88,0.8859,0.8938,,0.9564,0.956,0.9572,0.9596,0.9626,,1,0,0,0,0,,,M
441,Virginia Cross Elementary,83,0.9772,,,0.9797,0.9661,0.9697,0.9688,0.988,0.9863,0.9668,0.9666,0.9675,0.9692,0.9715,0.9741,0.9896,0.9895,0.9898,0.9903,0.991,0.9919,1,0,0,0,0,0,,H
442,Willow Oak Montessori,34,0.9196,,,0.9194,0.8824,0.9697,0.8788,0.9355,0.9365,0.8699,0.8689,0.8724,0.8785,0.887,0.8964,0.9574,0.9571,0.9582,0.9605,0.9635,0.9668,1,0,0,0,0,1,,M
443,Woods Charter,33,0.9866,,,0.9816,1,0.9375,1,1,1,0.9627,0.9625,0.9634,0.9654,0.968,0.9709,0.9934,0.9933,0.9935,0.9938,0.9943,0.9948,1,0,0,0,0,0,,H
1599,Highfalls Elementary,33,0.9729,,,0.9755,0.95,0.9355,0.9697,1,1,0.9531,0.9528,0.9541,0.9567,0.9599,0.9635,0.9906,0.9905,0.9907,0.9912,0.9919,0.9926,1,0,0,0,0,0,,H
