school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
462,Boiling Springs Elementary,90,0.9675,,,0.969,0.9467,0.954,0.9556,0.9886,0.9885,0.9545,0.954,0.9551,0.9575,0.9608,0.9643,0.9808,0.9806,0.9811,0.9822,0.9836,0.9851,1,0,0,0,0,0,,H
463,Casar Elementary,47,0.9798,,,0.9809,1,1,0.9362,1,0.9756,0.9633,0.9629,0.9639,0.9659,0.9685,0.9714,0.9927,0.9927,0.9929,0.9933,0.9938,0.9944,1,0,0,0,0,0,,H
464,Champion Christian Academy,12,0.9938,,,0.9862,1,1,0.9872,1,,0.9527,0.9522,0.9532,0.9557,0.9589,,0.9983,0.9983,0.9983,0.9984,0.9985,,1,0,0,1,0,,,H
466,Cleveland Innovation,7,0.9965,,,0.972,1,1,1,,,0.9103,0.9096,0.9117,0.9166,,,0.9963,0.9962,0.9963,0.9965,,,1,0,0,0,,,,H
467,East Elementary,42,0.9792,,,0.9751,0.9444,0.973,1,0.9787,1,0.9528,0.9525,0.9537,0.9561,0.9594,0.963,0.9901,0.99,0.9902,0.9908,0.9915,0.9923,1,0,0,0,1,0,,H
468,Elizabeth Elementary,101,0.9192,,,0.921,0.9208,0.9318,0.9012,,,0.8863,0.8858,0.8881,0.8939,,,0.9498,0.9496,0.9511,0.9538,,,1,0,0,0,,,,M
469,Fallston Elementary,86,0.9756,,,0.9737,0.9419,0.988,1,0.9775,0.9796,0.9567,0.9563,0.9575,0.9598,0.9629,0.9662,0.9863,0.9862,0.9866,0.9873,0.9883,0.9894,1,0,0,0,1,1,,H
470,Gaston Christian - Shelby,25,0.865,,,0.8891,0.84,0.8667,,,,0.7931,0.7913,0.7959,,,,0.9562,0.9558,0.9569,,,,1,0,0,,,,,L
473,Grover Elementary,68,0.958,,,0.9659,1,0.8814,0.8824,1,1,0.9459,0.9456,0.9471,0.9499,0.9537,0.9579,0.9808,0.9806,0.9811,0.9821,0.9835,0.985,1,0,0,0,0,0,,H
474,James Love Elementary,70,0.932,,,0.9268,0.8714,0.9825,0.8308,1,1,0.8998,0.8994,0.902,0.9071,0.9138,0.9213,0.9493,0.9489,0.9502,0.9529,0.9565,0.9605,1,0,0,0,0,0,,M
475,Jefferson Elementary,79,0.9739,,,0.9681,0.9868,0.9865,0.9367,0.9744,1,0.9506,0.9502,0.9514,0.954,0.9575,0.9614,0.9818,0.9817,0.9822,0.9832,0.9845,0.9859,1,0,0,0,0,0,,H
477,North Elementary,60,0.9677,,,0.955,0.9375,0.9667,0.9535,1,1,0.9304,0.9299,0.9316,0.9352,0.94,0.9452,0.9749,0.9748,0.9754,0.9768,0.9786,0.9806,1,0,0,0,0,0,,H
479,Pinnacle Classical Academy,116,0.9679,,,0.9708,0.9417,0.9626,0.9533,0.975,1,0.9578,0.9575,0.9585,0.9608,0.9638,0.9671,0.9814,0.9813,0.9818,0.9828,0.9841,0.9855,1,0,0,0,1,0,,H
480,Springmore Elementary,108,0.9732,,,0.9716,0.9444,0.9902,0.9688,0.9818,0.9892,0.9569,0.9566,0.9577,0.96,0.9631,0.9664,0.9832,0.9831,0.9835,0.9844,0.9856,0.9869,1,0,0,0,0,0,,H
481,Township Three Elementary,92,0.9851,,,0.9843,1,0.9891,0.9714,0.989,0.9744,0.9728,0.9726,0.9733,0.9748,0.9768,0.9789,0.9927,0.9926,0.9928,0.9932,0.9937,0.9943,1,0,0,0,0,0,,H
483,Union Elementary,63,0.986,,,0.9825,1,1,0.9464,0.9841,1,0.9687,0.9684,0.9691,0.9708,0.9731,0.9756,0.9922,0.9921,0.9923,0.9928,0.9933,0.9939,1,0,0,0,0,0,,H
484,Washington Elementary,65,0.9633,,,0.9572,1,0.9153,0.9811,0.9632,0.9666,0.9336,0.9331,0.9348,0.9382,0.9428,0.9479,0.9765,0.9763,0.9769,0.9782,0.9799,0.9817,1,0,0,0,1,1,,H
485,West Elementary,59,0.9592,,,0.9703,0.9388,0.9322,1,0.9643,0.95,0.9522,0.9518,0.9531,0.9556,0.9589,0.9626,0.9842,0.9841,0.9845,0.9854,0.9865,0.9877,1,0,0,0,0,0,,H
