school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
500,Albert H Bangert Elementary,84,0.9867,,,0.9785,0.971,0.9872,1,1,0.9828,0.9647,0.9644,0.9653,0.9672,0.9697,0.9725,0.9893,0.9892,0.9895,0.9901,0.9909,0.9917,1,0,0,0,0,0,,H
501,Annunciation Catholic School,21,0.8644,,,0.8722,0.8,0.6316,0.8947,0.9524,1,0.8095,0.808,0.8125,0.8212,0.8329,0.8461,0.9244,0.9234,0.9255,0.9295,0.9347,0.9405,1,0,0,0,0,0,,L
502,Arthur W Edwards Elementary,101,0.976,,,0.97,0.9375,0.9802,0.9882,0.989,0.9875,0.9556,0.9552,0.9563,0.9587,0.9618,0.9653,0.982,0.9818,0.9823,0.9833,0.9846,0.9861,1,0,0,0,0,0,,H
503,Ben D Quinn Elementary,81,0.9828,,,0.9807,1,0.9787,0.9692,0.9753,1,0.9666,0.9664,0.9674,0.9691,0.9715,0.9741,0.991,0.9909,0.9911,0.9916,0.9923,0.993,1,0,0,0,0,0,,H
504,Bridgeton Elementary,64,0.9218,,,0.9146,0.9677,0.95,0.75,1,0.9444,0.8859,0.8851,0.8879,0.8938,0.9016,0.9101,0.9396,0.939,0.9405,0.9436,0.9478,0.9524,1,0,0,0,0,0,,M
505,Brinson Memorial Elementary,94,0.9757,,,0.9775,0.9811,0.971,0.9681,0.9683,0.9885,0.9641,0.9639,0.9647,0.9665,0.9691,0.9718,0.9877,0.9876,0.988,0.9887,0.9896,0.9905,1,0,0,0,0,0,,H
506,Calvary Baptist Church School,15,0.9394,,,0.9447,1,1,0.875,0.9333,0.9091,0.8882,0.8874,0.8903,0.8959,0.9032,0.9115,0.9805,0.9804,0.9809,0.982,0.9833,0.9849,1,0,0,0,0,0,,M
507,Creekside Elementary,92,0.9488,,,0.9486,0.9531,0.9286,0.9891,0.9324,0.9298,0.9294,0.9289,0.9308,0.9343,0.9392,0.9447,0.9654,0.965,0.9659,0.9677,0.9701,0.9729,1,0,0,0,0,0,,M
508,Epiphany School of Global Studies,37,0.9553,,,0.9517,0.9655,0.9394,0.9459,0.9167,1,0.92,0.9198,0.9217,0.9258,0.9311,0.9372,0.9757,0.9753,0.9759,0.9772,0.979,0.9809,1,0,0,0,0,0,,H
509,Graham A Barden Elementary,50,0.9722,,,0.9601,1,1,1,0.94,0.9412,0.9347,0.9342,0.936,0.9393,0.9439,0.9489,0.9794,0.9793,0.9799,0.981,0.9824,0.984,1,0,0,0,0,0,,H
510,Havelock Elementary,64,0.9637,,,0.9615,0.9608,0.9322,0.9545,0.9697,1,0.9407,0.9403,0.9417,0.9449,0.9489,0.9535,0.9782,0.978,0.9785,0.9797,0.9813,0.983,1,0,0,0,0,0,,H
511,J T Barber Elementary,46,0.9833,,,0.9805,1,1,0.9565,0.9778,1,0.963,0.9627,0.9638,0.9658,0.9684,0.9713,0.992,0.9919,0.9922,0.9926,0.9932,0.9939,1,0,0,0,0,0,,H
512,James W Smith Elementary,61,0.9802,,,0.9747,0.9608,0.9804,0.9608,1,1,0.9575,0.957,0.9581,0.9604,0.9634,0.9667,0.9875,0.9874,0.9877,0.9884,0.9893,0.9903,1,0,0,0,0,0,,H
513,New Bern Christian Academy,41,0.9186,,,0.915,0.8537,0.9444,0.9487,0.9266,0.9333,0.8719,0.8713,0.8746,0.8809,0.8892,0.8986,0.9492,0.949,0.9504,0.9532,0.9567,0.9606,1,0,0,0,1,0,,M
514,Oaks Road Academy,68,0.9465,,,0.9533,0.9778,1,0.9118,0.8605,0.9792,0.9321,0.9316,0.9334,0.9369,0.9415,0.9467,0.9708,0.9705,0.9714,0.9729,0.975,0.9772,1,0,0,0,0,0,,M
