school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
527,Alderman Road Elementary,112,0.9655,,,0.9588,0.973,0.9554,0.954,0.9688,0.9873,0.9429,0.9425,0.9439,0.947,0.9509,0.9554,0.9723,0.9721,0.9728,0.9743,0.9762,0.9784,1,0,0,0,0,0,,H
528,Alma O Easom Elementary,179,0.8898,,,0.8919,0.9553,0.8217,0.8939,0.9365,0.7849,0.8732,0.8721,0.8751,0.8815,0.8897,0.8992,0.9096,0.9088,0.911,0.9156,0.9218,0.9286,1,0,0,0,0,0,,L
529,Alpha Academy,111,0.9693,,,0.9695,0.9487,0.9792,0.9459,0.9738,1,0.9504,0.9501,0.9514,0.9539,0.9573,0.9612,0.9836,0.9835,0.9839,0.9848,0.9859,0.9873,1,0,0,0,1,0,,H
530,Armstrong Elementary,80,0.9729,,,0.9735,1,0.9545,0.95,0.9861,0.9792,0.9575,0.9572,0.9583,0.9605,0.9636,0.9669,0.986,0.9859,0.9863,0.9871,0.9881,0.9892,1,0,0,0,0,0,,H
531,Bal-Perazim Christian Academy,10,0.9938,,,0.976,1,1,1,1,0.9813,0.9372,0.9366,0.938,0.9412,0.9455,0.9504,0.9951,0.9951,0.9952,0.9955,0.9958,0.9962,1,0,0,0,0,1,,H
532,Beaver Dam Elementary,16,0.9493,,,0.9559,0.9231,0.8462,1,0.9621,1,0.9118,0.9114,0.9135,0.918,0.9238,0.9305,0.9839,0.9838,0.9843,0.9852,0.9863,0.9876,1,0,0,0,1,0,,M
533,Benjamin J Martin Elementary,93,0.8981,,,0.9034,0.8602,0.9125,0.954,0.9341,0.8256,0.8783,0.8773,0.8803,0.8863,0.8942,0.9032,0.9259,0.925,0.9269,0.9307,0.9359,0.9416,1,0,0,0,0,0,,L
535,Bill Hefner Elementary,132,0.906,,,0.8964,0.907,0.8409,0.9619,0.9123,0.9419,0.8741,0.8731,0.8762,0.8825,0.8907,0.8999,0.9165,0.9158,0.9177,0.9219,0.9276,0.934,1,0,0,0,0,0,,M
536,Brentwood Elementary,96,0.9015,,,0.8674,0.9647,0.9186,0.791,0.8958,0.9577,0.8376,0.8362,0.8399,0.8473,0.8577,0.8694,0.8947,0.8939,0.8962,0.9014,0.9085,0.9164,1,0,0,0,0,0,,M
538,C Wayne Collier Elementary,85,0.9351,,,0.937,0.9733,0.9381,0.8353,0.9867,0.9518,0.9113,0.9106,0.913,0.9176,0.9236,0.9302,0.959,0.9587,0.9598,0.962,0.9649,0.9681,1,0,1,0,0,0,,M
540,Cliffdale Elementary,119,0.9452,,,0.9458,1,0.981,0.9802,0.916,0.8511,0.9288,0.9284,0.9303,0.9339,0.9388,0.9443,0.9606,0.9603,0.9614,0.9635,0.9663,0.9694,1,0,0,0,0,0,,M
541,College Lakes Elementary,82,0.841,,,0.8902,0.9634,0.5854,0.6933,0.9863,0.9538,0.8645,0.8637,0.8669,0.8734,0.8822,0.892,0.9136,0.9131,0.9154,0.9198,0.9257,0.9323,1,0,0,0,0,0,,L
542,Cornerstone Christian Academy,22,0.9526,,,0.9413,0.8667,1,1,0.9545,0.9286,0.8941,0.8934,0.8959,0.9013,0.9085,0.9163,0.9748,0.9745,0.9751,0.9764,0.9782,0.9802,1,0,0,0,0,0,,H
543,Cumberland Academy K-5 Virtual School,170,0.8107,,,0.7882,0.8824,0.8667,0.451,0.8357,0.8882,0.7459,0.7442,0.7495,0.7601,0.7747,0.7916,0.8282,0.8265,0.8304,0.8381,0.8489,0.8611,1,0,0,0,0,0,,L
