school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
633,ABC of NC Child Develop. Ctr,12,0.9616,,,0.96,1,0.8,1,1,0.9687,0.8932,0.8923,0.895,0.9003,0.9073,0.9154,0.9911,0.9911,0.9913,0.9918,0.9924,0.9931,1,0,0,0,0,1,,H
635,Brier Creek Elementary,41,0.9746,,,0.972,1,1,0.9118,0.9756,1,0.9499,0.9496,0.9511,0.9535,0.9571,0.9609,0.9879,0.9878,0.9881,0.9887,0.9896,0.9906,1,0,0,0,0,0,,H
636,Carolina Christian Academy,21,0.8024,,,0.8328,0.7143,0.8182,0.8431,0.8535,0.8652,0.716,0.7143,0.7202,0.7323,0.7485,0.7668,0.9246,0.9239,0.9258,0.9295,0.9346,0.9404,1,0,0,1,1,1,,L
637,Churchland Elementary,68,0.9615,,,0.9583,0.9375,1,0.9688,0.9265,0.9846,0.9385,0.9381,0.9398,0.943,0.9473,0.952,0.9743,0.974,0.9748,0.9761,0.9781,0.9801,1,0,0,0,0,0,,H
638,Davidson Charter Academy,89,0.9714,,,0.9596,0.9762,0.977,0.9663,0.9524,1,0.9409,0.9405,0.9421,0.9451,0.9492,0.9537,0.9749,0.9746,0.9754,0.9768,0.9786,0.9805,1,0,0,0,0,0,,H
639,Davis-Townsend Elementary,78,0.9865,,,0.9813,0.9744,0.9661,1,1,1,0.9683,0.9681,0.9689,0.9706,0.9729,0.9754,0.9909,0.9908,0.991,0.9915,0.9921,0.9929,1,0,0,0,0,0,,H
640,Denton Elementary,70,0.9701,,,0.9714,0.96,0.9677,0.9677,0.9571,1,0.9526,0.9522,0.9536,0.9561,0.9595,0.9631,0.9853,0.9851,0.9856,0.9864,0.9874,0.9886,1,0,0,0,0,0,,H
641,Fair Grove Elementary,91,0.9918,,,0.987,0.978,0.9868,1,1,1,0.9762,0.9761,0.9768,0.9781,0.9797,0.9816,0.9945,0.9945,0.9946,0.9949,0.9953,0.9957,1,0,0,0,0,0,,H
642,Friedberg Elementary,81,0.9697,,,0.9363,0.9714,1,0.9841,0.9688,0.9501,0.914,0.9135,0.9157,0.9202,0.926,0.9325,0.9558,0.9555,0.9567,0.9591,0.9621,0.9656,1,0,0,0,0,1,,H
643,Friendship Elementary,87,0.9687,,,0.9698,0.9583,0.9722,0.9508,0.977,0.9825,0.9545,0.9541,0.9553,0.9577,0.9609,0.9645,0.9827,0.9826,0.983,0.984,0.9853,0.9867,1,0,0,0,0,0,,H
645,Hasty Elementary,72,0.9864,,,0.9799,1,0.9839,0.9855,0.9697,1,0.9654,0.9653,0.9662,0.9681,0.9706,0.9732,0.9905,0.9904,0.9907,0.9912,0.9919,0.9927,1,0,0,0,0,0,,H
646,Midway Elementary,98,0.9846,,,0.9822,0.9789,0.9694,0.9875,1,1,0.9712,0.9708,0.9716,0.9731,0.9752,0.9775,0.9905,0.9904,0.9907,0.9912,0.9919,0.9927,1,0,0,0,0,0,,H
648,Northwest Elementary,110,0.9782,,,0.9776,0.9541,0.9604,0.9818,1,1,0.9653,0.9651,0.966,0.9679,0.9704,0.9731,0.9872,0.987,0.9874,0.988,0.989,0.99,1,0,0,0,0,0,,H
650,Pilot Elementary,67,0.9927,,,0.9895,1,0.9796,1,0.9841,1,0.9784,0.9783,0.9788,0.98,0.9816,0.9833,0.9965,0.9965,0.9966,0.9967,0.997,0.9973,1,0,0,0,0,0,,H
651,Reeds Elementary,52,0.9468,,,0.9617,0.9773,1,0.9762,0.7222,1,0.9399,0.9394,0.9412,0.9443,0.9484,0.9531,0.9788,0.9786,0.9792,0.9804,0.9819,0.9836,1,0,0,0,0,0,,M
652,Sheets Memorial Christian School,32,0.9552,,,0.9537,0.9643,0.9375,1,0.9333,0.9444,0.9172,0.9165,0.9187,0.923,0.9286,0.9348,0.9798,0.9797,0.9803,0.9814,0.9828,0.9844,1,0,0,0,0,0,,H
653,Silver Valley Elementary,51,0.9883,,,0.9807,0.9667,1,1,1,0.9677,0.9613,0.9609,0.9619,0.964,0.9668,0.9698,0.9933,0.9932,0.9934,0.9938,0.9943,0.9948,1,0,0,0,0,0,,H
656,South Lexington School,200,0.9114,,,0.8871,1,0.9036,0.8555,0.9021,0.915,0.8675,0.8665,0.8698,0.8764,0.8848,0.8945,0.9058,0.9047,0.9071,0.9116,0.918,0.9252,1,0,0,0,1,0,,M
657,Southmont Elementary,48,0.9862,,,0.9869,0.9792,0.9545,1,1,1,0.974,0.9738,0.9743,0.9757,0.9776,0.9797,0.9952,0.9952,0.9953,0.9956,0.9959,0.9963,1,0,0,0,0,0,,H
658,Southwood Elementary,113,0.9782,,,0.9807,0.9485,0.9592,0.9823,1,1,0.9697,0.9695,0.9704,0.972,0.9741,0.9765,0.9894,0.9893,0.9896,0.9902,0.9909,0.9918,1,0,0,0,0,0,,H
659,Stoner-Thomas School,6,0.9971,,,0.9746,1,1,1,1,1,0.9268,0.9262,0.9281,0.9318,0.9369,0.9425,0.9956,0.9955,0.9956,0.9959,0.9962,0.9965,1,0,0,0,0,0,,H
661,Tyro Elementary,81,0.9808,,,0.9762,0.9808,0.9394,0.9841,1,1,0.9604,0.9601,0.9612,0.9633,0.9661,0.9691,0.988,0.9879,0.9882,0.9889,0.9897,0.9907,1,0,0,0,0,0,,H
662,Union Grove Christian School,57,0.8214,,,0.8274,0.8772,0.825,0.8772,0.9091,0.6154,0.7855,0.7844,0.789,0.7985,0.8112,0.8263,0.865,0.8641,0.8675,0.8739,0.8825,0.8925,1,0,0,0,0,0,,L
663,Wallburg Elementary,134,0.9748,,,0.9787,0.9828,0.9333,0.9681,0.9776,0.9916,0.9677,0.9674,0.9682,0.9699,0.9722,0.9748,0.9873,0.9872,0.9876,0.9882,0.9891,0.9901,1,0,0,0,0,0,,H
