school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
685,Bethesda Christian Academy,36,0.9765,,,0.9737,1,0.9474,0.9444,1,1,0.9483,0.948,0.9493,0.9518,0.9555,0.9596,0.9901,0.99,0.9903,0.9909,0.9916,0.9923,,H
686,Bethesda Elementary,138,0.8094,,,0.8499,0.9796,0.8523,0.8172,0.8188,0.6667,0.8202,0.8192,0.8233,0.8317,0.8429,0.8556,0.877,0.8758,0.8789,0.8848,0.8928,0.902,,L
687,Burton Elementary,48,0.9114,,,0.9131,0.8667,0.9318,0.9024,0.9375,0.9149,0.8831,0.8826,0.8854,0.8908,0.8983,0.9069,0.9392,0.9384,0.94,0.9431,0.9474,0.9522,,M
688,C C Spaulding Elementary,49,0.8667,,,0.8931,0.875,0.8367,0.7895,0.9074,0.9153,0.8507,0.8498,0.8535,0.8605,0.8701,0.881,0.9286,0.9279,0.9296,0.9333,0.9381,0.9437,,L
689,Camelot Academy,14,0.9918,,,0.9776,1,1,0.9792,1,1,0.9379,0.9372,0.9388,0.9421,0.9465,0.9514,0.9959,0.9959,0.996,0.9962,0.9965,0.9968,,H
690,Community School of Digital & Visual Art,26,0.9116,,,0.9349,0.875,0.7391,1,0.9439,1,0.8899,0.8887,0.8915,0.8969,0.9041,0.9123,0.9688,0.9686,0.9696,0.9713,0.9734,0.9759,,M
691,Central Park School For Children,66,0.9471,,,0.9551,0.9355,0.9545,1,0.8333,1,0.93,0.9294,0.9313,0.9349,0.9397,0.9452,0.9743,0.974,0.9748,0.9761,0.978,0.98,,M
692,Club Boulevard Elementary,61,0.9441,,,0.945,0.9231,0.9107,1,0.9527,0.9259,0.9207,0.9203,0.9224,0.9264,0.9318,0.9379,0.9651,0.9647,0.9656,0.9675,0.97,0.9728,,M
693,Creekside Elementary,133,0.9127,,,0.9208,0.9375,0.914,0.9091,0.8779,0.9248,0.9018,0.9012,0.9038,0.9087,0.9154,0.9228,0.9375,0.937,0.9386,0.9419,0.9463,0.9511,,M
696,Duke School,52,0.9942,,,0.9852,1,0.9796,1,1,1,0.9708,0.9706,0.9713,0.9729,0.975,0.9773,0.9944,0.9943,0.9945,0.9947,0.9952,0.9956,,H
697,Durham Academy,72,0.9991,,,0.9949,1,1,1,1,1,0.9884,0.9884,0.9887,0.9893,0.9901,0.991,0.9985,0.9985,0.9985,0.9986,0.9987,0.9988,,H
698,Durham Charter School,105,0.9925,,,0.9896,1,0.9878,0.9867,0.9911,1,0.9785,0.9783,0.9788,0.9799,0.9814,0.9832,0.9966,0.9966,0.9967,0.9968,0.9971,0.9973,,H
699,E K Powe Elementary,92,0.9455,,,0.9502,0.8913,0.9259,1,0.9572,0.9839,0.9291,0.9287,0.9306,0.9343,0.9392,0.9445,0.9687,0.9684,0.9693,0.9709,0.9732,0.9757,,M
700,Easley Elementary,93,0.9592,,,0.9634,0.8919,0.9639,0.9737,0.957,1,0.9469,0.9466,0.9479,0.9509,0.9546,0.9586,0.9768,0.9767,0.9773,0.9785,0.9802,0.982,,H
701,Eastway Elementary,60,0.875,,,0.8613,0.9143,0.8636,0.7273,0.8792,1,0.8264,0.8253,0.8293,0.8376,0.8485,0.8609,0.8931,0.8924,0.8951,0.9007,0.908,0.916,,L
702,Empowered Minds Academy,6,0.9689,,,0.9395,1,1,0.9436,0.9477,0.9523,0.8284,0.8272,0.8314,0.84,0.8508,0.8629,0.9892,0.989,0.9893,0.9899,0.9907,0.9915,,H
703,Eno Valley Elementary,123,0.7212,,,0.7572,0.9032,0.9344,0.8689,0.626,0.4079,0.7209,0.7195,0.7252,0.7365,0.752,0.7699,0.7925,0.7913,0.7957,0.8051,0.8176,0.8318,,L
704,Excelsior Classical Academy,94,0.9525,,,0.9636,0.9043,0.9149,0.9677,0.9688,1,0.9476,0.9471,0.9486,0.9515,0.9551,0.9592,0.9771,0.9769,0.9776,0.9789,0.9805,0.9823,,H
