school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
775,Appalachian Academy at Middle Fork,55,0.9788,,,0.9784,0.9636,1,0.9565,0.9815,1,0.9592,0.9587,0.9597,0.9619,0.9648,0.968,0.9915,0.9914,0.9917,0.9921,0.9927,0.9934,,H
776,Ashley Academy,60,0.9442,,,0.9341,0.95,0.8723,0.9821,0.9661,0.9483,0.9048,0.904,0.9065,0.9112,0.9177,0.9249,0.9601,0.9597,0.9607,0.9629,0.9656,0.9687,,M
777,Berean Christian School,4,0.8382,,,0.896,0,1,1,0.75,1,0.7407,0.7401,0.7453,0.7557,0.7702,0.7872,0.9784,0.9782,0.9787,0.9799,0.9814,0.9832,,L
778,Bolton Elementary,64,0.9794,,,0.982,0.9778,0.9672,0.9688,0.9833,1,0.9667,0.9665,0.9674,0.9691,0.9715,0.9741,0.9924,0.9924,0.9926,0.993,0.9936,0.9942,,H
779,Brunson Elementary,61,0.9652,,,0.9652,0.8919,1,0.9344,1,0.9825,0.9446,0.9443,0.9458,0.9487,0.9526,0.9568,0.9807,0.9806,0.9811,0.9821,0.9835,0.985,,H
780,Caleb's Creek Elementary,107,0.9526,,,0.9624,0.9101,0.9579,0.9286,0.9533,1,0.9485,0.9482,0.9496,0.9523,0.9558,0.9598,0.9746,0.9743,0.9749,0.9763,0.9781,0.9801,,H
782,Calvary Day School,60,0.9344,,,0.9422,0.9,0.8947,0.9464,0.9792,0.9547,0.9125,0.9117,0.9138,0.9183,0.9242,0.9308,0.967,0.9666,0.9675,0.9692,0.9716,0.9741,,M
783,Carter G. Woodson School,43,0.6968,,,0.7799,0.9062,0.2667,0.6279,0.9722,0.56,0.7275,0.7264,0.7315,0.7426,0.7576,0.7754,0.8274,0.8261,0.8303,0.8384,0.8488,0.861,,L
784,Cash Elementary,94,0.9745,,,0.9731,0.9639,0.9481,0.9718,0.9894,1,0.9589,0.9585,0.9596,0.9619,0.9647,0.9679,0.9846,0.9844,0.9848,0.9857,0.9868,0.988,,H
785,Cathedral Oak Academy,22,0.6616,,,0.6939,0.7273,0.4667,0.6923,0.7143,,0.5786,0.5767,0.5831,0.5967,0.6163,,0.7982,0.7969,0.8014,0.8105,0.8229,,,L
787,Clemmons Elementary,136,0.985,,,0.9814,1,0.9752,0.9695,0.9852,1,0.9714,0.9711,0.9719,0.9734,0.9755,0.9778,0.9891,0.989,0.9893,0.9899,0.9907,0.9916,,H
789,Petree Elementary,86,0.9344,,,0.9425,0.9697,0.9186,0.9538,0.9067,0.9242,0.9216,0.9212,0.9233,0.9273,0.9326,0.9385,0.9605,0.9603,0.9614,0.9634,0.9661,0.9692,,M
790,Diggs-Latham Elementary,62,0.988,,,0.9789,0.9667,1,1,0.9825,1,0.9642,0.9638,0.9647,0.9665,0.969,0.9719,0.9901,0.99,0.9903,0.9909,0.9916,0.9923,,H
791,Easton Elementary School,81,0.9689,,,0.971,0.9452,0.962,0.9506,0.9877,1,0.9554,0.9551,0.9563,0.9587,0.9618,0.9652,0.9833,0.9832,0.9837,0.9846,0.9858,0.9871,,H
793,Frank Morgan Elementary,125,0.9733,,,0.9735,0.96,0.955,0.9675,0.9909,1,0.9611,0.9607,0.9618,0.9639,0.9666,0.9696,0.9834,0.9833,0.9838,0.9847,0.9859,0.9871,,H
794,Forest Park Elementary,84,0.9322,,,0.934,0.9365,0.9385,0.8961,1,0.8929,0.9118,0.9111,0.9133,0.9178,0.9237,0.9304,0.9534,0.953,0.9542,0.9566,0.9598,0.9634,,M
795,Forsyth Academy,96,0.987,,,0.9869,0.9891,0.9778,0.9891,1,0.9785,0.9773,0.9771,0.9778,0.979,0.9806,0.9824,0.9939,0.9939,0.994,0.9944,0.9948,0.9953,,H
796,Forsyth Country Day School,58,0.9699,,,0.972,0.9375,0.9024,1,1,1,0.951,0.9508,0.9523,0.9547,0.9581,0.9619,0.9875,0.9873,0.9876,0.9883,0.9892,0.9902,,H
797,Gibson Elementary,87,0.9341,,,0.95,0.9167,0.9157,0.9506,1,0.869,0.931,0.9304,0.9322,0.9358,0.9406,0.9459,0.9662,0.966,0.9669,0.9687,0.971,0.9737,,M
798,Gospel Light Christian School,44,0.85,,,0.8797,0.7647,0.7941,0.875,0.8182,1,0.8371,0.8361,0.84,0.8478,0.858,0.8699,0.9172,0.9165,0.9186,0.9229,0.9285,0.9347,,L
799,Griffith Elementary,102,0.9146,,,0.9131,0.7294,0.951,0.9186,1,0.9859,0.8874,0.8866,0.8894,0.8948,0.9024,0.9108,0.9347,0.9341,0.9358,0.9392,0.9436,0.9486,,M
800,Hall-Woodward Elementary,108,0.9348,,,0.945,0.939,0.8778,0.9239,0.9537,0.967,0.9272,0.9268,0.9287,0.9325,0.9374,0.943,0.9604,0.9601,0.9612,0.9632,0.966,0.9692,,M
801,Ibraham Elementary,53,0.9938,,,0.9838,1,1,0.9808,1,1,0.9685,0.9682,0.9691,0.9708,0.973,0.9755,0.9938,0.9937,0.9939,0.9942,0.9947,0.9952,,H
804,Jefferson Elementary,89,0.9761,,,0.9797,0.9737,0.9634,0.9551,0.988,1,0.9668,0.9668,0.9677,0.9694,0.9717,0.9743,0.9894,0.9893,0.9896,0.9902,0.9909,0.9918,,H
805,Kernersville Elementary,106,0.9688,,,0.9762,0.963,0.9318,0.9811,0.9787,0.9783,0.9643,0.9639,0.9648,0.9667,0.9692,0.972,0.9858,0.9858,0.9862,0.987,0.988,0.9891,,H
806,Kimberley Park Elementary,69,0.9175,,,0.9135,0.9275,0.9444,0.913,1,0.8235,0.8826,0.8819,0.8849,0.8906,0.8983,0.907,0.9404,0.9398,0.9414,0.9444,0.9486,0.9532,,M
807,Kimmel Farm Elementary,130,0.9424,,,0.9523,0.7951,0.976,0.9769,0.9752,0.9756,0.938,0.9377,0.9395,0.9426,0.947,0.9517,0.9649,0.9645,0.9655,0.9674,0.9699,0.9726,,M
809,Konnoak Elementary,109,0.9747,,,0.9703,1,0.9737,0.9633,0.9867,0.956,0.9567,0.9563,0.9574,0.9597,0.9628,0.9661,0.9816,0.9814,0.9819,0.9829,0.9842,0.9857,,H
810,Lewisville Elementary,104,0.9811,,,0.9823,0.9712,0.9898,0.978,0.9651,1,0.9718,0.9716,0.9723,0.9739,0.9758,0.9781,0.9904,0.9904,0.9906,0.9911,0.9918,0.9926,,H
811,Meadowlark Elementary,139,0.9763,,,0.976,0.9364,1,0.9777,0.9784,0.9853,0.9631,0.9629,0.9639,0.9658,0.9684,0.9712,0.9861,0.986,0.9864,0.9871,0.9881,0.9892,,H
813,Mineral Springs Elementary,94,0.9199,,,0.9362,0.7528,0.9468,0.913,0.978,1,0.9156,0.9149,0.9174,0.9217,0.9275,0.9338,0.954,0.9535,0.9547,0.9571,0.9604,0.964,,M
815,Montessori School of Winston-Salem,31,0.9254,,,0.8948,0.95,0.9474,0.9231,0.9677,0.8421,0.8423,0.8415,0.8451,0.8524,0.8626,0.874,0.9384,0.9381,0.9396,0.9428,0.9471,0.9519,,M
816,Moore Magnet Elementary,74,0.9852,,,0.9733,0.9649,1,1,1,0.973,0.9594,0.959,0.9599,0.9622,0.965,0.9682,0.9848,0.9847,0.9851,0.9859,0.987,0.9882,,H
817,NC Leadership Charter Academy,89,0.9763,,,0.9788,0.9885,0.9663,0.9432,0.9818,1,0.9647,0.9646,0.9655,0.9673,0.9697,0.9725,0.9891,0.989,0.9893,0.9899,0.9907,0.9916,,H
818,North Hills Elementary,82,0.9618,,,0.9474,0.9571,0.9833,0.939,0.9878,0.9589,0.9246,0.924,0.9258,0.9297,0.9349,0.9407,0.9665,0.9661,0.9669,0.9687,0.9711,0.9738,,H
819,Old Richmond Elementary,69,0.9534,,,0.9551,0.942,0.9138,0.9583,0.9615,1,0.929,0.9283,0.9302,0.9339,0.9388,0.9442,0.9752,0.9751,0.9757,0.977,0.9787,0.9807,,H
820,Old Town Elementary,90,0.9538,,,0.9638,0.8333,0.9647,0.9882,0.9882,0.9889,0.9489,0.9485,0.9498,0.9527,0.9563,0.9602,0.9761,0.976,0.9766,0.9779,0.9796,0.9815,,H
821,Our Lady of Mercy Catholic Sch,25,0.977,,,0.9716,0.96,1,1,0.95,1,0.9422,0.9415,0.9431,0.9461,0.9502,0.9547,0.9906,0.9906,0.9909,0.9913,0.992,0.9928,,H
822,Piney Grove Elementary,112,0.9735,,,0.9703,0.9554,0.9815,0.9798,0.9651,0.9898,0.9562,0.9558,0.957,0.9592,0.9624,0.9658,0.9817,0.9815,0.982,0.983,0.9844,0.9858,,H
823,Quality Education Academy,73,0.7605,,,0.8004,0.9315,0.7719,0.7333,0.831,0.4615,0.765,0.7636,0.7684,0.7783,0.7919,0.808,0.8348,0.8335,0.8372,0.8448,0.8552,0.8669,,L
824,Rise Academy Street School,7,0.9257,,,0.8648,0.8571,1,0.8734,1,1,0.7384,0.7373,0.7428,0.7539,0.7687,0.7858,0.9513,0.9509,0.9521,0.9547,0.9581,0.962,,M
825,Redeemer School,28,0.9435,,,0.9345,0.9286,0.92,0.9391,0.9435,1,0.8866,0.8861,0.8888,0.8946,0.902,0.9104,0.9691,0.9688,0.9697,0.9713,0.9735,0.976,,M
826,Rural Hall Elementary,89,0.989,,,0.9846,0.975,0.9872,0.9851,1,1,0.9738,0.9737,0.9743,0.9757,0.9776,0.9796,0.9924,0.9923,0.9926,0.993,0.9935,0.9941,,H
827,Salem Baptist Christian School,40,0.9429,,,0.9463,0.9524,0.9655,0.925,0.8846,1,0.9101,0.9095,0.912,0.9163,0.9224,0.9293,0.9736,0.9734,0.9741,0.9755,0.9774,0.9795,,M
828,Salem Montessori School,21,0.9496,,,0.9512,0.9524,0.9444,,,,0.8859,0.8847,0.8875,,,,0.9882,0.9881,0.9884,,,,,M
829,Sedge Garden Elementary,127,0.9675,,,0.9715,0.9802,0.9273,0.9606,0.973,0.9919,0.9594,0.9591,0.9602,0.9624,0.9652,0.9685,0.9817,0.9815,0.9819,0.983,0.9843,0.9857,,H
831,Sherwood Forest Elementary,119,0.9781,,,0.9805,0.9748,0.9709,0.9739,0.9732,1,0.9698,0.9697,0.9704,0.9721,0.9742,0.9765,0.9886,0.9885,0.9888,0.9894,0.9902,0.9912,,H
832,Smith Farm Elementary,73,0.9726,,,0.9744,0.9726,0.9322,0.9483,1,1,0.9593,0.959,0.96,0.9622,0.9651,0.9683,0.9863,0.9862,0.9866,0.9873,0.9883,0.9893,,H
833,South Fork Elementary,93,0.8705,,,0.9077,0.987,0.5256,0.7975,1,1,0.8826,0.8819,0.8848,0.8907,0.8986,0.9073,0.9301,0.9296,0.9314,0.935,0.9397,0.945,,L
834,Southwest Elementary,79,0.9693,,,0.9724,0.9873,0.9459,0.9394,0.9697,1,0.9575,0.9572,0.9583,0.9605,0.9635,0.9668,0.9844,0.9842,0.9846,0.9855,0.9866,0.9879,,H
835,Speas Elementary,149,0.9599,,,0.9664,0.9701,0.9244,0.9355,0.9799,0.976,0.954,0.9535,0.9546,0.9571,0.9603,0.964,0.9769,0.9767,0.9773,0.9786,0.9803,0.9821,,H
837,St. John's Lutheran Day Sch.,19,0.9584,,,0.9628,1,0.8571,1,0.9333,1,0.9202,0.9196,0.9215,0.9258,0.9313,0.9373,0.9881,0.9881,0.9884,0.989,0.9899,0.9908,,H
838,St. Leo Catholic School,27,0.9579,,,0.9593,0.92,0.9601,1,0.9048,1,0.9222,0.9215,0.9233,0.9271,0.9325,0.9385,0.9838,0.9836,0.9841,0.9849,0.9861,0.9873,,H
839,Summit School,45,0.984,,,0.9763,1,0.9474,1,0.9744,1,0.9565,0.9562,0.9573,0.9596,0.9626,0.966,0.9902,0.99,0.9903,0.9909,0.9916,0.9924,,H
840,The Arts Based School,96,0.9375,,,0.9178,0.9271,0.9663,0.9362,0.9492,0.9333,0.8917,0.891,0.8938,0.8992,0.9064,0.9146,0.9404,0.9399,0.9416,0.9446,0.9488,0.9535,,M
841,The Downtown School,45,0.9943,,,0.9879,1,1,0.9773,1,1,0.975,0.9747,0.9755,0.9769,0.9787,0.9807,0.996,0.9959,0.9961,0.9963,0.9966,0.9969,,H
843,The Special Children's School,13,0.9925,,,0.98,1,1,1,1,0.9845,0.9434,0.9431,0.9446,0.9475,0.9514,0.9557,0.9963,0.9963,0.9964,0.9966,0.9969,0.9971,,H
844,Triad Baptist Christian Academy,45,0.9549,,,0.9575,0.9333,0.9556,0.9167,0.9524,1,0.9279,0.9274,0.9293,0.933,0.9378,0.9434,0.9791,0.9789,0.9795,0.9806,0.982,0.9837,,H
845,Union Cross Traditional Acad,81,0.9833,,,0.9783,0.9615,0.9744,1,1,0.9855,0.9652,0.9649,0.9657,0.9676,0.97,0.9728,0.988,0.9879,0.9883,0.9889,0.9898,0.9908,,H
846,Vienna Elementary,116,0.9852,,,0.9819,0.9818,0.9725,0.9914,0.9846,1,0.9711,0.9709,0.9717,0.9733,0.9754,0.9777,0.9908,0.9907,0.991,0.9915,0.9921,0.9929,,H
848,Walkertown Elementary,120,0.969,,,0.9678,0.9111,0.9903,0.9583,0.9885,1,0.9539,0.9537,0.9549,0.9573,0.9606,0.9642,0.9793,0.9791,0.9797,0.9808,0.9823,0.984,,H
849,Ward Elementary,86,0.9647,,,0.9599,0.9333,0.9655,0.9419,1,0.9868,0.9437,0.9434,0.9448,0.9478,0.9517,0.9561,0.9736,0.9733,0.974,0.9755,0.9774,0.9795,,H
850,Whitaker Elementary,92,0.9866,,,0.9815,0.9891,0.9647,1,0.9844,1,0.9691,0.9689,0.9698,0.9715,0.9736,0.9761,0.9906,0.9905,0.9907,0.9913,0.9919,0.9927,,H
851,Winston Salem Christian School,35,0.8234,,,0.8519,0.7083,0.8947,0.8,0.7647,1,0.7985,0.7972,0.8019,0.8111,0.8232,0.8372,0.8975,0.8967,0.8991,0.9039,0.9106,0.9182,,L
852,Woodland Baptist Chr. Sch.,22,0.9441,,,0.9524,0.9375,0.9545,0.8824,1,0.9412,0.9093,0.9086,0.911,0.9156,0.9216,0.9285,0.9809,0.9809,0.9814,0.9824,0.9838,0.9853,,M
