school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
854,Bunn Elementary,100,0.9711,,,0.9625,0.9792,0.9634,0.96,0.978,0.9865,0.9464,0.9461,0.9476,0.9504,0.9541,0.9582,0.9759,0.9757,0.9764,0.9777,0.9795,0.9814,,H
856,Commission Leadership Academy,32,0.6977,,,0.7042,0.7188,0.5517,0.6875,0.8125,,0.6219,0.6204,0.6275,0.6412,0.6598,,0.78,0.7777,0.7824,0.7923,0.8055,,,L
858,Edward Best Elementary,83,0.968,,,0.9655,0.9759,0.9744,0.96,0.9704,0.961,0.9468,0.9464,0.9478,0.9506,0.9543,0.9584,0.9803,0.9801,0.9807,0.9817,0.9831,0.9847,,H
859,Franklinton Elementary,85,0.9379,,,0.8959,0.9701,0.9077,0.9429,0.9529,0.9531,0.8685,0.868,0.871,0.8774,0.8858,0.8955,0.9212,0.9205,0.9224,0.9264,0.9318,0.9378,,M
860,Laurel Mill Elementary,54,0.9564,,,0.9631,0.963,0.9375,0.9333,0.9574,0.9767,0.9413,0.9409,0.9425,0.9456,0.9497,0.9542,0.9798,0.9796,0.9802,0.9813,0.9828,0.9844,,H
861,Long Mill Elementary,77,0.9386,,,0.9304,0.974,0.9016,0.9259,0.8955,1,0.9071,0.9065,0.9089,0.9136,0.9198,0.9267,0.9503,0.9498,0.9512,0.9537,0.9573,0.9612,,M
862,Louisburg Elementary,78,0.9765,,,0.9766,0.9661,0.9592,0.9574,0.9872,1,0.9601,0.9598,0.9608,0.963,0.9658,0.9689,0.9881,0.988,0.9884,0.989,0.9899,0.9908,,H
863,Royal Elementary,62,0.9715,,,0.9618,0.9677,0.9434,0.9574,1,1,0.9426,0.9421,0.9436,0.9465,0.9506,0.9551,0.9772,0.9769,0.9776,0.9789,0.9805,0.9823,,H
865,Wake Preparatory Academy,170,0.9552,,,0.9547,0.9529,0.9675,0.9456,,,0.935,0.9344,0.9361,0.9395,,,0.9713,0.971,0.9718,0.9733,,,,H
867,Youngsville Elementary,71,0.9468,,,0.9525,0.9286,0.9155,0.9839,0.9592,0.9455,0.9274,0.927,0.9289,0.9325,0.9376,0.9431,0.9723,0.9722,0.9729,0.9744,0.9764,0.9786,,M
