school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
869,Bessemer City Primary,141,0.9232,,,0.9163,0.8676,0.985,0.8682,0.9858,0.9099,0.8968,0.8962,0.8987,0.9039,0.9108,0.9185,0.934,0.9334,0.9352,0.9385,0.943,0.9481,1,0,0,0,0,0,,M
870,Brookside Elementary,89,0.8862,,,0.8966,0.8767,0.9663,0.7179,0.8857,0.9714,0.8702,0.8696,0.8728,0.879,0.8874,0.8969,0.9204,0.9197,0.9218,0.9259,0.9313,0.9373,1,0,0,0,0,0,,L
871,Carr Elementary,121,0.943,,,0.9535,0.9189,0.9111,0.9518,0.9601,0.9587,0.9366,0.9361,0.9378,0.941,0.9453,0.9502,0.9686,0.9683,0.9691,0.9708,0.9731,0.9755,1,0,0,0,1,0,,M
872,Catawba Heights Elementary,48,0.9756,,,0.9724,1,0.9487,0.9545,1,0.9792,0.9536,0.9533,0.9543,0.9567,0.9599,0.9636,0.9866,0.9865,0.9869,0.9876,0.9886,0.9896,1,0,0,0,0,0,,H
873,Chapel Grove Elementary,83,0.9341,,,0.9378,0.9759,0.9796,0.7885,0.9836,0.9074,0.916,0.9152,0.9174,0.9217,0.9274,0.9338,0.9566,0.9561,0.9572,0.9596,0.9627,0.9661,1,0,0,0,0,0,,M
874,Cherryville Elementary,95,0.95,,,0.9477,0.9444,0.9681,0.9895,0.9524,0.8889,0.9286,0.9278,0.9299,0.9336,0.9384,0.9439,0.9634,0.9631,0.9641,0.9661,0.9687,0.9715,1,0,0,0,0,0,,M
876,Community Public Charter,115,0.9724,,,0.9586,0.9899,0.9565,0.9681,0.9645,1,0.9377,0.9372,0.939,0.9421,0.9464,0.9512,0.9748,0.9746,0.9753,0.9767,0.9785,0.9804,1,0,0,0,1,0,,H
877,Costner Elementary,82,0.9571,,,0.9633,0.9032,0.963,0.9512,0.9634,1,0.9459,0.9456,0.9471,0.95,0.9537,0.9579,0.9773,0.9772,0.9779,0.9792,0.9807,0.9825,1,0,0,0,0,0,,H
878,Cramerton Christian Academy,51,0.9037,,,0.8953,0.8627,0.9032,0.9388,0.925,0.9024,0.8541,0.8532,0.8568,0.8636,0.8731,0.8837,0.9301,0.9295,0.931,0.9345,0.9394,0.9448,1,0,0,0,0,0,,M
879,Edward D Sadler Jr  Elementary School,80,0.9044,,,0.898,0.7931,0.9375,0.9216,0.9149,0.975,0.8703,0.8696,0.8731,0.8792,0.8876,0.8972,0.9233,0.9227,0.9248,0.9286,0.9338,0.9397,1,0,0,0,0,0,,M
880,First Wesleyan Christian School,32,0.9409,,,0.942,0.913,0.9688,0.9231,0.9,1,0.9073,0.907,0.9094,0.9139,0.9202,0.927,0.9691,0.9687,0.9696,0.9712,0.9734,0.9759,1,0,0,0,0,0,,M
882,Gardner Park Elementary,89,0.9456,,,0.9365,0.9254,0.9878,0.8764,0.9643,0.9867,0.914,0.9134,0.9155,0.92,0.926,0.9325,0.9556,0.9552,0.9563,0.9586,0.9617,0.9652,1,0,0,0,0,0,,M
883,Gaston Christian School,80,0.8973,,,0.9124,0.85,0.8354,0.8625,0.9241,1,0.8881,0.8872,0.8898,0.8955,0.9029,0.9113,0.9346,0.9342,0.9358,0.9392,0.9437,0.9488,1,0,0,0,0,0,,L
885,Gaston Day School,35,0.9697,,,0.9722,0.9677,0.9655,0.9429,0.9762,1,0.9452,0.9449,0.9464,0.9491,0.9529,0.9571,0.9895,0.9895,0.9897,0.9903,0.9911,0.9919,1,0,0,0,1,0,,H
886,Gaston Virtual Academy,14,0.6194,,,0.6912,0.5714,0.5714,,,,0.4993,0.4973,0.5046,,,,0.8545,0.8531,0.8563,,,,1,0,0,,,,,L
