school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
918,Butner-Stem Elementary,80,0.9709,,,0.9715,0.9848,1,0.9865,0.9103,0.9744,0.9556,0.9553,0.9564,0.9587,0.9617,0.9652,0.9842,0.9841,0.9845,0.9853,0.9865,0.9877,1,0,0,0,0,0,,H
919,C. G. Credle Elementary,73,0.9686,,,0.9642,0.9863,0.963,1,0.95,0.9492,0.9443,0.944,0.9454,0.9483,0.9522,0.9565,0.9795,0.9793,0.9798,0.9809,0.9824,0.984,1,0,0,0,0,0,,H
920,Christian Faith Center Acad.,10,0.9984,,,0.9773,1,1,1,1,1,0.9386,0.9381,0.9396,0.9432,0.9474,0.9521,0.9954,0.9954,0.9955,0.9958,0.9961,0.9965,1,0,0,0,0,0,,H
922,Falls Lake Academy,84,0.9701,,,0.9684,0.9756,0.9512,0.9643,0.9747,0.9873,0.9514,0.9512,0.9526,0.955,0.9584,0.9622,0.9816,0.9814,0.9819,0.9829,0.9842,0.9857,1,0,0,0,0,0,,H
923,Granville Academy,8,0.8611,,,0.861,1,0.5714,0.875,0.8571,1,0.7604,0.7594,0.7651,0.7758,0.7898,0.806,0.9363,0.936,0.9381,0.9414,0.9457,0.9505,1,0,0,0,0,0,,L
925,Mount Energy Elementary,85,0.9796,,,0.9709,0.9683,0.9615,0.9882,0.9868,1,0.9548,0.9544,0.9556,0.958,0.9612,0.9647,0.9837,0.9836,0.9841,0.9849,0.9861,0.9874,1,0,0,0,0,0,,H
926,Oxford Preparatory,62,0.9825,,,0.9785,1,0.9839,0.9672,0.9661,1,0.9598,0.9595,0.9605,0.9626,0.9654,0.9686,0.9908,0.9907,0.991,0.9915,0.9922,0.9929,1,0,0,0,0,0,,H
928,Stovall-Shaw Elementary,67,0.9881,,,0.9846,0.9767,0.9701,1,1,1,0.9712,0.9709,0.9716,0.9731,0.9752,0.9775,0.9939,0.9938,0.994,0.9943,0.9947,0.9952,1,0,0,0,0,0,,H
929,Tar River Elementary,74,0.9705,,,0.9686,1,0.9839,0.9615,0.9324,0.9825,0.9501,0.9498,0.9511,0.9538,0.9573,0.9611,0.9828,0.9825,0.983,0.9839,0.9852,0.9865,1,0,0,0,0,0,,H
930,West Oxford Elementary,91,0.9576,,,0.9614,0.9451,0.9481,0.9753,0.9726,0.9437,0.9432,0.9426,0.9441,0.9472,0.9511,0.9555,0.9763,0.9761,0.9767,0.978,0.9797,0.9816,1,0,0,0,0,0,,H
931,Wilton Elementary,62,0.9841,,,0.9705,0.9839,1,1,0.9474,1,0.9505,0.9499,0.9514,0.9539,0.9575,0.9613,0.9856,0.9854,0.9859,0.9867,0.9877,0.9888,1,0,0,0,0,0,,H
