school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
936,Alamance Elementary,78,0.9377,,,0.9437,0.9872,0.9661,0.9477,0.9516,0.831,0.9193,0.9187,0.9207,0.9249,0.9303,0.9364,0.9635,0.9631,0.964,0.966,0.9686,0.9715,,M
937,Edwin A Alderman Elementary,63,0.9677,,,0.9746,1,0.9683,0.9764,0.9782,0.9074,0.9551,0.9548,0.9559,0.9584,0.9616,0.9652,0.9884,0.9882,0.9885,0.9892,0.99,0.991,,H
938,Allen Jay Elementary,81,0.9557,,,0.9567,0.9506,0.9367,0.9598,0.9628,0.9706,0.9322,0.9315,0.9333,0.9369,0.9416,0.9468,0.9763,0.9761,0.9767,0.978,0.9797,0.9815,,H
942,Bessemer Elementary,86,0.7477,,,0.7755,0.2895,0.9683,0.7887,0.802,0.8837,0.7368,0.7351,0.741,0.7523,0.767,0.7842,0.8139,0.8128,0.8169,0.8253,0.8368,0.85,,L
943,Bluford Elementary,46,0.8604,,,0.8799,0.8095,0.8913,0.8878,0.8957,0.7895,0.8412,0.8402,0.8441,0.8516,0.8616,0.8731,0.9145,0.9137,0.916,0.9203,0.9261,0.9326,,L
944,Brightwood Elementary,76,0.9416,,,0.9384,0.9437,0.9605,0.9427,0.947,0.9155,0.9105,0.9096,0.9118,0.9165,0.9227,0.9295,0.9617,0.9613,0.9623,0.9643,0.9669,0.97,,M
945,Brooks Global Elementary,57,0.9861,,,0.983,1,0.9818,0.9842,0.9854,0.9818,0.9663,0.966,0.967,0.9689,0.9713,0.9739,0.9939,0.9939,0.9941,0.9944,0.9948,0.9953,,H
947,Canterbury School,33,0.9846,,,0.9779,1,0.963,1,0.9583,1,0.9573,0.957,0.9581,0.9604,0.9635,0.9668,0.9913,0.9912,0.9915,0.9919,0.9926,0.9933,,H
948,Cornerstone Charter Academy,102,0.9761,,,0.9754,0.95,0.97,0.99,0.99,0.9809,0.961,0.9607,0.9617,0.9637,0.9666,0.9696,0.9862,0.986,0.9864,0.9872,0.9882,0.9893,,H
949,Caldwell Academy,39,0.9935,,,0.9781,1,1,1,0.9813,1,0.9561,0.9559,0.9571,0.9594,0.9624,0.9658,0.9924,0.9923,0.9925,0.993,0.9935,0.9941,,H
951,Ceasar Cone Elementary,71,0.9208,,,0.928,0.8676,0.8592,0.933,0.9379,1,0.9017,0.9012,0.9036,0.9087,0.9151,0.9225,0.9505,0.9501,0.9514,0.9541,0.9575,0.9613,,M
952,Clara J Peck Elementary,102,0.9849,,,0.9741,1,1,0.9759,0.9778,0.9737,0.953,0.9527,0.9541,0.9566,0.9598,0.9635,0.9886,0.9885,0.9888,0.9894,0.9903,0.9912,,H
954,Claxton Elementary,98,0.9562,,,0.9591,0.9694,0.8939,0.962,0.9649,0.975,0.9392,0.9387,0.9402,0.9434,0.9477,0.9524,0.9752,0.9749,0.9756,0.9769,0.9787,0.9807,,H
955,Colfax Elementary,97,0.9863,,,0.9857,0.9896,0.9886,0.9868,0.9878,0.9794,0.9734,0.9733,0.974,0.9754,0.9772,0.9793,0.9941,0.9941,0.9942,0.9945,0.9949,0.9954,,H
956,The College Preparatory and Leadership Academy of High Point,94,0.9427,,,0.9443,0.9836,0.9487,0.8,1,0.9677,0.9209,0.9201,0.9222,0.9262,0.9316,0.9378,0.9639,0.9636,0.9645,0.9664,0.969,0.9719,,M
957,Cyrus P Frazier Elementary,53,0.9042,,,0.9241,0.9167,0.9245,0.9294,0.9345,0.775,0.8912,0.8904,0.8931,0.8986,0.9056,0.9136,0.9511,0.9506,0.9517,0.9542,0.9577,0.9616,,M
958,David D Jones Elementary,122,0.9627,,,0.9627,0.9266,0.9576,0.9654,0.968,0.9918,0.9466,0.9462,0.9478,0.9506,0.9542,0.9584,0.9762,0.9759,0.9766,0.9779,0.9796,0.9815,,H
960,Erwin Montessori,39,0.9557,,,0.9561,1,0.8974,0.9592,0.9623,0.9643,0.9252,0.9242,0.926,0.9301,0.9352,0.9408,0.979,0.9788,0.9794,0.9805,0.982,0.9837,,H
961,Fairview Elementary,72,0.9782,,,0.9798,0.9677,0.9722,0.9812,0.9827,0.9851,0.9635,0.9632,0.9641,0.9661,0.9688,0.9715,0.9916,0.9915,0.9918,0.9922,0.9928,0.9935,,H
962,Faith Christian Academy,14,0.973,,,0.9664,0.9286,1,1,0.9711,0.9737,0.9183,0.9182,0.9203,0.9246,0.9301,0.9362,0.9921,0.9921,0.9923,0.9927,0.9933,0.9939,,H
963,Waldo C Falkener Sr Elementary,89,0.7642,,,0.783,0.9524,0.809,0.7959,0.8088,0.3919,0.7462,0.7447,0.7502,0.7607,0.7752,0.7919,0.8188,0.8178,0.822,0.8305,0.8415,0.8543,,L
964,Florence Elementary,99,0.9849,,,0.9829,0.9899,0.9789,0.9841,0.9854,0.9885,0.9717,0.9714,0.9723,0.9738,0.9758,0.978,0.9912,0.9912,0.9914,0.9919,0.9925,0.9932,,H
965,Julius I. Foust Elementary School,115,0.9725,,,0.9761,0.9478,0.9765,0.9778,0.9795,1,0.9568,0.9565,0.9578,0.9602,0.9632,0.9666,0.9894,0.9893,0.9896,0.9902,0.9909,0.9918,,H
966,Gate City Charter,99,0.9281,,,0.9222,0.9592,0.9485,0.9276,0.9329,0.8788,0.894,0.8936,0.8962,0.9016,0.9084,0.9162,0.9462,0.9457,0.947,0.9499,0.9537,0.9578,,M
967,Gateway Education Center,4,0.9751,,,0.9598,1,1,0.9626,0.9654,0.9685,0.8779,0.8773,0.88,0.8858,0.8938,0.9029,0.9938,0.9937,0.9939,0.9942,0.9947,0.9952,,H
968,General Greene Elementary,70,0.9737,,,0.9768,0.9714,1,0.9785,0.9801,0.9412,0.9614,0.9611,0.962,0.9641,0.9668,0.9698,0.9884,0.9883,0.9886,0.9892,0.9901,0.991,,H
970,Gibsonville Elementary,100,0.9741,,,0.9749,0.9873,0.95,0.9767,0.9785,0.9851,0.9595,0.9591,0.9602,0.9624,0.9652,0.9684,0.9866,0.9865,0.9869,0.9876,0.9886,0.9896,,H
971,Gillespie Park Elementary,37,0.9548,,,0.9491,0.9375,0.9459,0.9527,0.9562,1,0.9127,0.912,0.9141,0.9185,0.9245,0.9312,0.9749,0.9746,0.9753,0.9766,0.9785,0.9805,,H
974,Greensboro Academy,89,0.9925,,,0.9901,0.9885,1,0.9888,0.9882,1,0.9808,0.9807,0.9811,0.9822,0.9836,0.9851,0.9962,0.9961,0.9963,0.9965,0.9967,0.997,,H
