school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1058,Aurelian Springs Institute of Global Lea,25,0.9898,,,0.9839,1,0.9545,1,1,1,0.963,0.9626,0.9636,0.9656,0.9682,0.9711,0.9956,0.9956,0.9957,0.996,0.9963,0.9966,1,0,0,0,0,0,,H
1059,Belmont Elementary School,106,0.9823,,,0.9814,0.9545,0.963,1,0.9906,1,0.9696,0.9693,0.97,0.9717,0.9739,0.9763,0.9902,0.9901,0.9904,0.9909,0.9916,0.9924,1,0,0,0,0,0,,H
1060,Victory Christian Academy,22,0.842,,,0.8691,0.8095,0.9091,0.8,0.7778,1,0.8008,0.7999,0.8039,0.8129,0.8249,0.8386,0.9251,0.9247,0.9266,0.9303,0.9352,0.9408,1,0,0,0,0,0,,L
1062,Everetts Elementary S.T.E.M. Academy,41,0.9815,,,0.9797,1,0.9655,0.9756,0.9677,1,0.958,0.9578,0.9589,0.9611,0.964,0.9673,0.9929,0.9928,0.993,0.9934,0.9939,0.9944,1,0,0,0,0,0,,H
1064,Halifax Academy,31,0.9973,,,0.9851,1,1,1,1,1,0.9673,0.9671,0.9679,0.9697,0.972,0.9745,0.9956,0.9956,0.9957,0.996,0.9963,0.9966,1,0,0,0,0,0,,H
1065,Hobgood Charter School,41,0.9861,,,0.9823,1,0.9756,1,0.9848,0.9737,0.9622,0.9619,0.9629,0.9648,0.9675,0.9705,0.9945,0.9945,0.9947,0.995,0.9953,0.9958,1,0,0,0,1,0,,H
1066,Hollister Elementary Leadership Academy,34,0.9786,,,0.9803,1,0.9688,0.9412,1,1,0.9591,0.9591,0.9602,0.9625,0.9654,0.9686,0.9932,0.9932,0.9933,0.9937,0.9942,0.9948,1,0,0,0,0,0,,H
1068,KIPP Halifax College Preparatory,70,0.9601,,,0.962,1,0.9231,0.9836,0.9674,0.9286,0.9386,0.938,0.9396,0.9429,0.9472,0.9519,0.9798,0.9796,0.9801,0.9812,0.9827,0.9843,1,0,0,0,1,0,,H
1069,Littleton Academy,9,0.9825,,,0.9634,1,0.9641,1,,,0.8928,0.8925,0.8956,0.901,,,0.9942,0.9941,0.9942,0.9945,,,1,0,1,0,,,,H
1070,Manning Elementary School,102,0.9396,,,0.9534,0.9674,0.9505,0.902,0.8776,1,0.9371,0.9368,0.9384,0.9417,0.9459,0.9507,0.9675,0.9673,0.9681,0.9698,0.9721,0.9747,1,0,0,0,0,0,,M
1071,Pittman Elementary Leadership Academy,29,0.9813,,,0.9802,0.9524,0.9583,1,1,1,0.9576,0.9572,0.9584,0.9607,0.9637,0.967,0.9939,0.9939,0.994,0.9944,0.9948,0.9953,1,0,0,0,0,0,,H
1072,Scotland Neck Elementary Leadership Acad,30,0.9508,,,0.9611,0.8667,1,0.9333,0.9643,1,0.9312,0.9306,0.9324,0.9361,0.9407,0.9459,0.9819,0.9817,0.9823,0.9832,0.9845,0.986,1,0,0,0,0,0,,H
1073,Weldon Elementary Global Academy,47,0.9476,,,0.963,0.9474,0.9318,1,0.9574,0.8864,0.941,0.9406,0.9422,0.9453,0.9494,0.954,0.98,0.9798,0.9803,0.9813,0.9828,0.9844,1,0,0,0,0,0,,M
