school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
1074,Achievement Charter Academy,51,0.8688,,,0.864,0.7241,0.7692,1,0.8621,0.9412,0.8072,0.806,0.8102,0.819,0.8309,0.8444,0.911,0.9099,0.9122,0.9168,0.9228,0.9295,,L
1075,Anderson Creek Academy,63,0.961,,,0.9621,0.9365,0.9,0.9744,0.9808,1,0.9386,0.9383,0.9401,0.9433,0.9475,0.9522,0.9798,0.9796,0.9802,0.9814,0.9828,0.9844,,H
1077,Anderson Creek Primary,190,0.9297,,,0.9417,0.9497,0.8978,0.8421,0.9498,1,0.9278,0.9273,0.9292,0.9329,0.9378,0.9433,0.9543,0.9538,0.9551,0.9574,0.9606,0.9642,,M
1078,Benhaven Elementary,179,0.9508,,,0.9482,0.9351,0.8977,0.9565,0.9721,1,0.9339,0.9334,0.9351,0.9385,0.9431,0.9482,0.9614,0.961,0.962,0.9641,0.9668,0.9699,,H
1079,Boone Trail Elementary,94,0.9464,,,0.9457,0.9574,0.8916,0.9333,0.9701,0.9872,0.9282,0.9275,0.9292,0.933,0.9379,0.9435,0.9613,0.9608,0.9619,0.964,0.9667,0.9698,,M
1080,Brookside Christian Academy,36,0.9904,,,0.9799,1,0.9802,1,,,0.9464,0.9458,0.9471,0.95,,,0.9957,0.9957,0.9958,0.996,,,,H
1081,Buies Creek Elementary,51,0.9771,,,0.9793,0.9574,0.9804,0.9474,1,1,0.9624,0.962,0.9632,0.9651,0.9677,0.9707,0.9911,0.991,0.9912,0.9917,0.9923,0.9931,,H
1082,Cape Fear Christian Academy,32,0.9676,,,0.966,0.9355,1,0.9333,0.9708,1,0.9361,0.9354,0.9373,0.9404,0.9448,0.9498,0.9863,0.9863,0.9866,0.9874,0.9883,0.9894,,H
1083,Coats Elementary,132,0.9628,,,0.9608,0.8947,0.9684,0.9907,0.9773,0.977,0.9466,0.9462,0.9477,0.9504,0.9541,0.9583,0.9733,0.973,0.9738,0.9753,0.9772,0.9793,,H
1085,Harnett Virtual Academy,143,0.8892,,,0.8954,0.8531,0.8992,0.8333,0.9858,0.855,0.8739,0.8728,0.8758,0.8821,0.8904,0.8997,0.9153,0.9148,0.917,0.9215,0.9273,0.9338,,L
1086,Erwin Elementary,87,0.9785,,,0.9709,0.9639,0.977,0.9655,1,1,0.9535,0.9531,0.9543,0.9568,0.9601,0.9637,0.9841,0.984,0.9844,0.9853,0.9864,0.9877,,H
1087,Faith Education Academy,13,0.9881,,,0.9737,1,1,0.9756,1,0.9795,0.9276,0.927,0.9291,0.9329,0.9379,0.9435,0.9948,0.9948,0.9949,0.9952,0.9956,0.996,,H
1091,Highland Elementary,144,0.9604,,,0.9531,0.9464,0.9366,0.964,0.9861,0.9739,0.9388,0.9386,0.9401,0.9433,0.9476,0.9523,0.9656,0.9654,0.9663,0.968,0.9704,0.9732,,H
1093,Johnsonville Elementary,81,0.949,,,0.9349,0.925,0.9753,0.9125,0.9747,0.9818,0.912,0.911,0.9133,0.9177,0.9237,0.9304,0.9546,0.9542,0.9554,0.9579,0.9612,0.9646,,M
1094,LaFayette Elementary,104,0.9513,,,0.958,1,0.8125,0.9479,0.9712,0.9565,0.9401,0.9397,0.9413,0.9445,0.9486,0.9533,0.9729,0.9726,0.9733,0.9748,0.9768,0.9789,,H
1096,Lillington-Shawtown Elementary,108,0.93,,,0.9343,0.8704,0.9647,0.8981,0.9247,1,0.916,0.9155,0.918,0.9222,0.928,0.9343,0.9501,0.9499,0.9511,0.9538,0.9574,0.9613,,M
1097,North Harnett Primary,115,0.9744,,,0.9584,0.978,0.9906,0.9478,1,0.9712,0.9418,0.9416,0.9431,0.946,0.9501,0.9546,0.972,0.9718,0.9726,0.9741,0.9761,0.9783,,H
1098,Northwest Harnett Elementary,110,0.9405,,,0.9409,0.9636,0.9121,,,,0.9056,0.9048,0.907,,,,0.9677,0.9674,0.9685,,,,,M
1099,Overhills Elementary,155,0.9113,,,0.8258,0.8908,0.9275,0.9355,1,0.8678,0.8005,0.7995,0.8041,0.813,0.8248,0.8386,0.8501,0.8485,0.8519,0.8591,0.8689,0.8798,,M
